inchikey,smiles,name,T_K,dielectric,frequency_MHz,property_family,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_text,uncertainty_relative_percent_max,source_doi,source_type,source_file,sha256,n_observations,gate_flags
BAPJBEWLBFYGME-UHFFFAOYSA-N,C=CC(=O)OC,methyl propenoate,318.15,6.308,0,zero_frequency,,,combined,95,,,10.1021/je301333b,thermoml,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,5,high_temperature_extension|zero_frequency|pure_component|experimental
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,propan-1-ol,323,17.82,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2013.05.022,thermoml,data/raw/thermoml/10.1016__j.tca.2013.05.022-25c5c6642852.xml,f0f23f385a1d041d566575e26937a5efa0c3d758ea80f9b248f7a7c57c6f2dec,1,high_temperature_extension|zero_frequency|pure_component|experimental
BGTOWKSIORTVQH-UHFFFAOYSA-N,O=C1CCCC1,cyclopentanone,313.15,12.95,0,zero_frequency,,,combined,95,,,10.1021/je200682t,thermoml,data/raw/thermoml/10.1021__je200682t-e9b4b9282142.xml,c9f6e7b79f129e0ce35e5a8129edc13deb60795f2a5beb1c142f2b4bdf83d1f1,1,high_temperature_extension|zero_frequency|pure_component|experimental
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,nonane,318.15,1.953,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,1,high_temperature_extension|zero_frequency|pure_component|experimental
BMRWNKZVCUKKSR-UHFFFAOYSA-N,CCC(O)CO,"1,2-butanediol",318.2,18.661,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,1,high_temperature_extension|zero_frequency|pure_component|experimental
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,butan-2-ol,313.15,14.44,0,zero_frequency,,,combined,95,,,10.1021/je900503p,thermoml,data/raw/thermoml/10.1021__je900503p-c4927a582b2b.xml,bf9680cc2c3bfba58e1c4dd17ea6a0329e835375459beccbe561851b5f878ff7,1,high_temperature_extension|zero_frequency|pure_component|experimental
BTGRAWJCKBQKAO-UHFFFAOYSA-N,N#CCCCCC#N,hexanedinitrile,318.15,29.8,0,zero_frequency,,,combined,95,,,10.1021/je300958c,thermoml,data/raw/thermoml/10.1021__je300958c-3ec2399ba91a.xml,9c3a2f8c4017b916a6e7eb2a5957de40bbfa4556eb7d6bcbba3fa33aa3d06080,5,high_temperature_extension|zero_frequency|pure_component|experimental
BTNXBLUGMAMSSH-UHFFFAOYSA-N,N#CCCCCCCC#N,octanedinitrile,318.15,24.37,0,zero_frequency,,,combined,95,,,10.1021/je300958c,thermoml,data/raw/thermoml/10.1021__je300958c-3ec2399ba91a.xml,9c3a2f8c4017b916a6e7eb2a5957de40bbfa4556eb7d6bcbba3fa33aa3d06080,5,high_temperature_extension|zero_frequency|pure_component|experimental
CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,318.15,19.27,0,zero_frequency,,,combined,95,,,10.1021/je600515j,thermoml,data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,3,high_temperature_extension|zero_frequency|pure_component|experimental
CGZZMOTZOONQIA-UHFFFAOYSA-N,O=C1CCCCCC1,cycloheptanone,313.15,12.32,0,zero_frequency,,,combined,95,,,10.1021/je200682t,thermoml,data/raw/thermoml/10.1021__je200682t-e9b4b9282142.xml,c9f6e7b79f129e0ce35e5a8129edc13deb60795f2a5beb1c142f2b4bdf83d1f1,1,high_temperature_extension|zero_frequency|pure_component|experimental
CQEYYJKEWSMYFG-UHFFFAOYSA-N,C=CC(=O)OCCCC,butyl 2-propenoate,318.15,4.841,0,zero_frequency,,,combined,95,,,10.1021/je301333b,thermoml,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,5,high_temperature_extension|zero_frequency|pure_component|experimental
CRVGTESFCCXCTH-UHFFFAOYSA-N,CN(CCO)CCO,N-methyldiethanolamine,318.15,20.31,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2012.10.004;10.1021/je600515j,thermoml,data/raw/thermoml/10.1016__j.tca.2012.10.004-2df5b3cc585c.xml;data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,0e2bacf087baf8c7248033da38f2a1ef49132f47d82b30a7b20fb534cf2bb54d;901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,6,high_temperature_extension|zero_frequency|pure_component|experimental
DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",318.15,25.76,0,zero_frequency,,,combined,95,,,10.1021/je600515j,thermoml,data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,3,high_temperature_extension|zero_frequency|pure_component|experimental
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",318.15,35.6145,0,zero_frequency,,,combined,95,,,10.1021/je9002515,thermoml,data/raw/thermoml/10.1021__je9002515-0028635372ce.xml,e3b7b25d5181fd5311a011898c9629362f31e309f35e43aa6b9c42b0a0abad6d,2,high_temperature_extension|zero_frequency|pure_component|experimental
GSEJCLTVZPLZKY-UHFFFAOYSA-N,OCCN(CCO)CCO,triethanolamine,318.15,26.07,0,zero_frequency,,,combined,95,,,10.1021/je600515j,thermoml,data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,3,high_temperature_extension|zero_frequency|pure_component|experimental
HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,318.15,41.6,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2012.10.004,thermoml,data/raw/thermoml/10.1016__j.tca.2012.10.004-2df5b3cc585c.xml,0e2bacf087baf8c7248033da38f2a1ef49132f47d82b30a7b20fb534cf2bb54d,3,high_temperature_extension|zero_frequency|pure_component|experimental
