inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc,dataset_origin,temperature_band,evidence_level,temperature_source,model_ready,conflict_status,source_url,source_citation,source_table,redistribution_status,source_license,license_url,redistribution_conditions,notes
AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,N-methylaniline,300.15,5.878,0.001,0.001,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""}]",10.1016/j.jct.2011.10.028,10.1016/j.jct.2011.10.028;arXiv:1506.00262,1,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
ALYCOCULEAWWJO-UHFFFAOYSA-N,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,298.15,12.5,1.4,1.4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,pentan-1-ol,298.15,15.736,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.874""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.875""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.909""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.91""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.944""}]",10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024;10.1021/je060248p,10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024;10.1021/je060248p;arXiv:1506.00262,13,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BAPJBEWLBFYGME-UHFFFAOYSA-N,C=CC(=O)OC,methyl propenoate,298.15,7.021,0.035,0.035,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.034""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.035""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.036""}]",10.1021/je301333b,10.1021/je301333b;arXiv:1506.00262,5,21,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,heptan-1-ol,298.15,12.65,0.03,0.03,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""}]",10.1021/je060248p,10.1021/je060248p,7,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,propan-1-ol,298.15,21.3,0.05,0.05,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.05""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.95""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""2.3""}]",10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p;arXiv:1506.00262,13,7,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BGTOWKSIORTVQH-UHFFFAOYSA-N,O=C1CCCC1,cyclopentanone,298.15,13.505,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.63""}]",10.1021/acs.jced.8b00755;10.1021/je200682t,10.1021/acs.jced.8b00755;10.1021/je200682t;arXiv:1506.00262,6,9,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,nonane,298.15,1.98,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2008.09.006,10.1016/j.jct.2008.09.006;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BMRWNKZVCUKKSR-UHFFFAOYSA-N,CCC(O)CO,"1,2-butanediol",298.2,22.143,0.037,0.037,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.037""}]",10.1016/j.jct.2011.07.021,10.1016/j.jct.2011.07.021,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,butan-2-ol,298.15,16.6,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.9""}]",10.1016/j.fluid.2013.12.014;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p,10.1016/j.fluid.2013.12.014;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p,10,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
