Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
1,DME (C4H10O2),COCCOC,270,0.0037037037037037,-0.21948497,True
2,DME (C4H10O2),COCCOC,275,0.0036363636363636,-0.23640096,True
3,DME (C4H10O2),COCCOC,280,0.0035714285714285,-0.2557578,True
4,DME (C4H10O2),COCCOC,285,0.0035087719298245,-0.26895866,True
5,DME (C4H10O2),COCCOC,290,0.0034482758620689,-0.2863949,True
6,DME (C4H10O2),COCCOC,295,0.0033898305084745,-0.2909127,True
7,DME (C4H10O2),COCCOC,300,0.0033333333333333,-0.2944702,True
8,DME (C4H10O2),COCCOC,305,0.0032786885245901,-0.2912501,True
9,DME (C4H10O2),COCCOC,310,0.0032258064516129,-0.27956796,True
10,DME (C4H10O2),COCCOC,315,0.0031746031746031,-0.28310618,True
11,DME (C4H10O2),COCCOC,320,0.003125,-0.29197842,True
12,DME (C4H10O2),COCCOC,325,0.003076923076923,-0.30808192,True
13,DME (C4H10O2),COCCOC,330,0.003030303030303,-0.32330996,True
14,EC (C3H4O3),O=C1OCCO1,270,0.0037037037037037,0.2892093,True
15,EC (C3H4O3),O=C1OCCO1,275,0.0036363636363636,0.3198788,True
16,EC (C3H4O3),O=C1OCCO1,280,0.0035714285714285,0.31491965,True
17,EC (C3H4O3),O=C1OCCO1,285,0.0035087719298245,0.31684116,True
18,EC (C3H4O3),O=C1OCCO1,290,0.0034482758620689,0.31354693,True
19,EC (C3H4O3),O=C1OCCO1,295,0.0033898305084745,0.29961678,True
20,EC (C3H4O3),O=C1OCCO1,300,0.0033333333333333,0.28561467,True
21,EC (C3H4O3),O=C1OCCO1,305,0.0032786885245901,0.27185345,True
22,EC (C3H4O3),O=C1OCCO1,310,0.0032258064516129,0.2559485,True
23,EC (C3H4O3),O=C1OCCO1,315,0.0031746031746031,0.23605809,True
24,EC (C3H4O3),O=C1OCCO1,320,0.003125,0.20587517,True
25,EC (C3H4O3),O=C1OCCO1,325,0.003076923076923,0.16741467,True
26,EC (C3H4O3),O=C1OCCO1,330,0.003030303030303,0.11974175,True
27,PC (C4H6O3),CC1COC(=O)O1,270,0.0037037037037037,0.3208938,True
28,PC (C4H6O3),CC1COC(=O)O1,275,0.0036363636363636,0.29446366,True
29,PC (C4H6O3),CC1COC(=O)O1,280,0.0035714285714285,0.26450458,True
30,PC (C4H6O3),CC1COC(=O)O1,285,0.0035087719298245,0.25144485,True
31,PC (C4H6O3),CC1COC(=O)O1,290,0.0034482758620689,0.26359853,True
32,PC (C4H6O3),CC1COC(=O)O1,295,0.0033898305084745,0.27259803,True
33,PC (C4H6O3),CC1COC(=O)O1,300,0.0033333333333333,0.26830843,True
34,PC (C4H6O3),CC1COC(=O)O1,305,0.0032786885245901,0.26075903,True
35,PC (C4H6O3),CC1COC(=O)O1,310,0.0032258064516129,0.24203748,True
36,PC (C4H6O3),CC1COC(=O)O1,315,0.0031746031746031,0.21441835,True
37,PC (C4H6O3),CC1COC(=O)O1,320,0.003125,0.16691571,True
38,PC (C4H6O3),CC1COC(=O)O1,325,0.003076923076923,0.100154504,True
39,PC (C4H6O3),CC1COC(=O)O1,330,0.003030303030303,0.022515047,True
