source_id,source_page,section,formula,compound_name,dielectric,t_C,T_K,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,source_quality,eligibility_status,notes,raw_line
nbs514:p13:001,13,C. ORGANIC LIQUIDS,CCl2O,Phosgene,4.34,22,295.15,,,,52,,two_or_less,candidate_near_room,,CCl2O Phosgene | e=4.34 | t=22 C | alpha=- | range=- | refs=52
nbs514:p13:002,13,C. ORGANIC LIQUIDS,CCl4,Carbon tetrachloride,2.238,20,293.15,200.000,a,"-10,60","146,169,233,240a,245,292",,four_figures,candidate_near_room,,"CCl4 Carbon tetrachloride | e=2.238 | t=20 C | alpha=0.200 | range=-10,60 | refs=146,169,233,240a,245,292"
nbs514:p13:003,13,C. ORGANIC LIQUIDS,CN4O8,Tetranitromethane,2.521,25,298.15,,,,225 [26],,three_figures,candidate_near_room,,CN4O8 Tetranitromethane | e=2.521 | t=25 C | alpha=- | range=- | refs=225 [26]
nbs514:p13:004,13,C. ORGANIC LIQUIDS,CS2,Carbon disulfide,2.641,20,293.15,268.000,a,"-90,130","16,146,188,196,204,240a,292 [80,200,207]",,four_figures,candidate_near_room,,"CS2 Carbon disulfide | e=2.641 | t=20 C | alpha=0.268 | range=-90,130 | refs=16,146,188,196,204,240a,292 [80,200,207]"
nbs514:p13:005,13,C. ORGANIC LIQUIDS,CHBr3,Bromoform,4.39,20,293.15,105.000,alpha,"10,70","97,156,160",,three_figures,candidate_near_room,,"CHBr3 Bromoform | e=4.39 | t=20 C | alpha=0.105(alpha) | range=10,70 | refs=97,156,160"
nbs514:p13:006,13,C. ORGANIC LIQUIDS,CHCl3,Chloroform,4.806,20,293.15,160.000,alpha,"0,50","85,146,169",,four_figures,candidate_near_room,,"CHCl3 Chloroform | e=4.806 | t=20 C | alpha=0.160(alpha) | range=0,50 | refs=85,146,169"
nbs514:p13:007,13,C. ORGANIC LIQUIDS,CHN,Hydrocyanic acid,114.9,20,293.15,630.00,alpha,"18,26","255 [39,76]",,three_figures,candidate_near_room,,"CHN Hydrocyanic acid | e=114.9 | t=20 C | alpha=0.63(alpha) | range=18,26 | refs=255 [39,76]"
nbs514:p13:008,13,C. ORGANIC LIQUIDS,CH2Cl2,Dichloromethane,9.08,20,293.15,,,"-80,25","94,285",,three_figures,candidate_near_room,alpha printed as formula (1),"CH2Cl2 Dichloromethane | e=9.08 | t=20 C | alpha=- | range=-80,25 | refs=94,285"
nbs514:p13:009,13,C. ORGANIC LIQUIDS,CH2I2,Diiodomethane,5.32,25,298.15,,,,97 [12],,three_figures,candidate_near_room,,CH2I2 Diiodomethane | e=5.32 | t=25 C | alpha=- | range=- | refs=97 [12]
nbs514:p13:010,13,C. ORGANIC LIQUIDS,CH2O2,Formic acid,58.5,16,289.15,,,,"7 [4,27]",f=4x10^8 cycles/sec,three_figures,candidate_near_room,,"CH2O2 Formic acid | e=58.5 | t=16 C | alpha=- | range=- | refs=7 [4,27]"
nbs514:p13:011,13,C. ORGANIC LIQUIDS,CH3I,Iodomethane,7.00,20,293.15,,,"-70,40","94 [12,41,160]",,three_figures,candidate_near_room,alpha printed as formula (m),"CH3I Iodomethane | e=7.00 | t=20 C | alpha=- | range=-70,40 | refs=94 [12,41,160]"
nbs514:p13:012,13,C. ORGANIC LIQUIDS,CH3NO,Formamide,109.0,20,293.15,72000,a,"18,25","270,280",,three_figures,candidate_near_room,,"CH3NO Formamide | e=109.0 | t=20 C | alpha=72. | range=18,25 | refs=270,280"
nbs514:p13:013,13,C. ORGANIC LIQUIDS,CH3NO2,Nitromethane,35.87,30,303.15,189.000,alpha,"12,92","78,295 [41]",,four_figures,candidate_near_room,,"CH3NO2 Nitromethane | e=35.87 | t=30 C | alpha=0.189(alpha) | range=12,92 | refs=78,295 [41]"
nbs514:p13:014,13,C. ORGANIC LIQUIDS,CH3NO3,Methyl nitrate,23.5,18,291.15,,,,14,,three_figures,candidate_near_room,,CH3NO3 Methyl nitrate | e=23.5 | t=18 C | alpha=- | range=- | refs=14
nbs514:p13:015,13,C. ORGANIC LIQUIDS,CH4O,Methanol,32.63,25,298.15,264.000,alpha,"5,55","218,264 [78,112,207]",,four_figures,candidate_near_room,,"CH4O Methanol | e=32.63 | t=25 C | alpha=0.264(alpha) | range=5,55 | refs=218,264 [78,112,207]"
nbs514:p14:001,14,C. ORGANIC LIQUIDS,CH5N,Methylamine,9.4,25,298.15,,,,268,,two_or_less,candidate_near_room,,CH5N Methylamine | e=9.4 | t=25 C | alpha=- | range=- | refs=268
nbs514:p14:002,14,C. ORGANIC LIQUIDS,C2Cl2O2,Oxalyl chloride,3.47,21,294.15,,,,107,,three_figures,candidate_near_room,,C2Cl2O2 Oxalyl chloride | e=3.47 | t=21 C | alpha=- | range=- | refs=107
nbs514:p14:003,14,C. ORGANIC LIQUIDS,C2Cl4,Tetrachloroethylene,2.30,25,298.15,200.00,a,"25,90","100,196,279 [74]",,three_figures,candidate_near_room,,"C2Cl4 Tetrachloroethylene | e=2.30 | t=25 C | alpha=0.20 | range=25,90 | refs=100,196,279 [74]"
nbs514:p14:004,14,C. ORGANIC LIQUIDS,C2N2,Cyanogen,2.52,23,296.15,,,,14,,two_or_less,candidate_near_room,,C2N2 Cyanogen | e=2.52 | t=23 C | alpha=- | range=- | refs=14
nbs514:p14:005,14,C. ORGANIC LIQUIDS,C2HBr3O,Bromal,7.6,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C2HBr3O Bromal | e=7.6 | t=20 C | alpha=- | range=- | refs=27
nbs514:p14:006,14,C. ORGANIC LIQUIDS,C2HCl3,Trichloroethylene,3.42,16,289.15,,,,45,,two_or_less,candidate_exception,temperature printed as ca 16 C,C2HCl3 Trichloroethylene | e=3.42 | t=ca 16 C | alpha=- | range=- | refs=45
nbs514:p14:007,14,C. ORGANIC LIQUIDS,C2HCl3O,Chloral,4.94,20,293.15,170.00,alpha,"15,45","44 [4,7]",,two_or_less,candidate_near_room,,"C2HCl3O Chloral | e=4.94 | t=20 C | alpha=0.17(alpha) | range=15,45 | refs=44 [4,7]"
nbs514:p14:008,14,C. ORGANIC LIQUIDS,C2HCl5,Pentachloroethane,3.73,20,293.15,,,,"45,57,156",,three_figures,candidate_near_room,,"C2HCl5 Pentachloroethane | e=3.73 | t=20 C | alpha=- | range=- | refs=45,57,156"
nbs514:p14:009,14,C. ORGANIC LIQUIDS,C2HF3O2,Trifluoroacetic acid,39.5,20,293.15,-50000,a,"0,28",297,,three_figures,candidate_near_room,,"C2HF3O2 Trifluoroacetic acid | e=39.5 | t=20 C | alpha=-50. | range=0,28 | refs=297"
nbs514:p14:010,14,C. ORGANIC LIQUIDS,C2H2BrCl,cis-1-Bromo-2-chloroethylene,7.31,17,290.15,,,,49,,two_or_less,candidate_near_room,,C2H2BrCl cis-1-Bromo-2-chloroethylene | e=7.31 | t=17 C | alpha=- | range=- | refs=49
nbs514:p14:011,14,C. ORGANIC LIQUIDS,C2H2BrCl,trans-1-Bromo-2-chloroethylene,2.50,17,290.15,,,,49,,two_or_less,candidate_near_room,,C2H2BrCl trans-1-Bromo-2-chloroethylene | e=2.50 | t=17 C | alpha=- | range=- | refs=49
nbs514:p14:012,14,C. ORGANIC LIQUIDS,C2H2Br2,"cis-1,2-Dibromoethylene",7.08,25,298.15,,,,148 [49],,two_or_less,candidate_near_room,,"C2H2Br2 cis-1,2-Dibromoethylene | e=7.08 | t=25 C | alpha=- | range=- | refs=148 [49]"
nbs514:p14:013,14,C. ORGANIC LIQUIDS,C2H2Br2,"trans-1,2-Dibromoethylene",2.88,25,298.15,,,,148 [49],,two_or_less,candidate_near_room,,"C2H2Br2 trans-1,2-Dibromoethylene | e=2.88 | t=25 C | alpha=- | range=- | refs=148 [49]"
nbs514:p14:014,14,C. ORGANIC LIQUIDS,C2H2Br2O,Bromoacetyl bromide,12.45,20,293.15,,,,17,f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C2H2Br2O Bromoacetyl bromide | e=12.45 | t=20 C | alpha=- | range=- | refs=17
nbs514:p14:015,14,C. ORGANIC LIQUIDS,C2H2Br4,"1,1,2,2-Tetrabromoethane",7.0,22,295.15,,,,26,,two_or_less,candidate_near_room,,"C2H2Br4 1,1,2,2-Tetrabromoethane | e=7.0 | t=22 C | alpha=- | range=- | refs=26"
nbs514:p14:016,14,C. ORGANIC LIQUIDS,C2H2Cl2,"1,1-Dichloroethylene",4.67,16,289.15,,,,49,,two_or_less,candidate_near_room,,"C2H2Cl2 1,1-Dichloroethylene | e=4.67 | t=16 C | alpha=- | range=- | refs=49"
nbs514:p14:017,14,C. ORGANIC LIQUIDS,C2H2Cl2,"cis-1,2-Dichloroethylene",9.20,25,298.15,,,,"227 [45,48,49,148]",,three_figures,candidate_near_room,,"C2H2Cl2 cis-1,2-Dichloroethylene | e=9.20 | t=25 C | alpha=- | range=- | refs=227 [45,48,49,148]"
nbs514:p14:018,14,C. ORGANIC LIQUIDS,C2H2Cl2,"trans-1,2-Dichloroethylene",2.14,25,298.15,,,,"196,227 [45,48,49,148]",,three_figures,candidate_near_room,,"C2H2Cl2 trans-1,2-Dichloroethylene | e=2.14 | t=25 C | alpha=- | range=- | refs=196,227 [45,48,49,148]"
nbs514:p14:019,14,C. ORGANIC LIQUIDS,C2H2Cl2O2,Dichloroacetic acid,8.2,22,295.15,,,,26 [27],,two_or_less,candidate_near_room,,C2H2Cl2O2 Dichloroacetic acid | e=8.2 | t=22 C | alpha=- | range=- | refs=26 [27]
nbs514:p14:020,14,C. ORGANIC LIQUIDS,C2H2Cl4,"1,1,2,2-Tetrachloroethane",8.20,20,293.15,,,,"53 [45,57]",,three_figures,candidate_near_room,,"C2H2Cl4 1,1,2,2-Tetrachloroethane | e=8.20 | t=20 C | alpha=- | range=- | refs=53 [45,57]"
nbs514:p14:021,14,C. ORGANIC LIQUIDS,C2H3BrO,Acetyl bromide,16.2,20,293.15,,,,17,f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C2H3BrO Acetyl bromide | e=16.2 | t=20 C | alpha=- | range=- | refs=17
nbs514:p15:001,15,C. ORGANIC LIQUIDS,C2H3ClO,Acetyl chloride,15.8,22,295.15,,,,"26 [7,17]",,three_figures,candidate_near_room,,"C2H3ClO Acetyl chloride | e=15.8 | t=22 C | alpha=- | range=- | refs=26 [7,17]"
