doi,title,publication_year,query_label,oa_url,oa_host_type,oa_version,license,disposition,value_status,epsilon_values_read,value_not_read_reason,noise_rules,title_compounds,unresolved_names,n_compounds_resolved,roster_status,compounds_new,in_roster,in_observations_v11,fetch_attempted,fetch_skip_reason,http_status,content_type,final_url,bytes_fetched,byte_cap_hit,text_extractor,text_chars,permittivity_context_lines,pubchem_crosscheck,epsilon_evidence,fetch_error
10.3390/app14020495,Saturated Boiling Enhancement of Novec-7100 on Microgrooved Surfaces with Groove-Induced Anisotropic Properties,2024,fluorinated_ethers,https://www.mdpi.com/2076-3417/14/2/495/pdf?version=1704460575,publisher,publishedVersion,cc-by,skipped_noise_prefilter,not_attempted,0,,pool_boiling_heat_transfer,methoxy-nonafluorobutane=OKIYQFLILPKULA-UHFFFAOYSA-N,,1,all_new,methoxy-nonafluorobutane,False,False,False,noise_prefilter,,,,,,,0,0,OKIYQFLILPKULA-UHFFFAOYSA-N=cid164514:formula_match,,
10.1088/1742-6596/2685/1/012064,Pool boiling performances comparison of FC-72 and Novec 649 in the presence of a DC electric field,2024,fluorinated_ethers,https://doi.org/10.1088/1742-6596/2685/1/012064,publisher,publishedVersion,cc-by,skipped_noise_prefilter,not_attempted,0,,pool_boiling_heat_transfer,decafluoropentane=RIQRGMUSBYGDBL-UHFFFAOYSA-N;perfluorohexane=ZJIJAJXFLBMLCK-UHFFFAOYSA-N,,2,all_new,decafluoropentane;perfluorohexane,False,False,False,noise_prefilter,,,,,,,0,0,RIQRGMUSBYGDBL-UHFFFAOYSA-N=cid86240:formula_match;ZJIJAJXFLBMLCK-UHFFFAOYSA-N=cid9639:formula_match,,
10.1063/5.0230695,"A comprehensive molecular dynamics simulation of plastic and liquid succinonitrile: Structural, dynamic, and dielectric properties",2024,dinitriles,https://doi.org/10.1063/5.0230695,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,,1,all_new,succinonitrile,False,True,True,,403,text/html; charset=UTF-8,https://pubs.aip.org/jcp/article/161/17/174503/3318469/A-comprehensive-molecular-dynamics-simulation-of,0,False,,0,0,IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1002/app.56331,"Effect of succinonitrile on the structural, ion conductivity, and dielectric properties of PVDF ‐ HFP based solid polymer electrolytes",2024,dinitriles,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.56331,publisher,publishedVersion,,blocked_fetch_error,not_attempted,0,,,succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,"pvdf:polymer (PVDF-HFP), not a single solvent molecule;polymer electrolyte:composite solid polymer electrolyte, not a pure solvent",1,all_new,succinonitrile,False,True,True,,403,text/html; charset=UTF-8,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.56331,0,False,,0,0,IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1002/anie.202416091,Fast Collective Hydrogen‐Bond Dynamics in Hexafluoroisopropanol Related to its Chemical Activity,2024,fluorinated_alcohols,https://doi.org/10.1002/anie.202416091,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,hexafluoroisopropanol=BYEAHWXPCBROCE-UHFFFAOYSA-N,,1,all_new,hexafluoroisopropanol,False,False,True,,403,text/html; charset=UTF-8,https://onlinelibrary.wiley.com/doi/10.1002/anie.202416091,0,False,,0,0,BYEAHWXPCBROCE-UHFFFAOYSA-N=cid13529:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1039/d2cp05799a,"Paddle-wheel mechanism in doped succinonitrile–glutaronitrile plastic electrolyte: a joint magnetic resonance, dielectric, and viscosimetry study of Li ion translational and molecular reorientational dynamics",2023,dinitriles,https://pubs.rsc.org/en/content/articlepdf/2023/cp/d2cp05799a,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,glutaronitrile=ZTOMUSMDRMJOTH-UHFFFAOYSA-N;succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,,2,some_new,succinonitrile,False,True,True,,403,text/html; charset=UTF-8,https://pubs.rsc.org/en/content/articlepdf/2023/cp/d2cp05799a,0,False,,0,0,ZTOMUSMDRMJOTH-UHFFFAOYSA-N=cid10994:formula_match;IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1016/j.applthermaleng.2023.121803,Enhanced nucleate boiling of Novec 649 on thin metal foils via laser-induced periodic surface structures,2023,fluorinated_ethers,https://doi.org/10.1016/j.applthermaleng.2023.121803,publisher,publishedVersion,cc-by-nc-nd,skipped_noise_prefilter,not_attempted,0,,pool_boiling_heat_transfer,decafluoropentane=RIQRGMUSBYGDBL-UHFFFAOYSA-N,,1,all_new,decafluoropentane,False,False,False,noise_prefilter,,,,,,,0,0,RIQRGMUSBYGDBL-UHFFFAOYSA-N=cid86240:formula_match,,
10.1039/d2cp03200g,Investigating the abnormal conductivity behaviour of divalent cations in low dielectric constant tetraglyme-based electrolytes,2022,glymes,https://pubs.rsc.org/en/content/articlepdf/2022/cp/d2cp03200g,publisher,publishedVersion,cc-by-nc,blocked_fetch_error,not_attempted,0,,,tetraglyme=ZUHZGEOKBKGPSW-UHFFFAOYSA-N,,1,all_in_roster,,True,True,True,,403,text/html; charset=UTF-8,https://pubs.rsc.org/en/content/articlepdf/2022/cp/d2cp03200g,0,False,,0,0,ZUHZGEOKBKGPSW-UHFFFAOYSA-N=cid8925:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1021/jacs.2c07103,Why Do Sulfone-Containing Polymer Photocatalysts Work So Well for Sacrificial Hydrogen Evolution from Water?,2022,sulfones,https://doi.org/10.1021/jacs.2c07103,publisher,publishedVersion,cc-by,skipped_noise_prefilter,not_attempted,0,,polymer_photocatalyst,water=XLYOFNOQVPJJNP-UHFFFAOYSA-N,"polymer photocatalyst:polymer, not a molecular solvent",1,all_in_roster,,True,True,False,noise_prefilter,,,,,,,0,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N=cid962:formula_match,,
10.1021/acsenergylett.2c02003,"Exploiting the Steric Effect and Low Dielectric Constant of 1,2-Dimethoxypropane for 4.3 V Lithium Metal Batteries",2022,glymes,https://zenodo.org/record/7801393,repository,submittedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,"1,2-dimethoxypropane=LEEANUDEDHYDTG-UHFFFAOYSA-N",,1,all_new,"1,2-dimethoxypropane",False,False,True,,0,,,0,False,,0,0,LEEANUDEDHYDTG-UHFFFAOYSA-N=cid24509:formula_match,,"ConnectionError: HTTPSConnectionPool(host='zenodo.org', port=443): Max retries exceeded with url: /record/7801393 (Caused by NameResolutionError(""HTTPSConnection(host='zenodo.org', port=443): Failed to resolve 'zenodo.org' ([Errno 11004] getaddrinfo failed)""))"
