anchor_id,name,inchikey,evidence_source,source_doi,source_record_id,T_K,frequency_MHz,property_family,value,expected_value,reference_T_K,reference_frequency_MHz,tolerance,delta,comparable,agreement,n_evidence_sources,promotion_blocked,gate_flags,notes
benzene_298K,benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,dielectric_v02,10.6028/nbs.circ.514,nbs514:p26:008,293.15,0.0,zero_frequency,2.284,2.284,293.15,0,0.05,0,true,agree,2,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,Frequency derived from the row's gate flags; the promoted schema has no frequency column.
benzene_298K,benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,nbs514_transcript,10.6028/nbs.circ.514,nbs514:p26:008,293.15,0.0,zero_frequency,2.284,2.284,293.15,0,0.05,0,true,agree,2,false,nbs514_circular_514,"Raw NBS Circular 514 transcription. Pages 13-47 hold critically evaluated static constants, so frequency is zero by construction."
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,p1_spot_check,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,298.15,0.0,zero_frequency,32.72,32.6,298.15,0,0.2,0.12,true,agree,6,true,zero_frequency|pure_component,"Week 1 protocol-matched observation, independently validated by scripts/verify_week1.py."
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,dielectric_v01,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,,298.15,0.0,zero_frequency,33.6,32.6,298.15,0,0.2,1,true,disagree,6,true,zero_frequency|pure_component|experimental|historical_fallback_target,Frequency derived from the row's gate flags; the promoted schema has no frequency column. DISAGREES with the reference beyond the anchor tolerance; no side is chosen here - see reports/decisions_log.md.
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,dielectric_v02,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,,298.15,0.0,zero_frequency,33.6,32.6,298.15,0,0.2,1,true,disagree,6,true,zero_frequency|pure_component|experimental|historical_fallback_target,Frequency derived from the row's gate flags; the promoted schema has no frequency column. DISAGREES with the reference beyond the anchor tolerance; no side is chosen here - see reports/decisions_log.md.
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,dielectric_v01_ext,10.1016/j.tca.2013.05.022,data/raw/thermoml/10.1016__j.tca.2013.05.022-25c5c6642852.xml,323,0,zero_frequency,31.98,32.6,298.15,0,0.2,-0.62,false,not_comparable,6,true,high_temperature_extension|zero_frequency|pure_component|experimental,High-temperature extension row; carries an explicit frequency. Protocol differs from the reference (temperature or frequency).
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,chodera_crosscheck,arXiv:1506.00262,,298,0.0,zero_frequency,33.1,32.6,298.15,0,0.2,0.5,true,disagree,6,true,,"Temperature-matched pair value from an independent compilation (median 32.85). Frequency is inherited from the matched p1 observation: the compilation carries no explicit frequency field, so this row is weaker evidence than a source that states one. DISAGREES with the reference beyond the anchor tolerance; no side is chosen here - see reports/decisions_log.md."
methanol_298K,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,nbs514_transcript,10.6028/nbs.circ.514,nbs514:p13:015,298.15,0.0,zero_frequency,32.63,32.6,298.15,0,0.2,0.03,true,agree,6,true,nbs514_circular_514,"Raw NBS Circular 514 transcription. Pages 13-47 hold critically evaluated static constants, so frequency is zero by construction."
acetonitrile_298K_1MHz,acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,p1_spot_check,10.1021/je700055p,data/raw/thermoml/10.1021__je700055p-d24c8c969e2d.xml,298.15,1.0,frequency_dependent,35.88,35.9,298.15,1,0.5,-0.02,true,agree,3,false,frequency_dependent|pure_component,"Week 1 protocol-matched observation, independently validated by scripts/verify_week1.py."
acetonitrile_298K_1MHz,acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,dielectric_v02,10.6028/nbs.circ.514,nbs514:p15:003,293.15,0.0,zero_frequency,37.5,35.9,298.15,1,0.5,1.6,false,not_comparable,3,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,Frequency derived from the row's gate flags; the promoted schema has no frequency column. Protocol differs from the reference (temperature or frequency).
acetonitrile_298K_1MHz,acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,nbs514_transcript,10.6028/nbs.circ.514,nbs514:p15:003,293.15,0.0,zero_frequency,37.5,35.9,298.15,1,0.5,1.6,false,not_comparable,3,false,nbs514_circular_514,"Raw NBS Circular 514 transcription. Pages 13-47 hold critically evaluated static constants, so frequency is zero by construction. Protocol differs from the reference (temperature or frequency)."
ethylene_carbonate_313K_1MHz,ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,dielectric_v01_ext,10.1021/je050341y,"Chernyak, J. Chem. Eng. Data 2006, 51(2), 416-418, Table 1, p416",313.15,1,frequency_dependent,90.5,90.5,313.15,1,0.5,0,true,agree,1,false,high_temperature_extension|literature_manual_entry|single_source|frequency_1mhz,High-temperature extension row; carries an explicit frequency.
propylene_carbonate_298K,propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,,,,,,,,64.9,298.15,0,0.5,,false,no_data,0,false,,no NIST ThermoML rows at all; the 64.9 manual reference has no traceable source
dmc_298K,dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,p1_spot_check,10.1016/j.jct.2008.02.015,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,298.15,0.0,zero_frequency,3.134,3.09,298.15,0,0.05,0.044,true,agree,5,false,zero_frequency|pure_component,"Week 1 protocol-matched observation, independently validated by scripts/verify_week1.py."
dmc_298K,dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dielectric_v01,10.1016/j.jct.2008.02.015,,298.15,0.0,zero_frequency,3.134,3.09,298.15,0,0.05,0.044,true,agree,5,false,zero_frequency|pure_component|experimental|historical_fallback_target,Frequency derived from the row's gate flags; the promoted schema has no frequency column.
dmc_298K,dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dielectric_v02,10.1016/j.jct.2008.02.015,,298.15,0.0,zero_frequency,3.134,3.09,298.15,0,0.05,0.044,true,agree,5,false,zero_frequency|pure_component|experimental|historical_fallback_target,Frequency derived from the row's gate flags; the promoted schema has no frequency column.
dmc_298K,dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dielectric_v01_ext,10.1016/j.jct.2008.02.015,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,318.15,0,zero_frequency,3.147,3.09,298.15,0,0.05,0.057,false,not_comparable,5,false,high_temperature_extension|zero_frequency|pure_component|experimental,High-temperature extension row; carries an explicit frequency. Protocol differs from the reference (temperature or frequency).
dmc_298K,dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,chodera_crosscheck,arXiv:1506.00262,,298.2,0.0,zero_frequency,3.134,3.09,298.15,0,0.05,0.044,true,agree,5,false,,"Temperature-matched pair value from an independent compilation (median 3.141). Frequency is inherited from the matched p1 observation: the compilation carries no explicit frequency field, so this row is weaker evidence than a source that states one."
