inchikey,smiles,name,p1_n,chodera_n,p1_median,chodera_median,median_difference,nearest_p1_T_K,nearest_chodera_T_K,pair_delta_T_K,pair_p1_value,pair_chodera_value,pair_value_delta,relative_delta_percent,p1_temps_K,chodera_temps_K,p1_source_doi,chodera_source_doi,driver_note
AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,N-methylaniline,1,1,5.878,5.878,0,300.15,300.2,0.05,5.878,5.878,0,0,300.15,300.2,10.1016/j.jct.2011.10.028,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,pentan-1-ol,13,5,15.736,15.151,-0.585,293.15,293.2,0.05,15.739,15.7375,-0.0015,-0.009530465722091619543808374103,293.15|298.15|303.15|293.15|298.15|303.15|298.15|298.15|298.15|298.15|298.15|298.15|298.15,288.2|293.2|298.2|303.2|308.2,10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024;10.1021/je060248p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
BAPJBEWLBFYGME-UHFFFAOYSA-N,C=CC(=O)OC,methyl propenoate,5,21,7.021,6.84,-0.181,293.15,293.2,0.05,7.17,7.17,0,0,293.15|295.65|298.15|300.65|303.15,278.2|280.6|283.2|285.6|288.2|290.6|293.2|295.6|298.2|300.6|303.2|305.6|308.2|310.6|313.2|315.6|318.2|320.6|323.2|325.6|328.2,10.1021/je301333b,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,propan-1-ol,13,7,21.3,20.678,-0.622,298,298,0,21.3,21.3,0,0,298|300.15|303|298.15|298.15|298.15|298.15|298.15|298.15|298.15|293.15|298.15|303.15,288.2|293.2|298|298.2|300.2|303.2|308.2,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
BGTOWKSIORTVQH-UHFFFAOYSA-N,O=C1CCCC1,cyclopentanone,6,9,13.505,13.67,0.165,293.15,293.2,0.05,13.67,13.67,0,0,298.15|293.15|295.65|298.15|300.65|303.15,273.2|278.2|283.2|288.2|293.2|298.2|303.2|308.2|313.2,10.1021/acs.jced.8b00755;10.1021/je200682t,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,nonane,1,5,1.98,1.966,-0.014,298.15,298.2,0.05,1.98,1.98,0,0,298.15,288.2|298.2|308.2|318.2|328.2,10.1016/j.jct.2008.09.006,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,1,5,20.59,19.69,-0.9,303.15,303.2,0.05,20.59,20.59,0,0,303.15,303.2|308.2|313.2|318.2|323.2,10.1021/je600515j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
CGZZMOTZOONQIA-UHFFFAOYSA-N,O=C1CCCCCC1,cycloheptanone,5,1,12.92,12.92,0,298.15,298.2,0.05,12.92,12.92,0,0,293.15|295.65|298.15|300.65|303.15,298.2,10.1021/je200682t,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
CQEYYJKEWSMYFG-UHFFFAOYSA-N,C=CC(=O)OCCCC,butyl 2-propenoate,5,21,5.31,5.205,-0.105,293.15,293.2,0.05,5.418,5.418,0,0,293.15|295.65|298.15|300.65|303.15,278.2|280.6|283.2|285.6|288.2|290.6|293.2|295.6|298.2|300.6|303.2|305.6|308.2|310.6|313.2|315.6|318.2|320.6|323.2|325.6|328.2,10.1021/je301333b,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
CRVGTESFCCXCTH-UHFFFAOYSA-N,CN(CCO)CCO,N-methyldiethanolamine,4,8,22.12,21.064999999999998,-1.055000000000002,293.15,293.2,0.05,22.9,22.9,0,0,293.15|298.15|303.15|303.15,293.2|298.2|303.2|308.2|313.2|318.2|323.2|328.2,10.1016/j.tca.2012.10.004;10.1021/je600515j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
