target_record_id,target_set,inchikey,smiles,name,T_K,dielectric_available,viscosity_available,missing_properties,source_doi,gate_flags
chodera2015:0001,chodera_2015_historical_fallback,UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,(2-hydroxyethyl)dimethylamine,303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0002,chodera_2015_historical_fallback,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,293.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0003,chodera_2015_historical_fallback,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0004,chodera_2015_historical_fallback,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0005,chodera_2015_historical_fallback,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,313.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0006,chodera_2015_historical_fallback,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",288.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0007,chodera_2015_historical_fallback,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0008,chodera_2015_historical_fallback,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0009,chodera_2015_historical_fallback,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",318.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0010,chodera_2015_historical_fallback,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",328.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0011,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0012,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0013,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",313.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0014,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",318.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0015,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",323.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0016,chodera_2015_historical_fallback,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",328.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0017,chodera_2015_historical_fallback,RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0018,chodera_2015_historical_fallback,RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0019,chodera_2015_historical_fallback,RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",318.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0020,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,288.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0021,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,293.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0022,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,298.0,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0023,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0024,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0025,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0026,chodera_2015_historical_fallback,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-butanol,313.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0027,chodera_2015_historical_fallback,AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-pentanol,288.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0028,chodera_2015_historical_fallback,AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-pentanol,293.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0029,chodera_2015_historical_fallback,AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-pentanol,298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0030,chodera_2015_historical_fallback,AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-pentanol,303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0031,chodera_2015_historical_fallback,AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-pentanol,308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0032,chodera_2015_historical_fallback,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",288.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0033,chodera_2015_historical_fallback,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",298.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0034,chodera_2015_historical_fallback,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",308.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0035,chodera_2015_historical_fallback,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",318.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0036,chodera_2015_historical_fallback,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",328.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
chodera2015:0037,chodera_2015_historical_fallback,CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methyl-1-propanol,303.2,true,false,viscosity,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|missing_viscosity
chodera2015:0038,chodera_2015_historical_fallback,CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methyl-1-propanol,308.2,true,false,viscosity,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|missing_viscosity
chodera2015:0039,chodera_2015_historical_fallback,CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methyl-1-propanol,313.2,true,false,viscosity,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|missing_viscosity
chodera2015:0040,chodera_2015_historical_fallback,CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methyl-1-propanol,318.2,true,false,viscosity,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|missing_viscosity
chodera2015:0041,chodera_2015_historical_fallback,CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methyl-1-propanol,323.2,true,false,viscosity,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|missing_viscosity
chodera2015:0042,chodera_2015_historical_fallback,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,2-aminoethanol,303.2,true,true,,arXiv:1506.00262,historical_fallback_target|target_308_unavailable|experimental
