source,source_type,access_status,query,result_count,known_trainable_additions,decision,evidence
dielectric_v02,local_training_dataset,available,committed pure-liquid relative-permittivity table,210,0,current_training_base,data/dielectric_v02.csv
NBS Circular 514,local_public_candidate_pool,available,all resolved and selection-eligible records,215,0,four_candidates_pending_manual_review,"114 eligible, 110 already selected, 4 additional eligible but not yet promoted"
Landolt-Bornstein 2015,closed_manual_queue,subscription_required,pure-liquid static dielectric chapter queue,217,0,manual_transcription_only,data/processed/landolt_boernstein_2015_pure_liquid_queue.csv
SpringerMaterials,restricted_crosscheck,authenticated_local_capture,name-matched dielectric datasets,60,0,crosscheck_only_do_not_promote_restricted_rows,data/restricted/springer_materials/
NIST ThermoML local snapshot,local_public_observations,available,relative permittivity at constant frequency,11646,0,already_represented_in_v01_and_v02,100 near-298 pure keys; probes/data_expansion_summary.json
ChalkLab archive,local_public_archive,available,zero-frequency pure compounds,103,0,no_new_near_room_training_compounds,3 all-temperature new; 0 near-298 new
ChemDataExtractor,text_mined_records,available,dielectric records without independent temperature,60804,0,candidate_discovery_only,11054 compounds; no independent T
crossref,metadata_search,reachable,relative-permittivity / pure-liquid dataset search,1198,0,requires_artifact_review_before_any_count,"{""status"": ""reachable"", ""result_count"": 1198, ""top_records"": [{""doi"": ""10.1515/iupac.79.0157"", ""title"": ""Dielectric Constant""}, {""doi"": ""10.1515/iupac.94.0403"", ""title"": ""Dielectric Constant""}, {""doi"": ""10.1515/iupac.66.0519"", ""title"": ""Dielectric Constant""}, {""doi"": ""10.29172/9c9d58c4-3f0d-415d-9448-784a41c227ad"", ""title"": ""Dielectric constant measurements""}, {""doi"": ""10.1515/iupac.71.0486"", ""title"": ""Polarizability (Static Dielectric Polarizability)""}]}"
datacite,metadata_search,reachable,relative-permittivity / pure-liquid dataset search,0,0,requires_artifact_review_before_any_count,"{""status"": ""reachable"", ""result_count"": 0, ""top_records"": []}"
zenodo,metadata_search,unavailable,relative-permittivity / pure-liquid dataset search,0,0,requires_artifact_review_before_any_count,"{""status"": ""unavailable"", ""error"": ""ConnectionError: HTTPSConnectionPool(host='zenodo.org', port=443): Max retries exceeded with url: /api/records?q=relative+permittivity+pure+liquids+dataset&size=5 (Caused by NameResolutionError(\""HTTPSConnection(host='zenodo.org', port=443): Failed to resolve 'zenodo.org' ([Errno 11004] getaddrinfo failed)\""))""}"
