representation,repeat,fold,inchikey,name,T_K,hbd,hbond_donor_count,target,prediction,onsager_epsilon,applicability_domain
Morgan,0,0,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,298.15,1,1,16.6,10.0917692184,8.35397764198,outside_associated_liquid
Morgan,0,0,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,300.65,2,2,22.12,23.4431686401,10.6262172267,outside_associated_liquid
Morgan,0,0,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,298.15,1,1,12.49,13.0601243973,6.90436439321,outside_associated_liquid
Morgan,0,0,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,298.15,0,0,3.106,3.92127847672,2.81657790905,inside_domain
Morgan,0,0,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,298.15,0,0,16.9,16.1731643677,96.6466343683,inside_domain
Morgan,0,0,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,298.15,0,0,3.134,15.6793985367,1.5899816096,inside_domain
Morgan,0,0,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",303.15,2,2,39.84,23.4431686401,15.3073129364,outside_associated_liquid
Morgan,0,0,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,303.15,3,3,41.17,33.8228225708,13.4501001088,outside_associated_liquid
Morgan,0,0,SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",298.15,0,0,7.3815,7.55787992477,14.0264717054,inside_domain
Morgan,0,0,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,298.2,0,0,2.01,9.83333396912,1.10998539605,inside_domain
Morgan,0,0,UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",303.15,1,1,17.18,24.3173046112,2.86613042866,outside_associated_liquid
Morgan,0,0,UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",298.15,0,0,12.5,12.2564916611,24.4937811978,inside_domain
Morgan,0,0,UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,298.15,4,4,31,48.658870697,11.4536548979,outside_associated_liquid
Morgan,0,0,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,0,0,35,16.1731643677,45.7566800107,inside_domain
Morgan,0,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,297.575,0,1,78.87,20.5378913879,40.4474006258,outside_associated_liquid
Morgan,0,0,YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,295.65,0,0,41.99,16.8924331665,50.6116986269,inside_domain
Morgan,0,0,YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",302.85,0,0,4.1348,9.83333396912,7.17247104625,inside_domain
Morgan,0,0,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-ethyl-1-hexanol,298.2,1,1,7.353,15.8180103302,5.01442556827,outside_associated_liquid
Morgan,0,0,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,"2,5,8,11,14-pentaoxapentadecane",298.15,0,0,7.798,7.55787992477,10.2230813729,inside_domain
Morgan,0,0,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),303.15,1,1,13,37.1422538757,9.74097362491,outside_associated_liquid
Morgan,0,0,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,298.15,0,0,8.03,12.1986436844,9.74006290335,inside_domain
Morgan,0,0,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,298.15,0,0,6.68,15.6793985367,11.7371732209,inside_domain
Morgan,0,0,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,298.15,0,0,6.02,9.62282657623,9.7831231174,inside_domain
Morgan,0,0,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,298.15,1,1,7.33,9.83333396912,5.3942637877,outside_associated_liquid
Morgan,0,0,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),293.15,0,0,36.1,26.1117019653,48.0153469112,inside_domain
Morgan,0,0,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,293.15,0,0,14,16.8924331665,15.7212749253,inside_domain
Morgan,0,0,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,293.15,0,0,12.4,16.8924331665,18.1666231408,inside_domain
Morgan,0,0,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,293.15,1,1,13.3,11.6502008438,5.23202446322,outside_associated_liquid
Morgan,0,0,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,293.15,1,1,12.3,11.6502008438,4.10543593176,outside_associated_liquid
Morgan,0,0,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,293.15,0,0,2.1,4.18902206421,1.29861209178,inside_domain
Morgan,0,0,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,293.15,0,0,1.965,9.83333396912,1.10560773191,inside_domain
Morgan,0,0,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,298.15,0,0,2.22,9.83333396912,1.24380093714,inside_domain
Morgan,0,0,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,298.15,0,0,2.062,6.47726249695,1.19258064684,inside_domain
Morgan,0,0,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,293.15,0,0,1.89,5.9885597229,1.10385792273,inside_domain
Morgan,0,0,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",303.15,0,0,9.18,7.72822141647,23.2671758909,inside_domain
Morgan,0,0,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,293.15,0,0,4.8,7.72822141647,15.1734627111,inside_domain
Morgan,0,0,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,298.15,1,1,4.95,6.19673633575,12.2942625019,outside_associated_liquid
Morgan,0,0,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,293.15,1,1,6.89,7.72822141647,7.45516883493,outside_associated_liquid
Morgan,0,0,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,293.15,0,0,5.55,6.79610824585,8.19037794732,inside_domain
Morgan,0,0,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,293.15,0,0,6.08,6.79610824585,9.81647562753,inside_domain
Morgan,0,0,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",298.15,0,0,2.22,9.83333396912,1.31910733263,inside_domain
Physical,0,0,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,298.15,1,1,16.6,11.9277992249,8.35397764198,outside_associated_liquid
Physical,0,0,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,300.65,2,2,22.12,18.7433166504,10.6262172267,outside_associated_liquid
Physical,0,0,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,298.15,1,1,12.49,12.2145042419,6.90436439321,outside_associated_liquid
Physical,0,0,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,298.15,0,0,3.106,2.79613447189,2.81657790905,inside_domain
Physical,0,0,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,298.15,0,0,16.9,22.0148735046,96.6466343683,inside_domain
Physical,0,0,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,298.15,0,0,3.134,23.5331726074,1.5899816096,inside_domain
Physical,0,0,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",303.15,2,2,39.84,47.8306655884,15.3073129364,outside_associated_liquid
Physical,0,0,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,303.15,3,3,41.17,27.8145771027,13.4501001088,outside_associated_liquid
Physical,0,0,SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",298.15,0,0,7.3815,9.06373310089,14.0264717054,inside_domain
Physical,0,0,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,298.2,0,0,2.01,2.56008982658,1.10998539605,inside_domain
Physical,0,0,UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",303.15,1,1,17.18,25.19688797,2.86613042866,outside_associated_liquid
Physical,0,0,UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",298.15,0,0,12.5,17.0592880249,24.4937811978,inside_domain
Physical,0,0,UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,298.15,4,4,31,54.5133514404,11.4536548979,outside_associated_liquid
Physical,0,0,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,0,0,35,19.892660141,45.7566800107,inside_domain
Physical,0,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,297.575,0,1,78.87,38.1709327698,40.4474006258,outside_associated_liquid
Physical,0,0,YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,295.65,0,0,41.99,28.3148384094,50.6116986269,inside_domain
Physical,0,0,YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",302.85,0,0,4.1348,2.92587852478,7.17247104625,inside_domain
Physical,0,0,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-ethyl-1-hexanol,298.2,1,1,7.353,10.6428642273,5.01442556827,outside_associated_liquid
Physical,0,0,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,"2,5,8,11,14-pentaoxapentadecane",298.15,0,0,7.798,13.2565689087,10.2230813729,inside_domain
Physical,0,0,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),303.15,1,1,13,22.8853569031,9.74097362491,outside_associated_liquid
Physical,0,0,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,298.15,0,0,8.03,13.0425653458,9.74006290335,inside_domain
Physical,0,0,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,298.15,0,0,6.68,24.4434967041,11.7371732209,inside_domain
Physical,0,0,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,298.15,0,0,6.02,9.50109291077,9.7831231174,inside_domain
Physical,0,0,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,298.15,1,1,7.33,14.6250524521,5.3942637877,outside_associated_liquid
Physical,0,0,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),293.15,0,0,36.1,45.7028503418,48.0153469112,inside_domain
Physical,0,0,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,293.15,0,0,14,11.2105398178,15.7212749253,inside_domain
Physical,0,0,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,293.15,0,0,12.4,12.3799819946,18.1666231408,inside_domain
Physical,0,0,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,293.15,1,1,13.3,10.6001691818,5.23202446322,outside_associated_liquid
Physical,0,0,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,293.15,1,1,12.3,11.2046403885,4.10543593176,outside_associated_liquid
Physical,0,0,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,293.15,0,0,2.1,1.22912478447,1.29861209178,inside_domain
Physical,0,0,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,293.15,0,0,1.965,3.22682762146,1.10560773191,inside_domain
Physical,0,0,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,298.15,0,0,2.22,1.93026661873,1.24380093714,inside_domain
Physical,0,0,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,298.15,0,0,2.062,1.57536184788,1.19258064684,inside_domain
Physical,0,0,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,293.15,0,0,1.89,2.58116960526,1.10385792273,inside_domain
