model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
DummyMean,42,0,0,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,15.714874500000002,20.689820041194622,-0.0009974830512855526
SizeOnlyRidge,42,0,0,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,16.448114590678397,21.14980705532404,-0.046001671596683336
MorganRBFGPR,42,0,0,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,11.089295221205601,15.571557110338844,0.43299923494466785
DummyMean,42,0,1,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,8.365891375,9.844121564820128,-0.30026773252770256
SizeOnlyRidge,42,0,1,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,8.897919594568124,10.523226605868734,-0.48585590308671334
MorganRBFGPR,42,0,1,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,7.389985474360172,9.93173938200136,-0.3235168610351442
DummyMean,42,0,2,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,13.03206425,15.443960510973831,-0.11791771796219308
SizeOnlyRidge,42,0,2,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,13.502198441512757,16.33323626334452,-0.2503654445921375
MorganRBFGPR,42,0,2,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,9.976336444584737,13.212043824756522,0.1818508461559427
DummyMean,42,0,3,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,19.902745000000003,38.402041746678655,-0.08799908728177508
SizeOnlyRidge,42,0,3,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,18.64396468882985,37.67163765252912,-0.04700534928476641
MorganRBFGPR,42,0,3,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,16.119078973515037,36.25166140943722,0.030437677592651702
DummyMean,42,0,4,80,20,3926ce22b56b4595fa30b192936ac811b7f27c8c62c73b2b768ef7f20703ec4d,d08ab3371ee317377150939e4d7760b2c7f6bf526440d90e24536865d58ea758,17.56938275,25.52978430859386,-0.0004180492941674441
SizeOnlyRidge,42,0,4,80,20,3926ce22b56b4595fa30b192936ac811b7f27c8c62c73b2b768ef7f20703ec4d,d08ab3371ee317377150939e4d7760b2c7f6bf526440d90e24536865d58ea758,16.06693502550986,24.134598615906658,0.10593851145004363
MorganRBFGPR,42,0,4,80,20,3926ce22b56b4595fa30b192936ac811b7f27c8c62c73b2b768ef7f20703ec4d,d08ab3371ee317377150939e4d7760b2c7f6bf526440d90e24536865d58ea758,14.132237116616448,27.892404435736182,-0.19415069261413764
DummyMean,42,1,0,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,18.470822375,37.90481753348993,-0.04291297183667564
SizeOnlyRidge,42,1,0,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,17.576327871153286,37.030541765146474,0.004641841802483837
MorganRBFGPR,42,1,0,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,16.91994387020949,36.8943419676597,0.011950309983762564
