model,repeat,fold,seed,n_train,n_test,train_id_hash,test_id_hash,config,mae,rmse,r2
Tanimoto_GPR,0,0,42,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",10.412297221148535,16.226014040113146,0.3843367169355838
RBF_GPR,0,0,42,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,11.089295221205601,15.571557110338844,0.43299923494466785
XGBoost,0,0,42,80,20,48b1646f71f945e2bcfa89abd6b079acea4a35d95c74d31b4dd74c3675af9c87,abfffe264a60dd08cf7fd55f3847dfc6ea6b2a1cf3d3036b60cf6d5e352fcb51,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",11.076764314117431,17.058010321031176,0.3195811999150283
Tanimoto_GPR,0,1,42,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",8.938474099492893,12.13691517424386,-0.9764939175302592
RBF_GPR,0,1,42,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,7.389985474360172,9.93173938200136,-0.3235168610351442
XGBoost,0,1,42,80,20,24badd7a15abba18705b2c77934c8ee288482475c299e5ca734201f1bd014505,354db6f85ce31539dbfc1a162b5d43efdefbbdef63db955565387c60b0e9988c,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",10.45830781841278,14.879939794896226,-1.9708532315566494
Tanimoto_GPR,0,2,42,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",8.153785800963892,11.111147654562844,0.4213575216292056
RBF_GPR,0,2,42,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,9.976336444584737,13.212043824756522,0.1818508461559427
XGBoost,0,2,42,80,20,2922ed6288d3c67c0a263af72afaeb78ccc98047429c763bf66eacb69bca5ce8,f769b2d0faeeb77f60bca28757b39f0f2b5ce427f2475570b459cacf03ed1c35,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",8.023805718708036,11.27212148792244,0.4044697916062997
Tanimoto_GPR,0,3,42,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",14.485669043992937,37.23150989200453,-0.022683380315462465
RBF_GPR,0,3,42,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,16.119078973515037,36.25166140943722,0.030437677592651702
XGBoost,0,3,42,80,20,29a1c0e82a71e84bcb22eca216f7275814a02b0445f5bf3b3bc288046aa359d1,2804b17bbda2a69896ddedbb454a5b1ebb167fec26a455b256d34072b2de6c23,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",14.012759636669163,38.407876302826025,-0.0883297193893684
Tanimoto_GPR,0,4,42,80,20,3926ce22b56b4595fa30b192936ac811b7f27c8c62c73b2b768ef7f20703ec4d,d08ab3371ee317377150939e4d7760b2c7f6bf526440d90e24536865d58ea758,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",13.724551644371171,25.226204820813784,0.023232811225554983
RBF_GPR,0,4,42,80,20,3926ce22b56b4595fa30b192936ac811b7f27c8c62c73b2b768ef7f20703ec4d,d08ab3371ee317377150939e4d7760b2c7f6bf526440d90e24536865d58ea758,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,14.132237116616448,27.892404435736182,-0.19415069261413764
