model,train_size,run,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
DummyMean,20,0,20,20,bdc829126d09b5bff2c06022a09dd5a2576c2d0cb4f3902548361c9fd06a4e5b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.102496000000002,24.239602629009312,-0.01625936329852129
SizeOnlyRidge,20,0,20,20,bdc829126d09b5bff2c06022a09dd5a2576c2d0cb4f3902548361c9fd06a4e5b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.397495266189758,23.803823283328704,0.019952775749433882
MorganRBFGPR,20,0,20,20,bdc829126d09b5bff2c06022a09dd5a2576c2d0cb4f3902548361c9fd06a4e5b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.621420255181253,27.363561655985002,-0.2950866229209046
DummyMean,20,1,20,20,aa53a5f8996d1ed7884f08cb23d7e3a1aefcd58270d9ae894877472d58937080,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,18.022525000000005,24.093804109926275,-0.004070755914227453
SizeOnlyRidge,20,1,20,20,aa53a5f8996d1ed7884f08cb23d7e3a1aefcd58270d9ae894877472d58937080,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,18.64283196321463,24.29909542104055,-0.021254024589960396
MorganRBFGPR,20,1,20,20,aa53a5f8996d1ed7884f08cb23d7e3a1aefcd58270d9ae894877472d58937080,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.944332179244233,21.852421944207677,0.17405196683002233
DummyMean,20,2,20,20,8a2b3b9420745dec8bc66b33bd25a991c955762661c42668f3fc05e240c81242,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.4322645,24.886502848700562,-0.07122651118535206
SizeOnlyRidge,20,2,20,20,8a2b3b9420745dec8bc66b33bd25a991c955762661c42668f3fc05e240c81242,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.140812896436973,24.20348517707193,-0.013233129417175693
MorganRBFGPR,20,2,20,20,8a2b3b9420745dec8bc66b33bd25a991c955762661c42668f3fc05e240c81242,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.44102833880211,23.316187419851417,0.05969522122384019
DummyMean,20,3,20,20,8026f162d1f501641c347e503917d4c7ed484d6b8ade80f619bd5449b1a87844,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.92369,24.067391902206083,-0.001870589475622575
SizeOnlyRidge,20,3,20,20,8026f162d1f501641c347e503917d4c7ed484d6b8ade80f619bd5449b1a87844,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.180471538125914,23.539666396264867,0.04158373467473797
MorganRBFGPR,20,3,20,20,8026f162d1f501641c347e503917d4c7ed484d6b8ade80f619bd5449b1a87844,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.075351025508567,22.973294327538824,0.08714852544950957
DummyMean,20,4,20,20,0c992fce578de5a80b1c5647a76b6884f21c1a2e9e542d538c82a351366b86a0,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.921085,24.066832611033384,-0.0018240259868618214
