inchikey,name,smiles,T_K,epsilon,frequency_mhz,epsilon_unit,uncertainty_expanded,uncertainty_standard,uncertainty_kind,confidence_level,phase,method,property_family,property_name,pressure_kpa,source_doi,source_file,source_file_sha256,source_row_index,dataset_number,component_count,in_roster,model_ready,roster_T_K,roster_dielectric,roster_temperature_delta_K,deviation_vs_roster_static_percent,temperature_band,gate,frequencies_at_temperature,n_values_at_same_temperature,near_atmospheric_pressure
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-pentanol,,298.15,13.21,1,,0.29,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,100,10.1016/j.jct.2015.03.021,data/raw/thermoml/10.1016__j.jct.2015.03.021-baf780968794.xml,e9ba46be25a3c2900445e9c0a0c497e4bd93bb048a49383f33172e0e6cfcf2d8,0,6,1,false,,,,,,room_temperature,accepted_primary_lowfreq,1,1,true
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-pentanol,,308.15,11.39,1,,0.29,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,100,10.1016/j.jct.2015.03.021,data/raw/thermoml/10.1016__j.jct.2015.03.021-baf780968794.xml,e9ba46be25a3c2900445e9c0a0c497e4bd93bb048a49383f33172e0e6cfcf2d8,1,6,1,false,,,,,,outside_declared_window,accepted_primary_lowfreq,1,1,true
ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-methylformamide,,303.15,169.76,1,,1.02,,combined,95,Liquid,capacitance measurements at 1 MHz,frequency_dependent,Relative permittivity at various frequencies,101.3,10.1016/j.tca.2010.04.013,data/raw/thermoml/10.1016__j.tca.2010.04.013-c28ac697c4dc.xml,e5b8ca094759278f6f2a040c022349a8bf9744cc69c26544d6ddd677ab48256e,0,6,1,false,,,,,,room_temperature,accepted_primary_lowfreq,1,1,true
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,,293.15,3.964,1,,0.369,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,101,10.1016/j.fluid.2018.04.007,data/raw/thermoml/10.1016__j.fluid.2018.04.007-97057ee59b6a.xml,a5b8d9472b4ce11f0ccd761b9a7d48c8f31e25d903b2ffcf47f81696f2c5e00f,0,16,1,false,,,,,,room_temperature,accepted_primary_lowfreq,1,2,true
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,,298.15,3.904,1,,0.367,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,101,10.1016/j.fluid.2018.04.007,data/raw/thermoml/10.1016__j.fluid.2018.04.007-97057ee59b6a.xml,a5b8d9472b4ce11f0ccd761b9a7d48c8f31e25d903b2ffcf47f81696f2c5e00f,1,16,1,false,,,,,,room_temperature,accepted_primary_lowfreq,1,2,true
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,,303.15,3.846,1,,0.365,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,101,10.1016/j.fluid.2018.04.007,data/raw/thermoml/10.1016__j.fluid.2018.04.007-97057ee59b6a.xml,a5b8d9472b4ce11f0ccd761b9a7d48c8f31e25d903b2ffcf47f81696f2c5e00f,2,16,1,false,,,,,,room_temperature,accepted_primary_lowfreq,1,2,true
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,,283.15,9.323,2,,0.093,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,99,10.1016/j.jct.2015.03.001,data/raw/thermoml/10.1016__j.jct.2015.03.001-c72d90cf15f4.xml,e6d325250dfac1c02008f68abdf5520909b2bf5ecb0905958ea7d2cae6b1ca13,0,5,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,false
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,,298.15,8.652,2,,0.087,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,99,10.1016/j.jct.2015.03.001,data/raw/thermoml/10.1016__j.jct.2015.03.001-c72d90cf15f4.xml,e6d325250dfac1c02008f68abdf5520909b2bf5ecb0905958ea7d2cae6b1ca13,1,5,1,false,,,,,,room_temperature,accepted_extended_lowfreq,2,1,false
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,,313.15,8.07,2,,0.081,,combined,95,Liquid,Parallel plate capacitor,frequency_dependent,Relative permittivity at various frequencies,99,10.1016/j.jct.2015.03.001,data/raw/thermoml/10.1016__j.jct.2015.03.001-c72d90cf15f4.xml,e6d325250dfac1c02008f68abdf5520909b2bf5ecb0905958ea7d2cae6b1ca13,2,5,1,false,,,,,,extended_temperature,accepted_extended_lowfreq,2,1,false
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,278.15,15.2,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,0,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,280.65,15,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,1,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,283.15,15,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,2,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,285.65,14.9,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,3,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,288.15,14.8,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,4,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,290.65,14.7,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,5,15,1,false,,,,,,outside_declared_window,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,293.15,14.6,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,6,15,1,false,,,,,,room_temperature,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,295.65,14.5,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,7,15,1,false,,,,,,room_temperature,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,298.15,14.4,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,8,15,1,false,,,,,,room_temperature,accepted_extended_lowfreq,2,1,true
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,,300.65,14.4,2,,0.1,,combined,95,Liquid,capacitive measurement method,frequency_dependent,Relative permittivity at various frequencies,101,10.1021/je400783h,data/raw/thermoml/10.1021__je400783h-650322097419.xml,d64ff9ab6d281ea99e4b9f2976441c7314201f82c932ca08f99f4bbb5769b493,9,15,1,false,,,,,,room_temperature,accepted_extended_lowfreq,2,1,true
