inchikey,name,resolved_smiles,resolution_status,resolution_source,pubchem_cid,pubchem_formula,thermoml_formula,rdkit_formula,formula_check,inchikey_roundtrip,thermoml_formula_match,in_roster,roster_smiles,roster_smiles_match,has_v11_rows,n_v11_rows,v11_absence_reason,n_accepted_lowfreq_rows,lowfreq_gates,temperature_min_K,temperature_max_K,temperature_span_K,has_frozen_physical_features,needs_xtb,needs_manual_review,source_url,notes
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-pentanol,CCC(CC)O,resolved,pubchem,11428,C5H12O,C5H12O,C5H12O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,2,accepted_primary_lowfreq,298.15,308.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/AQIXEPGDORPWBJ-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=2;zero_freq=0(pure=0,mixture=0);freq_dep_pure=2;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-methylformamide,CNC=O,resolved,pubchem,31254,C2H5NO,C2H5NO,C2H5NO,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,1,accepted_primary_lowfreq,303.15,303.15,0,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ATHHXGZTWNVVOU-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=28;zero_freq=0(pure=0,mixture=0);freq_dep_pure=1;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,CCCCCCN,resolved,pubchem,8102,C6H15N,C6H15N,C6H15N,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,303.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/BMVXCPBXGZKUPN-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=273;zero_freq=0(pure=0,mixture=0);freq_dep_pure=6;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,CCC(C)Cl,resolved,pubchem,6563,C4H9Cl,C4H9Cl,C4H9Cl,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_extended_lowfreq,283.15,313.15,30,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/BSPCSKHALVHRSR-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=81;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,C1CC(OC1)CO,resolved,pubchem,7360,C5H10O2,C5H10O2,C5H10O2,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/BSYVTEYKTMYBMK-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,CC(=O)C,resolved,pubchem,180,C3H6O,C3H6O,C3H6O,match,match,match,true,CC(C)=O,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,1,accepted_primary_lowfreq,298.15,298.15,0,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/CSCPPACGZOOCGX-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=23;zero_freq=0(pure=0,mixture=0);freq_dep_pure=1;pure_freqs_mhz=0.01;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
GSNUFIFRDBKVIE-UHFFFAOYSA-N,"2,5-dimethylfuran",CC1=CC=C(O1)C,resolved,pubchem,12266,C6H8O,C6H8O,C6H8O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/GSNUFIFRDBKVIE-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
HDGQICNBXPAKLR-UHFFFAOYSA-N,"2,4-dimethylhexane",CCC(C)CC(C)C,resolved,pubchem,11511,C8H18,C8H18,C8H18,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,313.15,20,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/HDGQICNBXPAKLR-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=21;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=0.05;structurally_ready_but_not_admitted_to_the_v11_table"
HLPIHRDZBHXTFJ-UHFFFAOYSA-N,2-ethylfuran,CCC1=CC=CO1,resolved,pubchem,18554,C6H8O,C6H8O,C6H8O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/HLPIHRDZBHXTFJ-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
HQABUPZFAYXKJW-UHFFFAOYSA-N,1-butanamine,CCCCN,resolved,pubchem,8007,C4H11N,C4H11N,C4H11N,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,303.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/HQABUPZFAYXKJW-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=45;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
JCCCMAAJYSNBPR-UHFFFAOYSA-N,2-ethylthiophene,CCC1=CC=CS1,resolved,pubchem,13388,C6H8S,C6H8S,C6H8S,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/JCCCMAAJYSNBPR-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
JQVDAXLFBXTEQA-UHFFFAOYSA-N,dibutylamine,CCCCNCCCC,resolved,pubchem,8148,C8H19N,C8H19N,C8H19N,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,303.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/JQVDAXLFBXTEQA-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=57;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
JYVLIDXNZAXMDK-UHFFFAOYSA-N,pentan-2-ol,CCCC(C)O,resolved,pubchem,22386,C5H12O,C5H12O,C5H12O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,2,accepted_primary_lowfreq,298.15,308.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/JYVLIDXNZAXMDK-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=2;zero_freq=0(pure=0,mixture=0);freq_dep_pure=2;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
KWOLFJPFCHCOCG-UHFFFAOYSA-N,acetophenone,CC(=O)C1=CC=CC=C1,resolved,pubchem,7410,C8H8O,C8H8O,C8H8O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,1,accepted_primary_lowfreq,298.15,298.15,0,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/KWOLFJPFCHCOCG-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=23;zero_freq=0(pure=0,mixture=0);freq_dep_pure=1;pure_freqs_mhz=0.01;structurally_ready_but_not_admitted_to_the_v11_table"
LAIUFBWHERIJIH-UHFFFAOYSA-N,3-methylheptane,CCCCC(C)CC,resolved,pubchem,11519,C8H18,C8H18,C8H18,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,313.15,20,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/LAIUFBWHERIJIH-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=21;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=0.05;structurally_ready_but_not_admitted_to_the_v11_table"
LHIJANUOQQMGNT-UHFFFAOYSA-N,N-(2-aminoethyl)ethanolamine,C(CNCCO)N,resolved,pubchem,8112,C4H12N2O,C4H12N2O,C4H12N2O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,12,accepted_primary_lowfreq,293.2,348.2,55,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/LHIJANUOQQMGNT-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=12;zero_freq=0(pure=0,mixture=0);freq_dep_pure=12;pure_freqs_mhz=0.01;structurally_ready_but_not_admitted_to_the_v11_table"
LPEKGGXMPWTOCB-UHFFFAOYSA-N,methyl 2-hydroxypropanoate,CC(C(=O)OC)O,resolved,pubchem,11040,C4H8O3,C4H8O3,C4H8O3,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/LPEKGGXMPWTOCB-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
