inchikey,name,smiles,T_K,epsilon,epsilon_unit,uncertainty_expanded,uncertainty_standard,uncertainty_kind,confidence_level,phase,method,property_family,property_name,frequency_mhz,pressure_kpa,source_doi,source_file,source_file_sha256,source_row_index,dataset_number,component_count,in_roster,model_ready,temperature_band,roster_T_K,roster_dielectric,duplicate_observation_count,distinct_values_at_temperature,multiple_values_at_temperature
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,300.15,5.878,,0.001,,combined,95,Liquid,impedance analyzer,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.jct.2011.10.028,data/raw/thermoml/10.1016__j.jct.2011.10.028-2c10edd225d5.xml,8074c161e11bc0cfc7453ae9cfbc73cc74871b4b68fcf7de88da929043c31a38,2384,2,1,true,true,room_temperature,300.15,5.878,1,1,false
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,12.5,,1.4,,combined,95,Liquid,Coaxial cylinder capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je101184s,data/raw/thermoml/10.1021__je101184s-5cc1e0c9d599.xml,d1d934b0ba1ee323d74aefe1cae9b15bc4efcb0cc489a4ffd83fd2a74d37636b,6857,21,1,true,true,room_temperature,298.15,12.5,1,1,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,288.15,16.334,,0.98,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.05.036,data/raw/thermoml/10.1016__j.tca.2012.05.036-7a79b7cbe9e4.xml,091505120540b46017ff02d6fa141167badef247be101460581dbd0dd10bab68,4792,2,1,true,true,outside_declared_window,298.15,15.736,1,1,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,293.15,15.736,,0.944,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.05.036,data/raw/thermoml/10.1016__j.tca.2012.05.036-7a79b7cbe9e4.xml,091505120540b46017ff02d6fa141167badef247be101460581dbd0dd10bab68,4793,2,1,true,true,room_temperature,298.15,15.736,1,2,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,293.15,15.739,,0.944,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.10.024,data/raw/thermoml/10.1016__j.tca.2012.10.024-875129d55c7d.xml,4ded1ead50f8e637824b9870578c5bf4896cf2e175d951b9b84ba3951bdd7426,5046,2,1,true,true,room_temperature,298.15,15.736,1,2,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,14.96,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6583,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.144,,0.909,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.05.036,data/raw/thermoml/10.1016__j.tca.2012.05.036-7a79b7cbe9e4.xml,091505120540b46017ff02d6fa141167badef247be101460581dbd0dd10bab68,4794,2,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.158,,0.91,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.10.024,data/raw/thermoml/10.1016__j.tca.2012.10.024-875129d55c7d.xml,4ded1ead50f8e637824b9870578c5bf4896cf2e175d951b9b84ba3951bdd7426,5047,2,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.62,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,50000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6584,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,16.12,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6585,10,1,true,true,room_temperature,298.15,15.736,1,9,true
