arm,inchikey,name,epsilon_observed,onsager_epsilon,epsilon_pred,delta_true,delta_pred,signed_error,domain,failure_type
O0_onsager,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,12.9,53.1539772418,53.1539772418,-40.2539772418,0,-40.2539772418,ionic_only,ionic_overprediction
O0_onsager,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,16.9,96.6466343683,96.6466343683,-79.7466343683,0,-79.7466343683,ionic_only,ionic_overprediction
O0_onsager,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,30,153.401832604,153.401832604,-123.401832604,2.84217094304e-14,-123.401832604,ionic_only,ionic_overprediction
O0_onsager,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,23.3,82.1073071673,82.1073071673,-58.8073071673,1.42108547152e-14,-58.8073071673,both,ionic_overprediction
O0_onsager,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,18,116.153845674,116.153845674,-98.1538456736,0,-98.1538456736,ionic_only,ionic_overprediction
O0_onsager,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,13.9,142.089757341,142.089757341,-128.189757341,-2.84217094304e-14,-128.189757341,ionic_only,ionic_overprediction
O0_onsager,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",39.84,15.3073129364,15.3073129364,24.5326870636,0,24.5326870636,assoc_only,assoc_underprediction
O0_onsager,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,20.8289438764,40.0710561236,0,40.0710561236,both,high_epsilon_miss
O0_onsager,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,5.97933023131,79.6206697687,8.881784197e-16,79.6206697687,assoc_only,high_epsilon_miss
O0_onsager,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,5.9744908461,172.495509154,8.881784197e-16,172.495509154,assoc_only,high_epsilon_miss
O0_onsager,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,41.17,13.4501001088,13.4501001088,27.7198998912,-3.5527136788e-15,27.7198998912,assoc_only,assoc_underprediction
O0_onsager,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",12,90.2035313888,90.2035313888,-78.2035313888,0,-78.2035313888,ionic_only,ionic_overprediction
O0_onsager,RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,59.7,27.2818406975,27.2818406975,32.4181593025,-3.5527136788e-15,32.4181593025,assoc_only,assoc_underprediction
O0_onsager,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,4.76933191054,53.5306680895,-8.881784197e-16,53.5306680895,assoc_only,assoc_underprediction
O0_onsager,XDJYSDBSJWNTQT-UHFFFAOYSA-N,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",12.8,44.2192801694,44.2192801694,-31.4192801694,-7.1054273576e-15,-31.4192801694,ionic_only,ionic_overprediction
O0_onsager,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,40.4474006258,38.4225993742,-7.1054273576e-15,38.4225993742,assoc_only,high_epsilon_miss
O0_onsager,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,1.63244107371,1.63244107371,104.507558926,0,104.507558926,assoc_only,high_epsilon_miss
O0_onsager,HEBKCHPVOIAQTA-NGQZWQHPSA-N,Xylitol,40,16.2882582546,16.2882582546,23.7117417454,-3.5527136788e-15,23.7117417454,assoc_only,assoc_underprediction
O0_onsager,YPFDHNVEDLHUCE-UHFFFAOYSA-N,"1,3-Propanediol",35,1.44673551362,1.44673551362,33.5532644864,2.22044604925e-16,33.5532644864,assoc_only,assoc_underprediction
O1_structured_offset,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,12.5,6.67840629363,1,5.82159370637,-5.67840629363,11.5,ionic_only,nonphysical_prediction
O1_structured_offset,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,1.98,1.10532080108,1,0.874679198919,-0.105320801081,0.98,none,nonphysical_prediction
O1_structured_offset,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,12.9,53.1539772418,41.2964130022,-40.2539772418,-11.8575642397,-28.3964130022,ionic_only,ionic_overprediction
O1_structured_offset,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,16.9,96.6466343683,82.9262533334,-79.7466343683,-13.720381035,-66.0262533334,ionic_only,ionic_overprediction
O1_structured_offset,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,1.93,1.10583566295,1,0.82416433705,-0.10583566295,0.93,none,nonphysical_prediction
O1_structured_offset,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,30,153.401832604,140.254764683,-123.401832604,-13.1470679215,-110.254764683,ionic_only,ionic_overprediction
O1_structured_offset,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,23.3,82.1073071673,101.903793965,-58.8073071673,19.7964867976,-78.603793965,both,ionic_overprediction
O1_structured_offset,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,18,116.153845674,103.086980179,-98.1538456736,-13.0668654946,-85.086980179,ionic_only,ionic_overprediction
O1_structured_offset,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,13.9,142.089757341,130.968554652,-128.189757341,-11.121202689,-117.068554652,ionic_only,ionic_overprediction
O1_structured_offset,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,5.607429336,40.0710561236,-15.2215145404,55.292570664,both,high_epsilon_miss
O1_structured_offset,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,14.5519507913,79.6206697687,8.57262055997,71.0480492087,assoc_only,high_epsilon_miss
O1_structured_offset,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,14.7401829935,172.495509154,8.7656921474,163.729817007,assoc_only,high_epsilon_miss
O1_structured_offset,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",12,90.2035313888,75.490680456,-78.2035313888,-14.7128509328,-63.490680456,ionic_only,ionic_overprediction
O1_structured_offset,RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,59.7,27.2818406975,35.9819247903,32.4181593025,8.70008409282,23.7180752097,assoc_only,assoc_underprediction
O1_structured_offset,RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",2.228,1.10125989107,1,1.12674010893,-0.101259891067,1.228,none,nonphysical_prediction
O1_structured_offset,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,1.961,1.1076211483,1,0.8533788517,-0.1076211483,0.961,none,nonphysical_prediction
O1_structured_offset,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,2.01,1.10998539605,1,0.90001460395,-0.10998539605,1.01,none,nonphysical_prediction
O1_structured_offset,UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",14,11.4813553141,1,2.51864468594,-10.4813553141,13,ionic_only,nonphysical_prediction
O1_structured_offset,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",13.3,2.20117467965,1,11.0988253203,-1.20117467965,12.3,ionic_only,nonphysical_prediction
O1_structured_offset,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,13.4409671384,53.5306680895,8.67163522784,44.8590328616,assoc_only,assoc_underprediction
O1_structured_offset,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2.02,1.10684113993,1,0.913158860075,-0.106841139925,1.02,none,nonphysical_prediction
O1_structured_offset,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,49.1552487624,38.4225993742,8.7078481366,29.7147512376,assoc_only,high_epsilon_miss
