arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
O0_onsager,0,0,0,42,187,47,14,3,0,8.15675569688,15.6462494778,-0.964920057745,0.766073080481,0.839826839827,0.865853658537,6.71724934874,13.482929185,,10.5462826445,40.8397520987,3.77334348114,,10.0805440799,-39.1606556414,,,0.553191489362
O1_structured_offset,0,0,0,42,187,47,14,3,0,6.34737283532,12.5925235676,-0.272769996881,0.813065697091,0.898268398268,0.926829268293,5.4795122165,9.55845712493,,5.81580337704,35.7941882809,3.65075703796,,0.753304957062,-27.1275216142,,,0.702127659574
R0_direct_regression,0,0,0,42,187,47,14,3,0,4.94772904398,7.09524039846,0.595928133508,0.756938020352,0.839826839827,0.983739837398,3.8010172254,9.19056277275,,5.71673088292,5.76259969076,4.50737445447,,-1.6225185961,-5.76259969076,,,0.893617021277
R1_direct_with_logg,0,0,0,42,187,47,14,3,0,4.55796305669,6.4599901825,0.665043738727,0.78864120123,0.866883116883,1,3.50939453437,8.43766658926,,5.61207940183,6.55634473165,3.86620392813,,-1.81132220078,-5.43585624695,,,0.851063829787
D0_delta_core,0,0,0,42,187,47,14,3,0,5.11970019349,9.08987672734,0.336806331208,0.788198106737,0.931818181818,0.975609756098,4.53907530513,7.26801228039,,4.74082921017,23.6454230243,3.44393436928,,-0.463375517429,-7.04542302431,,,0.723404255319
D1_delta_core_morgan,0,0,0,42,187,47,14,3,0,5.50437419393,10.0691136433,0.186220267522,0.820777978662,0.88961038961,0.947154471545,4.67155899551,8.5857904281,,5.23473377914,26.7885596177,3.50178784513,,0.701765860701,-24.1953172523,,,0.744680851064
D2_delta_log,0,0,0,42,187,47,14,3,0,7.02968113732,15.3807269928,-0.898795140007,0.798103607771,0.88961038961,0.951219512195,5.19440817317,13.8201911047,,8.89856476794,23.0671172502,4.55379183174,,-4.26697340529,-18.0054400626,,,0.787234042553
D3_delta_leaky,0,0,0,42,187,47,14,3,0,5.2620740506,8.26601307905,0.451575862819,0.74040240518,0.865800865801,0.971544715447,4.47305112399,8.18145887905,,5.25552928655,12.3731657853,4.55401910035,,-2.40757783835,-5.38550812388,,,0.872340425532
O0_onsager,1,0,1,43,187,47,19,6,2,15.5131455922,35.4214163038,-0.662617780746,0.611008325624,0.760784313725,0.80487804878,7.20801650656,24.8297430075,105.459054264,22.2443139489,47.7285558621,3.4216688585,31.0077549855,15.6070002613,-46.6591549275,105.459054264,,0.63829787234
O1_structured_offset,1,0,1,43,187,47,19,6,2,14.2472441231,34.6952230757,-0.595144183625,0.776235233442,0.892156862745,0.849593495935,6.3727084508,23.4926732788,97.2644901958,21.5124703951,52.4326865659,3.41785972896,67.8706083055,4.05701597666,-50.9333299222,97.2644901958,,0.68085106383
R0_direct_regression,1,0,1,43,187,47,19,6,2,9.51087908622,26.4359206698,0.0739179718727,0.846669750231,0.91568627451,0.80487804878,3.05676950426,11.8320676804,106.464204712,17.129394198,6.73702354431,3.58334070164,2.4347454071,11.7232103247,5.95800609589,106.464204712,,0.744680851064
R1_direct_with_logg,1,0,1,43,187,47,19,6,2,9.87859860988,26.6827292514,0.0565452502388,0.852839140663,0.908823529412,0.853658536585,3.7444390496,11.8393991124,103.374908371,18.5495390802,6.2351284345,3.37572670895,3.28765974045,10.7176978864,3.39843180974,103.374908371,,0.744680851064
D0_delta_core,1,0,1,43,187,47,19,6,2,11.793118072,30.4670214805,-0.230043793091,0.729572116306,0.83431372549,0.74593495935,4.58910137209,17.7519093149,101.488050136,15.7294722584,30.1047707414,3.26169434497,1.74635612581,11.4255387488,-17.6071999908,101.488050136,,0.659574468085
D1_delta_core_morgan,1,0,1,43,187,47,19,6,2,12.5908091159,30.3538968896,-0.220926402269,0.609715495991,0.736274509804,0.739837398374,5.7491953358,17.0860478088,104.174430567,17.9528659836,33.6500940013,3.50904146923,17.7269922557,13.8354708064,-10.9876814689,104.174430567,,0.659574468085
D2_delta_log,1,0,1,43,187,47,19,6,2,14.1317553959,31.6864255914,-0.330476102909,0.707215541166,0.81568627451,0.833333333333,5.73627236689,25.2539010748,95.6831656557,22.2246446514,37.772486872,3.7129359507,36.9105644086,3.48446453843,-33.7063793305,73.5151092029,,0.787234042553
D3_delta_leaky,1,0,1,43,187,47,19,6,2,10.5480822818,26.7452344358,0.0521199245465,0.855226641998,0.903921568627,0.837398373984,4.06760698107,15.3303950068,94.4134424057,18.1478331579,17.3551084199,2.68498787428,8.8096611296,8.30602454953,-9.76486018875,94.4134424057,,0.744680851064
O0_onsager,2,0,2,44,187,47,12,4,1,6.88395970851,10.9822173582,0.216411665986,0.732423681776,0.785714285714,0.790476190476,5.11277902696,12.0109525893,40.0710561236,11.0050469522,22.2323813421,4.45709605089,40.0710561236,9.57471640489,-2.19685328031,40.0710561236,,0.510638297872
O1_structured_offset,2,0,2,44,187,47,12,4,1,6.60769869414,11.5614947855,0.131567901888,0.654485520329,0.825,0.721428571429,4.82028126455,8.95298132955,59.9,11.6939260998,22.9237536499,4.32624096334,59.9,2.95085373604,20.2760531751,59.9,,0.63829787234
R0_direct_regression,2,0,2,44,187,47,12,4,1,4.67383448491,6.93544502965,0.687495295643,0.880434782609,0.914285714286,0.957142857143,3.7459006108,7.45566740853,21.3904251099,5.46088453356,13.1318732262,3.84382933104,21.3904251099,1.67152425321,-2.43666067123,21.3904251099,,0.851063829787
R1_direct_with_logg,2,0,2,44,187,47,12,4,1,5.96275496623,12.8110214167,-0.0662901716563,0.886845910705,0.917857142857,0.980952380952,4.38674631361,13.211468386,16.6860984802,5.43997758977,23.5444167614,4.29619324282,16.6860984802,-1.96007932552,-15.2013675213,16.6860984802,,0.851063829787
D0_delta_core,2,0,2,44,187,47,12,4,1,7.06948955508,12.9978703062,-0.097620703582,0.835971078082,0.921428571429,0.966666666667,4.61248324065,16.2350828021,38.7335830888,9.137464287,22.6324494001,5.33813197291,38.7335830888,-1.65222852597,3.08434214427,38.7335830888,,0.595744680851
D1_delta_core_morgan,2,0,2,44,187,47,12,4,1,6.64656077864,10.5904503865,0.27132016426,0.814233258912,0.914285714286,0.942857142857,4.68864575399,13.5816259609,34.4597904643,10.9122775102,22.4110658977,3.94551729212,34.4597904643,-0.552572612155,4.33416440322,34.4597904643,,0.63829787234
D2_delta_log,2,0,2,44,187,47,12,4,1,11.6036153694,32.7485930357,-5.96776001786,0.765263644773,0.866666666667,0.842857142857,4.27811758301,45.9417598436,56.9310177185,28.6502469208,21.477079783,5.39342680932,56.9310177185,-21.6372642056,-19.2597501392,-56.9310177185,,0.765957446809
D3_delta_leaky,2,0,2,44,187,47,12,4,1,4.53638035956,7.22745699955,0.660625720671,0.85256706753,0.9,0.980952380952,3.80069472193,7.70841225936,11.0238969287,6.45498826835,11.8674103696,3.10325853529,11.0238969287,-1.97927944282,-5.57236188674,11.0238969287,,0.851063829787
O0_onsager,3,0,3,45,187,47,12,2,1,12.6587668714,29.3143412791,-1.98700729109,0.637275592183,0.747058823529,0.728571428571,10.4918693451,11.3617020286,104.507558926,17.2638209766,113.171801507,4.89250267333,,15.4524631036,-113.171801507,104.507558926,,0.489361702128
O1_structured_offset,3,0,3,45,187,47,12,2,1,11.376781561,26.4048908229,-1.42350966322,0.762415908235,0.837254901961,0.795238095238,10.2744839276,6.53599270248,95.7288937262,14.5991225321,101.178020309,4.76252188982,,6.67379790358,-101.178020309,95.7288937262,,0.63829787234
R0_direct_regression,3,0,3,45,187,47,12,2,1,6.3417118997,13.1802515655,0.396157881047,0.858026654691,0.925490196078,0.857142857143,3.97572957539,7.99469447157,79.0062147522,14.3278815263,3.00000066757,3.64017817075,,4.82225411161,-0.875462818146,79.0062147522,,0.808510638298
R1_direct_with_logg,3,0,3,45,187,47,12,2,1,6.249694236,13.0974792659,0.403718352606,0.876250511845,0.935294117647,0.847619047619,4.1990406763,6.92808460151,76.0183626556,15.7721492761,7.6540391922,2.70187149681,,-0.988166719437,-7.6540391922,76.0183626556,,0.851063829787
D0_delta_core,3,0,3,45,187,47,12,2,1,10.1453724213,22.9949625888,-0.837982695159,0.824762579424,0.874509803922,0.838095238095,9.21908746142,5.74976611702,83.9783726775,14.0935190697,85.7161168454,4.12963761443,,1.49543364177,-85.7161168454,83.9783726775,,0.63829787234
D1_delta_core_morgan,3,0,3,45,187,47,12,2,1,10.5627228762,24.3000564164,-1.05253497979,0.789055582963,0.850980392157,0.814285714286,9.3873947194,6.14984132147,93.7657986724,13.9895706707,90.2883128671,4.48474246669,,4.49216794302,-90.2883128671,93.7657986724,,0.63829787234
D2_delta_log,3,0,3,45,187,47,12,2,1,13.1660365079,27.3348860238,-1.5972307628,0.734237229644,0.823529411765,0.704761904762,10.6491440628,13.4917774859,103.359388172,25.2206395683,72.5850107686,5.18139453068,,-4.8451360132,-72.5850107686,103.359388172,,0.787234042553
D3_delta_leaky,3,0,3,45,187,47,12,2,1,6.94126516423,12.2412495908,0.479132200935,0.873926744316,0.905882352941,0.919047619048,5.48866083681,8.57767590452,45.9599286162,13.4767830175,21.0119161008,3.71194649416,,-4.81465105882,-21.0119161008,45.9599286162,,0.765957446809
