inchikey,name,smiles,T_K,dipole_D,molar_volume_m3_mol,polarizability_au,polarizability_A3,alpha_density,high_frequency_epsilon,reaction_field_term,onsager_epsilon,epsilon_observed,delta_raw,delta_log,hbond_donor_sites,hba,tpsa_A2,formal_charge,n_fragments,n_charged_fragments,max_abs_formal_charge,ionic_flag,zwitterion_flag,assoc_flag,n_ring,n_aromatic_ring,onsager_version
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,300.15,2.094,6.7101101e-05,88.790207,13.157354,0.039361220922,1.1229220237,1.32592920146,7.11572078225,5.878,-1.23772078225,-0.226127333576,1,1,12.03,0,1,0,0,0,0,1,1,1,onsager_lorentz_lorenz_reaction_field_v1
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,3.712,0.00022460658,252.13791,37.362991,0.0333924902551,1.10363820864,1.25312276835,6.67840629363,12.5,5.82159370637,0.705676424114,0,4,82.38,0,2,2,1,1,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,1.692,6.2519457e-05,68.16427,10.100905,0.0324320750863,1.10055751411,0.935374833366,5.16365543529,15.736,10.5723445647,1.26390008067,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,298.15,1.854,5.0831686e-05,57.479613,8.5176017,0.0336366286539,1.10442230009,1.38129075701,7.29190026496,7.021,-0.270900264955,-0.0440097755003,0,2,26.3,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,1.9,8.2705672e-05,91.426726,13.548046,0.0328829684277,1.10200306898,0.891604122846,4.96304294304,12.65,7.68695705696,1.07829402987,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,2.05,4.2521131e-05,44.765672,6.6335896,0.0313165159501,1.0969868377,2.01884545914,10.28867817,21.3,11.01132183,0.781824628599,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,298.15,3.302,5.2797312e-05,59.580192,8.8288754,0.0335678265914,1.10420129063,4.21834879161,20.9054049662,13.505,-7.40040496619,-0.464862736864,0,1,17.07,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,CCCCCCCCC,298.15,0.04,9.7587587e-05,110.16901,16.325366,0.0335813378979,1.10424468985,0.000334908032563,1.10532080108,1.98,0.874679198919,2.2305416309,0,0,0,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",CCC(O)CO,298.2,2.767,5.7687291e-05,60.963955,9.033928,0.0314359165821,1.09736862161,2.71060046665,13.5953058324,22.143,8.54769416759,0.517984689884,2,2,40.46,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,298.15,2.033,5.2426349e-05,56.24001,8.3339114,0.0319101549059,1.09888593006,1.61036863727,8.35397764198,16.6,8.24602235802,0.752029571633,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,N#CCCCCC#N,298.15,5.68,6.9013733e-05,77.141752,11.431231,0.0332496539213,1.1031796494,9.54907518833,46.5421430104,32.12,-14.4221430104,-0.380787417978,0,2,47.58,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
