inchikey,name,smiles,T_K,dielectric,formal_charge,heavy_atom_count,hbd,hba,tpsa_A2,molecular_volume_A3,molar_volume_m3_mol,dipole_D,polarizability_au,polarizability_A3,mu_sq_over_Vm,alpha_over_Vm,total_energy_hartree,homo_lumo_gap_ev,xtb_seconds,xtb_version,status,error,density_kg_m3,density_temperature_K,density_delta_T_K,density_source_doi,density_source_file,experimental_molar_volume_m3_mol,molar_volume_source,mu_sq_over_Vm_experimental
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,300.15,5.878,0,8,1,1,12.03,111.424,6.7101101e-05,2.094,88.790207,13.157354,65346.707,0.11808366,-22.4790633061,3.7492,0.1840729,6.7.1pre,ok,,979.8,300.15,0,10.1016/j.jct.2011.10.028,10.1016__j.jct.2011.10.028-2c10edd225d5.xml,0.000109365176567,thermoml_experimental_density,40093.5301131
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,12.5,0,27,0,4,82.38,372.968,0.00022460658,3.712,252.13791,37.362991,61347.019,0.10017747,-82.6830246805,0.1864,16.582066,6.7.1pre,ok,,,,,,,,xtb_estimated,
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.736,0,6,1,1,20.23,103.816,6.2519457e-05,1.692,68.16427,10.100905,45791.569,0.097296224,-20.8823577036,12.1103,0.2080532,6.7.1pre,ok,,810.883,298.15,0,10.1021/je050116g,10.1021__je050116g-fa71e9de8a9a.xml,0.000108708654639,thermoml_experimental_density,26335.1985129
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,298.15,7.021,0,6,0,2,26.3,84.408,5.0831686e-05,1.854,57.479613,8.5176017,67621.523,0.10090989,-19.7218540825,3.6876,0.1698931,6.7.1pre,ok,,949.174,298.15,0,10.1021/je301333b,10.1021__je301333b-44cb9c59a180.xml,9.06999138198e-05,thermoml_experimental_density,37897.6765825
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,12.65,0,8,1,1,20.23,137.336,8.2705672e-05,1.9,91.426726,13.548046,43648.759,0.098648904,-27.2102388695,12.2454,0.2582414,6.7.1pre,ok,,818.746,298.15,0,10.1021/je050116g,10.1021__je050116g-fa71e9de8a9a.xml,0.000141929243013,thermoml_experimental_density,25435.2092871
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,21.3,0,4,1,1,20.23,70.608,4.2521131e-05,2.05,44.765672,6.6335896,98833.212,0.093949547,-14.5571098911,12.4022,0.1309576,6.7.1pre,ok,,799.597,298.15,0,10.1021/acs.jced.7b00581,10.1021__acs.jced.7b00581-4f75c97b4dec.xml,7.51578607724e-05,thermoml_experimental_density,55915.6415152
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,298.15,13.505,0,6,0,1,17.07,87.672,5.2797312e-05,3.302,59.580192,8.8288754,206510.59,0.10070348,-18.8497543131,3.8385,0.1672385,6.7.1pre,ok,,944.31,298.15,0,10.1021/acs.jced.8b00217,10.1021__acs.jced.8b00217-9815093b6cf9.xml,8.9078798276e-05,thermoml_experimental_density,122399.540755
BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,CCCCCCCCC,298.15,1.98,0,9,0,0,0,162.048,9.7587587e-05,0.04,110.16901,16.325366,16.395528,0.10074402,-29.4807954915,12.9083,0.4004854,6.7.1pre,ok,,713.77,298.15,0,10.1016/j.jct.2004.08.003,10.1016__j.jct.2004.08.003-9e764b6430b1.xml,0.000179692337868,thermoml_experimental_density,8.90410809378
BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",CCC(O)CO,298.2,22.143,0,6,2,2,40.46,95.792,5.7687291e-05,2.767,60.963955,9.033928,132720.55,0.09430775,-21.7847325672,11.2728,0.1714613,6.7.1pre,ok,,998.67,298.2,0,10.1016/j.jct.2011.07.021,10.1016__j.jct.2011.07.021-b960d527f398.xml,9.02420218891e-05,thermoml_experimental_density,84841.7271657
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,298.15,16.6,0,5,1,1,20.23,87.056,5.2426349e-05,2.033,56.24001,8.3339114,78836.103,0.095730466,-17.7260252018,11.9625,0.1776219,6.7.1pre,ok,,802.14,298.15,0,10.1021/je800593p,10.1021__je800593p-d60e4d9358be.xml,9.24065624455e-05,thermoml_experimental_density,44727.2238099
