inchikey,name,smiles,T_K,dielectric,formal_charge,heavy_atom_count,hbd,hba,tpsa_A2,molecular_volume_A3,molar_volume_m3_mol,dipole_D,polarizability_au,polarizability_A3,mu_sq_over_Vm,alpha_over_Vm,total_energy_hartree,homo_lumo_gap_ev,xtb_seconds,xtb_version,status,error
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-pentanol,CCC(CC)O,298.15,13.21,0,6,1,1,20.23,103.696,6.2447191e-05,1.652,68.028325,10.08076,43702.59,0.097214549,-20.8871570564,11.8318,0.4486722,6.7.1pre,ok,
ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-methylformamide,CNC=O,303.15,169.76,0,4,1,1,29.1,60.096,3.6190657e-05,4.348,39.468189,5.8485834,522375.26,0.097320678,-13.8090203764,4.8618,0.1176296,6.7.1pre,ok,
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,CCCCCCN,293.15,3.964,0,7,1,1,26.02,124.016,7.4684181e-05,1.349,84.22973,12.481561,24366.619,0.10064476,-23.4075868927,10.8274,0.1303491,6.7.1pre,ok,
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,CCC(C)Cl,283.15,9.323,0,5,0,0,0,93.728,5.6444321e-05,2.5,63.7601,9.448274,110728.59,0.10080525,-17.7107430832,6.8576,0.1007411,6.7.1pre,ok,
BSYVTEYKTMYBMK-UHFFFAOYSA-N,2-tetrahydrofurylmethanol,C1CC(OC1)CO,278.15,15.2,0,7,1,2,29.46,102.512,6.1734169e-05,3.47,67.737406,10.03765,195044.33,0.09791683,-23.9294953311,10.1332,0.1702488,6.7.1pre,ok,
GSGLHYXFTXGIAQ-UHFFFAOYSA-M,"1,3-dimethylimidazolium dimethylphosphate",COP(=O)([O-])OC.Cn1cc[n+](C)c1,298.15,29.6,,,,,,,,,,,,,,,,,error,xTB failed for GSGLHYXFTXGIAQ-UHFFFAOYSA-M with exit code 128
GSNUFIFRDBKVIE-UHFFFAOYSA-N,"2,5-dimethylfuran",CC1=CC=C(O1)C,278.15,2.562,0,7,0,1,13.14,98.136,5.9098881e-05,0.22,72.954087,10.810683,818.96644,0.11016021,-20.9860463199,4.395,0.1170349,6.7.1pre,ok,
HDGQICNBXPAKLR-UHFFFAOYSA-N,"2,4-dimethylhexane",CCC(C)CC(C)C,293.15,1.96,0,8,0,0,0,145.344,8.7528203e-05,0.023,98.440867,14.587435,6.0437663,0.10036489,-26.3146012009,12.3843,0.1424995,6.7.1pre,ok,
HLPIHRDZBHXTFJ-UHFFFAOYSA-N,2-ethylfuran,CCC1=CC=CO1,278.15,2.837,0,7,0,1,13.14,98.752,5.9469844e-05,0.577,73.149371,10.839621,5598.2827,0.10976609,-20.979096696,4.539,0.2769166,6.7.1pre,ok,
HQABUPZFAYXKJW-UHFFFAOYSA-N,1-butanamine,CCCCN,293.15,4.729,0,5,1,1,26.02,90.776,5.4666585e-05,1.314,60.909064,9.025794,31584.12,0.099429298,-17.0797550168,10.9007,0.1061409,6.7.1pre,ok,
IXQYBUDWDLYNMA-UHFFFAOYSA-N,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,298.15,14,,,,,,,,,,,,,,,,,error,xTB failed for IXQYBUDWDLYNMA-UHFFFAOYSA-N with exit code 128
JCCCMAAJYSNBPR-UHFFFAOYSA-N,2-ethylthiophene,CCC1=CC=CS1,278.15,2.968,0,7,0,1,0,107.536,6.4759693e-05,0.979,88.196434,13.069366,14799.962,0.1215348,-20.1512408463,3.8237,0.2015284,6.7.1pre,ok,
JQVDAXLFBXTEQA-UHFFFAOYSA-N,dibutylamine,CCCCNCCCC,293.15,2.938,0,9,1,1,12.03,157.808,9.5034199e-05,1.198,107.75383,15.967474,15101.974,0.10118292,-29.739393204,10.0685,0.2875414,6.7.1pre,ok,
JWFPQAXAGSAKRF-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",CCCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,298.15,9.4,,,,,,,,,,,,,,,,,error,xTB failed for JWFPQAXAGSAKRF-UHFFFAOYSA-N with exit code 128
JYVLIDXNZAXMDK-UHFFFAOYSA-N,pentan-2-ol,CCCC(C)O,298.15,13.54,0,6,1,1,20.23,104.056,6.2663988e-05,1.851,67.983655,10.07414,54675.757,0.096814604,-20.8882184697,11.7568,0.1773725,6.7.1pre,ok,
KWOLFJPFCHCOCG-UHFFFAOYSA-N,acetophenone,CC(=O)C1=CC=CC=C1,298.15,17.51,0,9,0,1,17.07,118.896,7.1600845e-05,3.465,92.516484,13.709531,167682.73,0.11530692,-25.2450488559,2.9929,0.1249437,6.7.1pre,ok,
LAIUFBWHERIJIH-UHFFFAOYSA-N,3-methylheptane,CCCCC(C)CC,293.15,1.95,0,8,0,0,0,144.984,8.7311406e-05,0.04,98.445154,14.58807,18.325212,0.10061848,-26.3199941715,12.7003,0.1368132,6.7.1pre,ok,
LHIJANUOQQMGNT-UHFFFAOYSA-N,N-(2-aminoethyl)ethanolamine,C(CNCCO)N,293.2,21.51,0,7,3,3,58.28,111.688,6.7260086e-05,1.897,74.85754,11.092745,53502.89,0.099319043,-24.5601996192,9.7433,0.1815838,6.7.1pre,ok,
LPEKGGXMPWTOCB-UHFFFAOYSA-N,methyl 2-hydroxypropanoate,CC(C(=O)OC)O,278.15,18.379,0,7,1,3,46.53,98.288,5.9190417e-05,3.114,62.777949,9.3027342,163827.13,0.094647711,-24.8396893637,4.3071,0.3939074,6.7.1pre,ok,
LPSXSORODABQKT-FIRGSJFUSA-N,exo-tetrahydrodicyclopentadiene,C1C[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1,293.15,2.19,0,10,0,0,0,146.408,8.8168958e-05,0.05,106.21052,15.738779,28.35465,0.10749945,-29.613639163,11.6769,0.1608761,6.7.1pre,ok,
LQNUZADURLCDLV-UHFFFAOYSA-N,nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],293.15,35.91,0,9,0,2,43.14,107.096,6.4494719e-05,5.499,81.772792,12.11748,468860.11,0.11314596,-26.33603757,3,0.1136328,6.7.1pre,ok,
LZCLXQDLBQLTDK-UHFFFAOYSA-N,DL-ethyl lactate,CCOC(=O)C(C)O,278.15,17.791,0,8,1,3,46.53,115.312,6.944251e-05,3.181,74.334934,11.015303,145714.22,0.095526078,-28.0076023265,4.3387,0.2330683,6.7.1pre,ok,
MRABAEUHTLLEML-UHFFFAOYSA-N,butyl 2-hydroxypropanoate,CCCCOC(=O)C(C)O,278.15,11.488,0,10,1,3,46.53,148.688,8.9542007e-05,3.473,97.669432,14.47312,134704.7,0.097338855,-34.3361920939,4.3513,0.4011692,6.7.1pre,ok,
MXLMTQWGSQIYOW-UHFFFAOYSA-N,3-methyl-2-butanol,CC(C)C(C)O,298.15,11.98,0,6,1,1,20.23,103.712,6.2456826e-05,1.947,67.907925,10.062918,60694.871,0.097027523,-20.8907972282,11.9387,0.1667591,6.7.1pre,ok,
NBRKLOOSMBRFMH-UHFFFAOYSA-N,2-chloro-2-methylpropane,CC(C)(C)Cl,283.15,10.429,0,5,0,0,0,93.4,5.6246795e-05,2.438,63.633388,9.4294972,105674.36,0.10095821,-17.7170102817,6.8801,0.1111877,6.7.1pre,ok,
NHTMVDHEPJAVLT-UHFFFAOYSA-N,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,293.15,1.94,0,8,0,0,0,144.448,8.6988619e-05,0.015,98.326036,14.570418,2.5865453,0.10086964,-26.3224026352,12.156,0.3600436,6.7.1pre,ok,
OUDFNZMQXZILJD-UHFFFAOYSA-N,5-methylfurfural,CC1=CC=C(O1)C=O,278.15,45.2,0,8,0,2,30.21,101.496,6.112232e-05,4.606,74.923007,11.102447,347094.74,0.10938802,-24.0071787632,2.9411,0.166019,6.7.1pre,ok,
OWBTYPJTUOEWEK-UHFFFAOYSA-N,"2,3-butanediol",CC(C(C)O)O,298.2,21.282,0,6,2,2,40.46,95.56,5.7547577e-05,2.434,60.880759,9.0215996,102947.1,0.094407698,-21.7860709027,11.0717,0.1362604,6.7.1pre,ok,
PAFZNILMFXTMIY-UHFFFAOYSA-N,cyclohexylamine,C1CCC(CC1)N,293.15,4.62,0,7,1,1,26.02,112.792,6.792493e-05,1.397,79.015822,11.708939,28731.851,0.10381002,-22.3982618484,10.9533,0.148795,6.7.1pre,ok,
