scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
scaffold_butina_qid,rank_pairwise,0,0,0,178,56,88,23,650,149,149,0.746184999853,0.696875,0.728187919463,0.767195767196,0.846256684492,0.838541666667,8.75762504471,22.0389123131,0.191621664265
scaffold_butina_qid,regression_head,0,0,0,178,56,88,23,650,149,149,0.823740517339,0.757911285063,0.812080536913,0.803703703704,0.881016042781,0.9296875,7.65023165302,23.4830537579,0.0822096295281
scaffold_butina_qid,rank_pairwise,1,0,1,194,40,89,22,703,96,96,0.766264835028,0.59706959707,0.729166666667,0.787545787546,0.890625,0.79296875,9.06652094779,14.7434002971,0.230715183048
scaffold_butina_qid,regression_head,1,0,1,194,40,89,22,703,96,96,0.864233443474,0.414521460932,0.552083333333,0.673992673993,0.897135416667,0.9296875,8.57803967572,12.4434949653,0.452004995528
scaffold_butina_qid,rank_pairwise,2,0,2,198,36,89,22,776,23,23,0.690604890605,0.3,0.565217391304,0.644444444444,0.868055555556,0.79797979798,8.24595952951,17.0344886665,0.113495423861
scaffold_butina_qid,regression_head,2,0,2,198,36,89,22,776,23,23,0.75546975547,0.622222222222,0.782608695652,0.814814814815,0.975694444444,1,6.64895650504,15.0649261012,0.306643183111
scaffold_butina_qid,rank_pairwise,3,0,3,207,27,89,22,790,9,8,0.855136630326,0.408113883008,0.625,0.633333333333,0.928571428571,0.945652173913,7.24705011613,9.13617442952,0.418711886674
scaffold_butina_qid,regression_head,3,0,3,207,27,89,22,790,9,8,0.734849649838,0.658113883008,0.75,0.8,0.85,0.934782608696,5.87856113555,8.27806589603,0.522778023177
scaffold_butina_qid,rank_pairwise,4,0,4,159,75,89,22,277,522,520,0.546277658854,0.599249772783,0.491346153846,0.786190932312,0.862573099415,0.90756302521,7.80588747686,12.5233756954,0.245561710919
scaffold_butina_qid,regression_head,4,0,4,159,75,89,22,277,522,520,0.691139547065,0.733512938066,0.679807692308,0.841838852399,0.873294346979,0.951680672269,7.98314713235,12.743748073,0.218776574184
scaffold_butina_qid,rank_pairwise,5,1,0,193,41,88,23,703,96,96,0.694375463561,0.555311355311,0.635416666667,0.771062271062,0.824242424242,0.858108108108,10.4070882121,26.2417970912,0.093204011318
scaffold_butina_qid,regression_head,5,1,0,193,41,88,23,703,96,96,0.81849076644,0.860102693133,0.578125,0.925824175824,0.886363636364,0.810810810811,9.24447078594,27.4337080349,0.00895934942823
scaffold_butina_qid,rank_pairwise,6,1,1,164,70,89,22,297,502,500,0.529451389861,0.275091531725,0.59,0.620456178161,0.84693877551,0.859410430839,8.91867003271,13.3796909557,-0.00109443085878
scaffold_butina_qid,regression_head,6,1,1,164,70,89,22,297,502,500,0.743921539143,0.506222899245,0.698,0.716989942529,0.947704081633,0.990929705215,6.60220738701,9.54942907111,0.490038141003
scaffold_butina_qid,rank_pairwise,7,1,2,198,36,89,22,766,33,33,0.654224854949,0.482142857143,0.818181818182,0.734126984127,0.762345679012,0.814814814815,11.5320267804,19.5468678001,0.117683999473
scaffold_butina_qid,regression_head,7,1,2,198,36,89,22,766,33,33,0.826694126173,0.930952380952,0.878787878788,0.948412698413,0.882716049383,0.913580246914,8.78443118078,16.9143494159,0.339336369494
scaffold_butina_qid,rank_pairwise,8,1,3,184,50,89,22,663,136,136,0.678655462185,0.0888392857143,0.639705882353,0.522619047619,0.829861111111,0.815217391304,7.60028752545,9.5654984167,0.252216897587
scaffold_butina_qid,regression_head,8,1,3,184,50,89,22,663,136,136,0.819054937556,0.812492206657,0.882352941176,0.871428571429,0.892361111111,0.934782608696,5.82467441096,8.01881160119,0.474490636176
scaffold_butina_qid,rank_pairwise,9,1,4,197,37,89,22,767,32,31,0.807183926496,0.903947665292,0.903225806452,0.927891156463,0.916149068323,0.908602150538,8.0537716545,12.7598673848,0.366585008689
scaffold_butina_qid,regression_head,9,1,4,197,37,89,22,767,32,31,0.929748643007,0.890067209765,0.887096774194,0.856462585034,0.981366459627,1,5.78157541033,9.49312725124,0.649397812668
