scenario,qid,size,singleton,n_ring,n_acyclic,unique_inchikeys,pair_capacity,smiles_examples
scaffold_butina_qid,acyclic_cluster:0,15,False,0,15,15,105,CCCCCO;CCCCCCCO;CCCCCCCCC
scaffold_butina_qid,acyclic_cluster:1,7,False,0,7,7,21,CCOC(=O)OCC;CC(=O)OCCO;CCOC(=O)CC(=O)OCC
scaffold_butina_qid,acyclic_cluster:10,3,False,0,3,3,3,CCCC(C)=O;CCC(=O)CC;CCC(C)=O
scaffold_butina_qid,acyclic_cluster:11,2,False,0,2,2,1,CCCO;CCO
scaffold_butina_qid,acyclic_cluster:12,2,False,0,2,2,1,CCC(O)CO;OCC(O)CO
scaffold_butina_qid,acyclic_cluster:13,2,False,0,2,2,1,OCCN(CCO)CCO;CC(O)C(=O)O.OCCN(CCO)CCO
scaffold_butina_qid,acyclic_cluster:14,2,False,0,2,2,1,CN(CCO)CCO;CN(C)CCO
scaffold_butina_qid,acyclic_cluster:15,2,False,0,2,2,1,COC(=O)OC;COC(C)=O
scaffold_butina_qid,acyclic_cluster:16,2,False,0,2,2,1,CCCC(=O)O;CCCCC(=O)O
scaffold_butina_qid,acyclic_cluster:17,2,False,0,2,2,1,CC(=O)CC(C)C;CC(C)CC(=O)O
scaffold_butina_qid,acyclic_cluster:18,2,False,0,2,2,1,CCC(C)O;CCC(C)C
scaffold_butina_qid,acyclic_cluster:19,2,False,0,2,2,1,CC/C=C\CC;CC/C=C/CC
scaffold_butina_qid,acyclic_cluster:2,7,False,0,7,7,21,N#CCCCCC#N;N#CCCCCCCC#N;N#CCCCCCC#N
scaffold_butina_qid,acyclic_cluster:20,2,False,0,2,2,1,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl;ClC(Cl)=C(Cl)Cl
scaffold_butina_qid,acyclic_cluster:21,2,False,0,2,2,1,Cl/C=C\Cl;Cl/C=C/Cl
scaffold_butina_qid,acyclic_cluster:22,2,False,0,2,2,1,C=C/C=C/C;CC=CC=CC
scaffold_butina_qid,acyclic_cluster:23,2,False,0,2,2,1,C=CCCC;C=CCCCCC
scaffold_butina_qid,acyclic_cluster:24,2,False,0,2,2,1,FC(F)C(F)(F)OCC(F)(F)F;FC(F)C(F)(F)OCC(F)(F)C(F)F
scaffold_butina_qid,acyclic_cluster:25,2,False,0,2,2,1,CCC(=O)OC;CCCC(=O)OC
scaffold_butina_qid,acyclic_cluster:26,1,True,0,1,1,0,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
scaffold_butina_qid,acyclic_cluster:27,1,True,0,1,1,0,CC(C)(N)CO
