source_file,source_sha256,doi,title,dataset_number,property_name,property_family,value,unit,expanded_uncertainty,standard_uncertainty,uncertainty_kind,confidence_level,temperature_k,pressure_kpa,frequency_mhz,phase,method,component_count,is_pure,primary_name,primary_formula,primary_inchi,primary_inchi_key,components_json
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,1,Relative permittivity at various frequencies,frequency_dependent,106.14,,0.64,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,1,True,formamide,CH3NO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",ZHNUHDYFZUAESO-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""CH3NO"",""name"":""formamide"",""standard_inchi"":""InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"",""standard_inchi_key"":""ZHNUHDYFZUAESO-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,2,Relative permittivity at various frequencies,frequency_dependent,36.55,,0.22,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,1,True,dimethylformamide,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C3H7NO"",""name"":""dimethylformamide"",""standard_inchi"":""InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"",""standard_inchi_key"":""ZMXDDKWLCZADIW-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,3,Relative permittivity at various frequencies,frequency_dependent,2.26,,0.014,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,1,True,"1,4-dioxane",C4H8O2,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C4H8O2"",""name"":""1,4-dioxane"",""standard_inchi"":""InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2"",""standard_inchi_key"":""RYHBNJHYFVUHQT-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,4,Relative permittivity at various frequencies,frequency_dependent,31.46,,0.19,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,1,True,2-aminoethan-1-ol,C2H7NO,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",HZAXFHJVJLSVMW-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C2H7NO"",""name"":""2-aminoethan-1-ol"",""standard_inchi"":""InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2"",""standard_inchi_key"":""HZAXFHJVJLSVMW-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,5,Relative permittivity at various frequencies,frequency_dependent,76.53,,0.46,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,1,True,water,H2O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""H2O"",""name"":""water"",""standard_inchi"":""InChI=1S/H2O/h1H2"",""standard_inchi_key"":""XLYOFNOQVPJJNP-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,6,Relative permittivity at various frequencies,frequency_dependent,46.05,,0.28,,combined,95,303.15,101,1,Liquid,PPCAP:,1,True,dimethyl sulfoxide,C2H6OS,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C2H6OS"",""name"":""dimethyl sulfoxide"",""standard_inchi"":""InChI=1S/C2H6OS/c1-4(2)3/h1-2H3"",""standard_inchi_key"":""IAZDPXIOMUYVGZ-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,7,Relative permittivity at various frequencies,frequency_dependent,23.87,,0.14,,combined,95,303.15,101,1,Liquid,PPCAP:,1,True,ethanol,C2H6O,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C2H6O"",""name"":""ethanol"",""standard_inchi"":""InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"",""standard_inchi_key"":""LFQSCWFLJHTTHZ-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,8,Relative permittivity at various frequencies,frequency_dependent,36.55,,0.22,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,2,False,dimethylformamide,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C3H7NO"",""name"":""dimethylformamide"",""standard_inchi"":""InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"",""standard_inchi_key"":""ZMXDDKWLCZADIW-UHFFFAOYSA-N""},{""cas_registry_number"":"""",""formula"":""CH3NO"",""name"":""formamide"",""standard_inchi"":""InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"",""standard_inchi_key"":""ZHNUHDYFZUAESO-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,8,Relative permittivity at various frequencies,frequency_dependent,40.58,,0.24,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,2,False,dimethylformamide,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C3H7NO"",""name"":""dimethylformamide"",""standard_inchi"":""InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"",""standard_inchi_key"":""ZMXDDKWLCZADIW-UHFFFAOYSA-N""},{""cas_registry_number"":"""",""formula"":""CH3NO"",""name"":""formamide"",""standard_inchi"":""InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"",""standard_inchi_key"":""ZHNUHDYFZUAESO-UHFFFAOYSA-N""}]"
E:\Claude Code\电解质ML\电解质ML\data\raw\thermoml\10.1007__s10765-011-1086-8-2162c823dcc2.xml,695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,10.1007/s10765-011-1086-8,Studies on Hydrogen-Bond Interactions in Ternary Mixtures of Polar Solvents by Dielectric Constant Measurements,8,Relative permittivity at various frequencies,frequency_dependent,45,,0.27,,combined,95,303.15,101,1,Liquid,Parallel plate capacitor,2,False,dimethylformamide,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,"[{""cas_registry_number"":"""",""formula"":""C3H7NO"",""name"":""dimethylformamide"",""standard_inchi"":""InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"",""standard_inchi_key"":""ZMXDDKWLCZADIW-UHFFFAOYSA-N""},{""cas_registry_number"":"""",""formula"":""CH3NO"",""name"":""formamide"",""standard_inchi"":""InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"",""standard_inchi_key"":""ZHNUHDYFZUAESO-UHFFFAOYSA-N""}]"
