representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Morgan,0,0,42,164,41,7.34504531719,12.5974251868,0.33246670091,0.785248340692,0.924242424242,0.928571428571,4.42957578079,13.8055355181,58.3321086121,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,0,42,164,41,6.37397279457,10.1461617992,0.56697504381,0.824200714348,0.939393939394,0.978991596639,4.0609800691,12.3744964382,40.6990672302,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,0,42,164,41,6.10228240369,10.7407290578,0.514737331846,0.843801724889,0.930303030303,0.96218487395,3.87771398322,10.3876327406,49.5155879211,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,1,43,164,41,9.83653702777,27.933427413,-0.0117084958508,0.677589515287,0.878205128205,0.577702702703,3.73723441511,11.4698330134,168.750056953,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,1,43,164,41,9.42337108374,26.499991986,0.0894612582035,0.79668989547,0.889743589744,0.871621621622,3.86045996757,10.1448087588,162.811979027,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,1,43,164,41,9.18530170249,27.00753458,0.0542489645876,0.84512195122,0.925641025641,0.783783783784,3.33247002035,10.3795201111,165.78101799,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,2,44,164,41,5.02363393858,7.82543023914,0.610328502786,0.841692513199,0.906593406593,0.958333333333,4.13687269303,4.83298845564,35.6212734222,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,2,44,164,41,4.62093793327,7.9324929786,0.599593070835,0.886449759106,0.85989010989,0.961111111111,3.5084750663,10.0021129063,3.66398773193,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,2,44,164,41,4.38118656419,6.59010258755,0.723645499036,0.908314822936,0.898351648352,0.966666666667,3.55298323175,6.6287940979,15.9786437988,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,3,45,164,41,8.45465588974,17.7233458565,0.0150796368159,0.593751429923,0.8525,0.6,4.53269655142,12.2089200965,96.2470175171,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":45,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
