representation,arm,repeat,split,calibration_count,test_count,infinite_interval_count,infinite_interval_rate,quantile_abs_error_median,normalized_quantile_median,interval_width,coverage,coverage_lt20,coverage_20_60,coverage_gt60,normalized_interval_width,normalized_coverage,normalized_coverage_lt20,normalized_coverage_20_60,normalized_coverage_gt60,fold0_calibration_count,fold0_test_count,fold0_quantile,fold0_coverage,fold0_normalized_quantile,fold0_normalized_coverage,fold1_calibration_count,fold1_test_count,fold1_quantile,fold1_coverage,fold1_normalized_quantile,fold1_normalized_coverage,fold2_calibration_count,fold2_test_count,fold2_quantile,fold2_coverage,fold2_normalized_quantile,fold2_normalized_coverage,fold3_calibration_count,fold3_test_count,fold3_quantile,fold3_coverage,fold3_normalized_quantile,fold3_normalized_coverage,fold4_calibration_count,fold4_test_count,fold4_quantile,fold4_coverage,fold4_normalized_quantile,fold4_normalized_coverage
Morgan,baseline_v0.3,0,0,117,117,0,0,21.0010305405,1.18258918937,57.0617025803,0.982905982906,1,0.913043478261,,46.3060406794,0.982905982906,1,0.913043478261,,25,22,15.3037826538,1,1.24792869664,1,26,21,62.8265372467,1,3.68625426394,1,23,24,27.1593532562,1,1.18258918937,1,22,25,20.2087543488,0.92,1.16535771162,0.92,21,25,21.0010305405,1,1.03092354136,1
Morgan,baseline_v0.3,0,1,117,117,0,0,13.4300689697,0.720973170177,28.5021385923,0.837606837607,0.943181818182,0.6,0,26.8428664371,0.871794871795,0.965909090909,0.68,0,25,22,13.4300689697,0.863636363636,0.855140634345,0.909090909091,25,22,29.2300537109,0.954545454545,1.64029976503,0.909090909091,21,26,6.126002388,0.730769230769,0.658993202918,0.846153846154,22,25,7.9756704712,0.76,0.720973170177,0.8,24,22,16.8265720367,0.909090909091,0.715388391447,0.909090909091
Morgan,baseline_v0.3,0,2,117,117,0,0,16.3789548874,1.12323373199,39.9192926345,0.897435897436,0.988888888889,0.695652173913,0,33.4218720586,0.897435897436,0.966666666667,0.782608695652,0,24,23,15.1223162079,0.95652173913,1.12323373199,0.95652173913,26,21,16.3789548874,0.761904761905,1.12023147191,0.857142857143,18,29,33.5391887665,1,1.52233008401,1,24,23,20.2087543488,0.913043478261,1.16535771162,0.913043478261,25,21,9.8128318787,0.809523809524,0.642158061718,0.714285714286
Morgan,baseline_v0.3,0,3,117,117,0,0,15.3037826538,0.855140634345,31.7475406353,0.880341880342,0.976744186047,0.678571428571,0,26.4383923927,0.897435897436,0.988372093023,0.678571428571,0.333333333333,20,27,15.3037826538,1,0.855140634345,0.925925925926,23,24,10.3021414566,0.666666666667,0.72183571666,0.75,26,21,27.1593532562,1,1.18258918937,1,23,24,8.9033649826,0.791666666667,0.748221895311,0.833333333333,25,21,19.6547820282,0.952380952381,1.03092354136,1
Morgan,baseline_v0.3,0,4,117,117,0,0,12.0966320419,0.701792233308,40.6624370809,0.803418803419,0.898876404494,0.56,0,37.4776800541,0.820512820513,0.865168539326,0.76,0,20,27,12.0966320419,0.777777777778,0.699275857201,0.777777777778,25,22,62.8265372467,1,3.68625426394,1,21,26,6.0890029144,0.692307692308,0.574416958871,0.730769230769,25,22,7.9597349167,0.681818181818,0.720973170177,0.772727272727,26,20,16.8265720367,0.9,0.701792233308,0.85
Morgan,baseline_v0.3,0,5,117,117,0,0,19.6547820282,1.18258918937,51.8676138253,0.91452991453,0.967741935484,0.739130434783,0,43.0836354323,0.965811965812,1,0.869565217391,0,23,24,12.8504940033,0.791666666667,1.24792869664,1,24,23,62.8265372467,1,3.68625426394,1,25,22,27.1593532562,1,1.18258918937,1,21,26,9.6508546066,0.846153846154,0.760071196908,0.884615384615,24,22,19.6547820282,0.954545454545,0.742166403329,0.954545454545
Morgan,baseline_v0.3,0,6,117,117,0,0,15.3037826538,0.748221895311,32.044930163,0.897435897436,0.966666666667,0.782608695652,0,28.445190182,0.905982905983,0.966666666667,0.826086956522,0,22,25,15.3037826538,1,1.24792869664,1,25,22,27.569463253,0.909090909091,1.64029976503,0.909090909091,22,25,6.126002388,0.72,0.658993202918,0.84,28,19,9.8067790985,0.842105263158,0.748221895311,0.789473684211,20,26,21.0010305405,1,0.742166403329,0.961538461538
Morgan,baseline_v0.3,0,7,117,117,0,0,20.2692386627,0.855140634345,40.2368743849,0.91452991453,0.988505747126,0.75,0,47.5868815606,0.948717948718,1,0.857142857143,0,29,18,13.4300689697,0.888888888889,0.855140634345,0.944444444444,26,21,29.2300537109,0.952380952381,3.27019074591,0.952380952381,19,28,20.2692386627,0.964285714286,0.850960811541,0.964285714286,25,22,30.6588032532,1,3.02916779706,1,18,28,9.1518724289,0.785714285714,0.715388391447,0.892857142857
Morgan,baseline_v0.3,0,8,117,117,0,0,19.6547820282,1.03092354136,57.656603837,0.974358974359,0.989473684211,1,0,57.3234605494,0.965811965812,0.978947368421,0.95,0.5,25,22,15.3037826538,1,0.855140634345,0.909090909091,23,24,62.8265372467,1,3.68625426394,1,26,21,13.9314105988,0.904761904762,0.75997113812,0.904761904762,24,23,30.6588032532,1,3.02916779706,1,19,27,19.6547820282,0.962962962963,1.03092354136,1
Morgan,baseline_v0.3,0,9,117,117,0,0,27.1593532562,1.18258918937,62.6718599003,0.974358974359,1,0.909090909091,0,57.8457033273,0.974358974359,1,0.909090909091,0,24,23,15.1223162079,0.95652173913,1.12323373199,0.95652173913,22,25,62.8265372467,1,3.68625426394,1,21,26,27.1593532562,1,1.18258918937,1,24,23,30.6588032532,1,3.02916779706,1,26,20,16.8265720367,0.9,0.715388391447,0.9
