strategy,target_mode,representation,fold,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
random_repeated_kfold,raw,Morgan,0,7.63970316904,17.2571063223,0.179862919643,0.722087470572,0.900042625746,0.825968523002,4.25674301459,11.2895847618,83.8822386703
random_repeated_kfold,raw,Morgan,1,7.66858113188,16.9470511902,0.209068666733,0.724213775635,0.892742966752,0.820823244552,4.47493781248,11.0097290918,80.5220671616
random_repeated_kfold,raw,Morgan,2,7.60114785019,16.9583869768,0.208010213876,0.674389231049,0.886615515772,0.817796610169,4.64818667642,10.0729616118,80.1514853439
random_repeated_kfold,raw,Morgan,3,7.45016310317,16.978876344,0.20609527083,0.721788081135,0.886402387042,0.805992736077,4.25934291255,10.685230522,81.1055148087
random_repeated_kfold,raw,Morgan,4,7.50039644759,16.7135020552,0.230718273438,0.705317747919,0.888267263427,0.830407586764,4.46212604874,10.3171719894,79.8488264999
random_repeated_kfold,raw,Morgan,5,7.768600334,17.0153824768,0.20267766553,0.650349703966,0.87521312873,0.788740920097,4.7510168465,10.4192250014,80.858991333
random_repeated_kfold,raw,Morgan,6,7.66981028781,17.1632012886,0.188764233578,0.668418314384,0.876545183291,0.801957223567,4.58371842058,10.395700499,82.2928355179
random_repeated_kfold,raw,Morgan,7,7.60767459146,17.0041518062,0.203729832225,0.713381880441,0.895087382779,0.82294188862,4.38466052619,10.9145441331,81.6772149048
random_repeated_kfold,raw,Morgan,8,7.72181562149,16.9058377132,0.212910915588,0.691338781222,0.874893435635,0.812651331719,4.7173645325,10.4599298515,79.6623105011
random_repeated_kfold,raw,Morgan,9,7.91045966675,17.2196365627,0.183420523891,0.69732027199,0.886615515772,0.793684422922,4.50151100493,11.825709948,82.7451350174
random_repeated_kfold,raw,Physical,0,7.48848493533,16.021959669,0.293061284363,0.824799529475,0.900468883205,0.920298627926,4.64549024012,11.5627624065,63.1031865463
random_repeated_kfold,raw,Physical,1,7.57930143559,16.9976271652,0.204340786578,0.791823778925,0.884377664109,0.932203389831,4.49508671535,12.1041384045,67.0318560562
random_repeated_kfold,raw,Physical,2,7.37431763004,16.1916536315,0.278007131206,0.819293227978,0.904092071611,0.934624697337,4.76445690657,10.4633410879,63.8981194458
random_repeated_kfold,raw,Physical,3,7.28315093172,16.0863884502,0.28736425606,0.815744835423,0.889173060529,0.931598062954,4.6166848457,10.9493566742,60.7473510132
random_repeated_kfold,raw,Physical,4,6.68596169963,15.6223284943,0.327887412095,0.853415493707,0.920396419437,0.936642453592,3.98217787549,10.2300124134,62.3555045471
random_repeated_kfold,raw,Physical,5,7.37972073628,15.7723456465,0.314917190532,0.823362462296,0.905690537084,0.919289749798,4.38480448817,12.5409702635,58.6645781479
random_repeated_kfold,raw,Physical,6,6.77542445363,15.7600852323,0.31598185582,0.809841134982,0.891410912191,0.926553672316,4.15755816936,9.44610975556,67.0662425003
random_repeated_kfold,raw,Physical,7,7.09495014729,15.7339678433,0.318247067598,0.815230079201,0.905797101449,0.935028248588,4.36255993134,10.6423190015,63.6405825958
random_repeated_kfold,raw,Physical,8,7.61574996844,16.703531618,0.231635829469,0.819488999254,0.914428815004,0.922921711057,4.74196452134,12.036845786,61.2901652298
random_repeated_kfold,raw,Physical,9,7.10618468358,16.4154728102,0.257908784975,0.839014911457,0.907821824382,0.920702179177,4.54659168545,9.19770986394,70.4205119095
random_repeated_kfold,raw,Morgan+Physical,0,6.9552178386,15.890284832,0.304633343342,0.841870845784,0.924978687127,0.913236481033,4.08927120243,9.90274361002,72.759915062
random_repeated_kfold,raw,Morgan+Physical,1,6.83687302328,16.0201429311,0.293221595532,0.82594882822,0.917199488491,0.917473769169,4.00177271599,9.53319220479,73.7769616089
random_repeated_kfold,raw,Morgan+Physical,2,6.91020696004,15.8345203124,0.30950534499,0.815484355366,0.918371696505,0.911824051655,4.3707316243,8.71173376656,72.0248023949
random_repeated_kfold,raw,Morgan+Physical,3,6.52675624188,15.5112925776,0.337407558244,0.834454128885,0.913150042626,0.918886198547,3.93781774747,8.66038024058,70.4147710762
random_repeated_kfold,raw,Morgan+Physical,4,6.50249811145,15.3923813339,0.347527628614,0.848358122483,0.932438192668,0.92413236481,3.83805227287,8.92276673653,70.3687301598
random_repeated_kfold,raw,Morgan+Physical,5,6.80707036058,15.4020007335,0.346711854426,0.815429682413,0.921248934356,0.908393866021,4.12289797411,9.41006238828,69.7617847404
random_repeated_kfold,raw,Morgan+Physical,6,6.59570233235,15.827262662,0.310138167488,0.815366651811,0.91389599318,0.905367231638,3.92271366386,8.54601248087,74.6795390091
random_repeated_kfold,raw,Morgan+Physical,7,6.49775147861,15.4663324172,0.341243097821,0.830081626412,0.924978687127,0.929580306699,3.8861094739,8.56286744849,71.6786646805
