observation_id,dataset_source,inchikey,smiles,name,T_K,dielectric,frequency_MHz,property_family,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_type,source_file,sha256,selection_status,gate_flags
p1_ext:628,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,313.15,27.05,0,zero_frequency,0.27,combined,95,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:629,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,315.65,26.75,0,zero_frequency,0.27,combined,95,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:630,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,318.15,26.32,0,zero_frequency,0.26,combined,95,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:631,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,320.65,25.95,0,zero_frequency,0.26,combined,95,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:632,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,323.15,25.68,0,zero_frequency,0.26,combined,95,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1563,P1 ThermoML,YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",318.15,7.093,0,zero_frequency,0.142,combined,95,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1568,P1 ThermoML,IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,318.15,3.147,0,zero_frequency,0.063,combined,95,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1573,P1 ThermoML,OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,318.15,2.837,0,zero_frequency,0.057,combined,95,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1688,P1 ThermoML,BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,nonane,318.15,1.953,0,zero_frequency,0.039,combined,95,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1694,P1 ThermoML,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",318.15,6.456,0,zero_frequency,0.129,combined,95,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:1700,P1 ThermoML,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",318.15,6.886,0,zero_frequency,0.138,combined,95,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:2277,P1 ThermoML,YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,2-ethyl-1-hexanol,318.2,5.522,0,zero_frequency,0.02,combined,95,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:2280,P1 ThermoML,BMRWNKZVCUKKSR-UHFFFAOYSA-N,CCC(O)CO,"1,2-butanediol",318.2,18.661,0,zero_frequency,0.036,combined,95,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:2283,P1 ThermoML,RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",318.2,2.187,0,zero_frequency,0.01,combined,95,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:4948,P1 ThermoML,HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,313.15,42.2,0,zero_frequency,1.7,combined,95,10.1016/j.tca.2012.10.004,thermoml,data/raw/thermoml/10.1016__j.tca.2012.10.004-2df5b3cc585c.xml,0e2bacf087baf8c7248033da38f2a1ef49132f47d82b30a7b20fb534cf2bb54d,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
p1_ext:4949,P1 ThermoML,HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,318.15,41.6,0,zero_frequency,1.7,combined,95,10.1016/j.tca.2012.10.004,thermoml,data/raw/thermoml/10.1016__j.tca.2012.10.004-2df5b3cc585c.xml,0e2bacf087baf8c7248033da38f2a1ef49132f47d82b30a7b20fb534cf2bb54d,high_temperature_extension,high_temperature_extension|zero_frequency|pure_component|experimental
