observation_id,dataset_source,inchikey,smiles,name,T_K,dielectric,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_file,source_sha256,source_size_bytes,in_selection_window,selection_status,source_scope,gate_flags
p1_dielectric:223,P1 ThermoML,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,glycerol,303.15,41.17,0.25,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:224,P1 ThermoML,ZHNUHDYFZUAESO-UHFFFAOYSA-N,N=CO,formamide,303.15,106.14,0.64,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:225,P1 ThermoML,ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dimethylformamide,303.15,36.55,0.22,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:226,P1 ThermoML,FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",303.15,37.72,0.23,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:227,P1 ThermoML,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,2-aminoethan-1-ol,303.15,31.46,0.19,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:228,P1 ThermoML,UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",303.15,17.18,0.1,combined,95,10.1016/j.fluid.2008.01.024,data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:435,P1 ThermoML,UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",303.15,17.18,0.1,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:436,P1 ThermoML,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,303.15,23.87,0.14,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:437,P1 ThermoML,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-ethanediol",303.15,39.84,0.24,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:438,P1 ThermoML,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,glycerol,303.15,41.17,0.25,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:439,P1 ThermoML,ZHNUHDYFZUAESO-UHFFFAOYSA-N,N=CO,formamide,303.15,106.14,0.01,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:440,P1 ThermoML,ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dimethylformamide,303.15,36.55,0.22,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:441,P1 ThermoML,FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",303.15,37.72,0.23,combined,95,10.1016/j.fluid.2009.07.009,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:513,P1 ThermoML,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dimethyl sulfoxide,298,49,5.2,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:514,P1 ThermoML,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,298,33.1,3.5,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:515,P1 ThermoML,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,298,22.8,2.4,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:516,P1 ThermoML,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,propan-1-ol,298,21.3,2.3,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:517,P1 ThermoML,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,propan-2-ol,298,19.1,1.3,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:518,P1 ThermoML,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,butan-1-ol,298,17.8,1.9,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:519,P1 ThermoML,BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,butan-2-ol,298,17.6,1.9,combined,95,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:581,P1 ThermoML,MCTWTZJPVLRJOU-UHFFFAOYSA-N,Cn1ccnc1,1-methylimidazole,298,39.78,4.22,combined,95,10.1016/j.fluid.2014.05.006,data/raw/thermoml/10.1016__j.fluid.2014.05.006-330722030333.xml,096ba19192c01f16eb93fa039874e2ad4ec670685f8e7e642daedc101da27122,16926,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:582,P1 ThermoML,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,298,80,8.48,combined,95,10.1016/j.fluid.2014.05.006,data/raw/thermoml/10.1016__j.fluid.2014.05.006-330722030333.xml,096ba19192c01f16eb93fa039874e2ad4ec670685f8e7e642daedc101da27122,16926,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:620,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,293.15,29.94,0.3,combined,95,10.1016/j.fluid.2016.10.026,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:621,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,295.65,29.69,0.3,combined,95,10.1016/j.fluid.2016.10.026,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:622,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,298.15,29.19,0.29,combined,95,10.1016/j.fluid.2016.10.026,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:623,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,300.65,28.92,0.29,combined,95,10.1016/j.fluid.2016.10.026,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:624,P1 ThermoML,WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,303.15,28.47,0.28,combined,95,10.1016/j.fluid.2016.10.026,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1431,P1 ThermoML,YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,293.15,11.76,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1432,P1 ThermoML,YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,298.15,11.5,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1433,P1 ThermoML,YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,303.15,11.19,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1434,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,293.15,31.81,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1435,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,298.15,30.95,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1436,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,303.15,30.03,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1437,P1 ThermoML,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,293.15,23.69,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1438,P1 ThermoML,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,298.15,23.07,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
