dataset,train_size,run,n_train_pool,n_test,train_id_hash,test_id_hash,mae,rmse,r2
v0.1,20,0,80,20,2267d38077ced6787bdc2d87edc47876ad21e80fc1546bf05c874c00a3661f80,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.719840886980865,26.638471102751943,-0.22736054545509687
v0.1,20,1,80,20,745917e0acc8cfe5b0d874a07ff6edb5783166e71ae3b1088bbb8bc2358eec0f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.385669340966395,25.95355737438638,-0.16505748778284435
v0.1,20,2,80,20,8c85ef8a7793db993e3e3b3416c957c0e2cbb9cb86e399bcffcdc95bcbb27144,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.330381923933025,22.288462436446547,0.14076138239689306
v0.1,20,3,80,20,aeb7c1a354722c1fa998388a164483cccd3be4e99b50a083a243d8b89f1cd123,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.192945,24.18655983645669,-0.011816530153904603
v0.1,20,4,80,20,1c245f1907961bc10134ee3afccab451c1180d320c885302c1b6b4457d5124b2,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.763605000000002,24.511629468427838,-0.039197118835881284
v0.1,20,5,80,20,5bbb0b27a050608c29076f5982d02487f7b8d4b6a375bdbd11c2fe80e3a3c690,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.702096876179136,23.15624454986963,0.07255145772506322
v0.1,20,6,80,20,21c3a1e0462a3d263b6dc34a48c640cf15434bad1e1a2b018acb7973d47921e3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.029115213615462,23.55291627029593,0.04050449518918042
v0.1,20,7,80,20,0ca7aa3fb988c80ab59417ad2174bffbc5dce91b90f4b694626f3318628d75c2,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.849333191823671,23.22326154444322,0.06717539118758198
v0.1,20,8,80,20,8373cacaee639c302a0047e2170ac5c9eeca8295a69e9d452ca3745db884046f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.640553365262804,24.830294035102263,-0.06639301781490348
v0.1,20,9,80,20,500222e469185a3d9baeedca76ad45ef7cbb8050c7684a1c64255f84c91b1742,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.436652314783988,21.807288948558032,0.17746019438937555
v0.1,40,0,80,20,90c385bf5dd460bf2258dd30f5459bf8f280144eeaae61f7c7fe3caaa2a46761,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.564787938558194,22.529608304067075,0.12206805768726237
v0.1,40,1,80,20,3842685738283e8636430e509fc1a003af73b4353cbf1a46afc254d99b40364b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.701269922886958,22.728172162267033,0.1065246219376742
v0.1,40,2,80,20,053c16647aed8a4784de897ae183a644542c96173ee9e2ec12f243bbf4d305b7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.91707047113249,22.029810157711943,0.16058818585174617
v0.1,40,3,80,20,f65db925da8df9a0a0c29a1d74769ab11b56a625362c26c7dd536e307653a86e,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.755121036846608,22.922791423381195,0.09115761326512639
v0.1,40,4,80,20,c5d61d06e84c5279c8abb7db0d16217de999da9ee702a6174c14c409145f06d0,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.779080642048994,22.9997214339965,0.08504713779722783
v0.1,40,5,80,20,84f6ffd7c33df23cffac188c7f574b1331de84dcd79a864028c15cc7fc3852e1,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.253000317231255,21.269687127557997,0.21751545006468065
