inchikey,field,value,rationale
YMWUJEATGCHHMB-UHFFFAOYSA-N,source_dois_all,10.1002/adma.73388;10.6028/nbs.circ.514,"Source-priority pass: NBS Circular 514 p13 row 008 lists dichloromethane at eps=9.08, t=20 C (T=293.15 K, three-figure transcription, refs 94/285). The review-table value of 9.1 at 298.15 K is retained because it sits in the near-room window, and the public-domain NBS measurement is recorded alongside it as an independent primary cross-check rather than as a replacement."
YMWUJEATGCHHMB-UHFFFAOYSA-N,notes,"Cross-checked against NBS Circular 514 (eps=9.08 at 293.15 K, p13 row 008); the 298.15 K review-table value is retained as the near-room observation. Values are consistent and were not averaged.",Record the primary cross-check next to the retained value.
WYURNTSHIVDZCO-UHFFFAOYSA-N,notes,"Another public table reports 7.6. Source-priority pass: neither NBS Circular 514 (all 636 transcribed organic rows checked) nor the 242-file local ThermoML corpus contains a tetrahydrofuran permittivity observation. A restricted SpringerMaterials record for THF agrees with this open value, but that source is non-redistributable and was used only as a cross-check. The open-access review-table provenance is therefore retained deliberately.",Appendix I item G1-3 requires the THF source-priority decision to be documented instead of left as an unexplained downgrade.
SECXISVLQFMRJM-UHFFFAOYSA-N,notes,Source-priority pass: neither NBS Circular 514 nor the local ThermoML corpus contains an N-methylpyrrolidone permittivity observation. Two restricted SpringerMaterials records give 32.16 and 32.17 at 298.15 K against this open value of 32.2; the restricted source is non-redistributable and was used only as a cross-check. The open-access review-table provenance is retained deliberately.,Appendix I item G1-3 requires the NMP source-priority decision to be documented; the two restricted values also serve as a consistency check.
BTGRAWJCKBQKAO-UHFFFAOYSA-N,evidence_level,primary,"Tier-0 audit: the stored value 32.12 matches the pure-component zero-frequency ThermoML observation at 298.15 K exactly (eps=32.12 +/- 0.1, dataset 3, DOI 10.1021/je300958c), so the row can be upgraded from generic v0.2 compilation provenance to a named primary measurement."
BTGRAWJCKBQKAO-UHFFFAOYSA-N,notes,"Primary ThermoML observation confirmed at 298.15 K: eps=32.12 +/- 0.1, pure component, zero frequency, dataset 3, DOI 10.1021/je300958c. ECW-308 Table S3 lists this compound with a value of 30.00 at 25 C citing Duncan, Salem & Abu-Lebdeh, J. Electrochem. Soc. 2013, 160, A838 (DOI 10.1149/2.088306jes). That cited table was retrieved on 2026-09-24 from the NRC Publications Archive accepted manuscript (record 431ad01c-3fb7-4610-923b-99d08c6a4c16): Table I on p. A840 reports the compound as eps=30, not 30.00, so the two decimals in ECW-308 are unsupported precision rather than a second measurement. The paper records that dielectric constants were measured with a Brookhaven BI-870 meter, but Table I carries no per-row provenance, temperature, frequency or uncertainty, so the value cannot be promoted to a same-condition primary cross-check. It sits about 6.6% below the retained primary observation and is recorded as a source disagreement rather than an error. The values were not averaged.","Appendix J requires a conflict record against the retained primary value, and now that the cited original table has been retrieved the record must state what that source actually reports instead of saying it was not retrieved."
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,evidence_level,primary,"Tier-0 audit: the stored value 34.6 matches the pure-component zero-frequency ThermoML observation at 298.15 K exactly (eps=34.6 +/- 0.1, dataset 2, DOI 10.1021/je300958c), so the row can be upgraded to named primary provenance."
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,notes,"Primary ThermoML observation confirmed at 298.15 K: eps=34.6 +/- 0.1, pure component, zero frequency, dataset 2, DOI 10.1021/je300958c. ECW-308 Table S3 lists this compound with a value of 37.00 at 25 C citing Duncan, Salem & Abu-Lebdeh, J. Electrochem. Soc. 2013, 160, A838 (DOI 10.1149/2.088306jes). That cited table was retrieved on 2026-09-24 from the NRC Publications Archive accepted manuscript (record 431ad01c-3fb7-4610-923b-99d08c6a4c16): Table I on p. A840 reports the compound as eps=37, not 37.00, so the two decimals in ECW-308 are unsupported precision rather than a second measurement. The paper records that dielectric constants were measured with a Brookhaven BI-870 meter, but Table I carries no per-row provenance, temperature, frequency or uncertainty, so the value cannot be promoted to a same-condition primary cross-check. It sits about 6.9% above the retained primary observation and is recorded as a source disagreement rather than an error. The values were not averaged.","Appendix J requires a conflict record against the retained primary value, and now that the cited original table has been retrieved the record must state what that source actually reports instead of saying it was not retrieved."
SBZXBUIDTXKZTM-UHFFFAOYSA-N,notes,"Critical-compilation record: the stored value 7.3815 is the arithmetic mean of two pure-component zero-frequency ThermoML observations that agree within their uncertainties, 7.363 +/- 0.147 at 298.15 K (DOI 10.1016/j.jct.2008.09.006, dataset 7) and 7.4 +/- 0.15 at 298.15 K (DOI 10.1016/j.jct.2010.09.008, dataset 5). Both source DOIs are recorded in source_dois_all. ECW-308 Table S3 entry 96 (PDF p.74 / S73, DOI 10.1002/adfm.202212342) lists 7.40 at 25 C from a secondary compilation citing Huang et al., Adv. Mater. 2019, 31, 1808393. This agrees with the 2010 ThermoML observation; the stored value remains the mean of the two zero-frequency primary observations, and the secondary value was not averaged in. Source-tier check, 2026-09-24: the cited work (DOI 10.1002/adma.201808393) was checked through OpenAlex, Unpaywall, Europe PMC and PubMed and is a closed-access review rather than an original measurement, so the ECW-308 entry is a third-hand relay and is retained only as a consistency check.",Appendix J source-tier discipline: record that the compilation's own citation is a review so the value is not mistaken for a measurement.
YFNKIDBQEZZDLK-UHFFFAOYSA-N,notes,"Critical-compilation record: the stored value 7.604 is the arithmetic mean of two pure-component zero-frequency ThermoML observations that agree within their uncertainties, 7.578 +/- 0.152 at 298.15 K (DOI 10.1016/j.jct.2008.02.015, dataset 1) and 7.63 +/- 0.15 at 298.15 K (DOI 10.1016/j.jct.2010.09.008, dataset 7). A third near-room value at 1 MHz (7.58 +/- 0.15, DOI 10.1016/j.jct.2004.08.003) was not combined because the dataset scope is zero-frequency permittivity. ECW-308 Table S3 entry 104 (PDF p.75 / S74, DOI 10.1002/adfm.202212342) lists 7.53 at 25 C from a secondary compilation citing Huang et al., Adv. Mater. 2019, 31, 1808393; the value is within the combined uncertainty of the stored mean. The secondary value was not averaged in. Source-tier check, 2026-09-24: the cited work (DOI 10.1002/adma.201808393) was checked through OpenAlex, Unpaywall, Europe PMC and PubMed and is a closed-access review rather than an original measurement, so the ECW-308 entry is a third-hand relay and is retained only as a consistency check.",Appendix J source-tier discipline: record that the compilation's own citation is a review so the value is not mistaken for a measurement.
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,notes,"Critical-compilation record: the stored value 7.798 is the arithmetic mean of two pure-component zero-frequency ThermoML observations, 7.78 +/- 0.16 at 298.15 K (DOI 10.1016/j.jct.2010.09.008, dataset 9) and 7.816 +/- 0.469 at 298.15 K (DOI 10.1016/j.tca.2012.10.024, dataset 6). Both source DOIs are recorded in source_dois_all.","Tier-0 audit made the tetraglyme derivation auditable: the stored value is a mean of two agreeing primary measurements, which must be visible in the row rather than only inside the v0.2 build pipeline."
RUOJZAUFBMNUDX-UHFFFAOYSA-N,source_dois_all,10.1021/j100702a008;10.1002/adfm.202212342,"v0.3.2 hand-set this field in the frozen CSV while the rebuild produced an empty value, even though source_doi already carried the Simeral & Amey DOI. Absorbing the hand-edit into the patch layer restores it reproducibly."
VAYTZRYEBVHVLE-UHFFFAOYSA-N,notes,"Conflict record: the stored 126 at 298 K comes from an open-access article text (10.1002/cssc.202402091) and is reproduced by the ECW-308 compilation (10.1002/adfm.202212342 Table S3, 126.00 at 25 C). Following ECW-308's citation [3] to Hall et al., J. Electrochem. Soc. 2018, 165, A2365 (DOI 10.1149/2.1351810jes, CC BY 4.0), Table I of that open-access paper lists vinylene carbonate as eps=126 and attributes it to Saadi & Lee, J. Chem. Soc. B 1966, 5-6 (DOI 10.1039/j29660000005). The abstract of the 1966 paper states that the dielectric constant and dipole moment of vinylene carbonate have been measured, so a primary measurement source has now been identified; the two-page full text is paywalled, so the numeric value could not be read directly and no promotion to primary is claimed. The row stays conflict_open because a Knovel Critical Tables-derived interval of 78-127 disagrees. Vinylene carbonate melts near 295 K, so the 298 K observation sits close to the melting point.","Appendix J requires the VC row to record what is actually known. The previous text claimed no primary measurement had been found, which the 2026-09-24 citation trace disproved."
RJUFJBKOKNCXHH-UHFFFAOYSA-N,notes,"NBS Circular 514 has eps=5.5 vs review 6.2 (Karbak 2025), 13% diff; open conflict Additional independent datum, 2026-09-24: Hall et al., J. Electrochem. Soc. 2018, 165, A2365 (DOI 10.1149/2.1351810jes, CC BY 4.0) Table I lists methyl propionate as eps=6.07 at 25 C citing DOI 10.1016/j.molliq.2013.04.015, between the retained 6.2 and the NBS Circular 514 value of 5.5. The conflict stays open and no average was formed.",Appendix J requires new independent data points in an open conflict to be recorded without averaging.
DLRJIFUOBPOJNS-UHFFFAOYSA-N,source_dois_all,10.1002/adma.73388;10.6028/nbs.circ.514,"v0.3.2 restored this row by hand-editing the frozen CSV instead of the build inputs, so the restoration was lost on every rebuild. Absorbing the hand-edit into the checked-in patch layer makes it reproducible from the build inputs."
DLRJIFUOBPOJNS-UHFFFAOYSA-N,evidence_level,primary,"v0.3.2 restored this row by hand-editing the frozen CSV instead of the build inputs, so the restoration was lost on every rebuild. Absorbing the hand-edit into the checked-in patch layer makes it reproducible from the build inputs."
DLRJIFUOBPOJNS-UHFFFAOYSA-N,temperature_source,reported,"v0.3.2 restored this row by hand-editing the frozen CSV instead of the build inputs, so the restoration was lost on every rebuild. Absorbing the hand-edit into the checked-in patch layer makes it reproducible from the build inputs."
DLRJIFUOBPOJNS-UHFFFAOYSA-N,notes,NBS Circular 514 p35:011 eps=4.22 matches review 4.2; promoted to primary,"v0.3.2 restored this row by hand-editing the frozen CSV instead of the build inputs, so the restoration was lost on every rebuild. Absorbing the hand-edit into the checked-in patch layer makes it reproducible from the build inputs."
OOWFYDWAMOKVSF-UHFFFAOYSA-N,source_dois_all,10.1016/j.electacta.2013.01.084;10.1002/adfm.202212342;tel-00630049,"The addition CSV has no source_dois_all column, so the access path (ECW-308 supplementary Table S3) would otherwise be missing from the row. Recording the cited primary DOI, the compilation DOI and the open-access companion-thesis identifier (HAL tel-00630049) keeps the chain auditable after any rebuild."
OOWFYDWAMOKVSF-UHFFFAOYSA-N,notes,"Value 36.00 at 25 C was read from the ECW-308 battery-solvent compilation (Wang et al. 2023, Adv. Funct. Mater., DOI 10.1002/adfm.202212342, Table S3, rows 43 and 51), which cites Perricone et al. (2013) Electrochim. Acta 93, 1 (DOI 10.1016/j.electacta.2013.01.084). The cited paper is closed access, but the same first author's open-access doctoral thesis (Perricone 2011, Universite de Grenoble, NNT 2011GRENI032, HAL tel-00630049), Tableau 12 on page 65, lists epsilon_r = 36 for methoxypropionitrile, so the number is citable to a document a reader can open. The thesis states no temperature and belongs to the same research line, so this is document-level corroboration, not a second measurement: the value stays a secondary compilation and the row is deliberately held out of the model-ready set. The publisher supplementary file and the thesis PDF are not redistributable; only the numeric facts are recorded. Adversarial Table S3 review also found that row 51's dielectric cell contains a stacked 25.00 value without a separate citation; the cited main value 36.00 is retained, and 25.00 is recorded as a multi-value warning rather than averaged or promoted.",Record the adversarial multi-value warning from the ECW-308 Table S3 review without promoting or averaging the stacked 25.00 value.
RUOJZAUFBMNUDX-UHFFFAOYSA-N,notes,"Value 64.9 at 298.15 K from original measurement (DOI 10.1021/j100702a008). Cross-checked against ECW-308 Table S3 entry 159 (PDF p.79 / S78): 64.90 at 25 C reproduces the stored primary value exactly. This is corroboration only and was not averaged. Independent corroboration, 2026-09-24: Hall et al., J. Electrochem. Soc. 2018, 165, A2365 (DOI 10.1149/2.1351810jes, CC BY 4.0) Table I lists propylene carbonate as eps=64.9 at 25 C citing DOI 10.1021/j100664a019 (J. Phys. Chem. 1972), a different measurement paper from the retained 1970 source reporting the same value. Corroboration only; no average was formed.",Appendix J requires independent corroboration of retained primary values to be recorded without averaging.
BTGRAWJCKBQKAO-UHFFFAOYSA-N,source_dois_all,10.1021/je300958c;10.1002/adfm.202212342;10.1149/2.088306jes,"The upstream journal article that ECW-308 relays is now held as a legally accessible NRC Publications Archive accepted manuscript, so its DOI is recorded next to the compilation DOI for traceability. The retained value still comes only from 10.1021/je300958c."
BTGRAWJCKBQKAO-UHFFFAOYSA-N,conflict_status,primary_vs_duncan2013_reported_value_differs,"The disagreeing value is now known to be an integer reported in a peer-reviewed article rather than a standalone ECW-308 figure, so the label names that source. The ThermoML primary observation is unambiguous, so the row stays model_ready=true and only provenance changes."
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,source_dois_all,10.1021/je300958c;10.1002/adfm.202212342;10.1149/2.088306jes,"The upstream journal article that ECW-308 relays is now held as a legally accessible NRC Publications Archive accepted manuscript, so its DOI is recorded next to the compilation DOI for traceability. The retained value still comes only from 10.1021/je300958c."
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,conflict_status,primary_vs_duncan2013_reported_value_differs,"The disagreeing value is now known to be an integer reported in a peer-reviewed article rather than a standalone ECW-308 figure, so the label names that source. The ThermoML primary observation is unambiguous, so the row stays model_ready=true and only provenance changes."
SBZXBUIDTXKZTM-UHFFFAOYSA-N,source_dois_all,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008;arXiv:1506.00262;10.1002/adfm.202212342,Record the ECW-308 cross-check DOI without removing the existing v0.2 ThermoML and Chodera source tokens.
YFNKIDBQEZZDLK-UHFFFAOYSA-N,source_dois_all,10.1016/j.jct.2008.02.015;10.1016/j.jct.2010.09.008;10.1002/adfm.202212342,Record the ECW-308 cross-check DOI without removing the existing v0.2 ThermoML source tokens.
KMTRUDSVKNLOMY-UHFFFAOYSA-N,source_dois_all,10.1021/je050341y;10.1002/adfm.202212342,"Record the ECW-308 cross-check DOI alongside the primary EC value; the temperatures differ, so the source is marked as a cross-check rather than a replacement."
KMTRUDSVKNLOMY-UHFFFAOYSA-N,notes,"EC melts at about 36.4 C; the stored 90.5 measurement is at 313.15 K (40 C), where EC is liquid, so the row is flagged extended_temperature. ECW-308 Table S3 entry 158 (PDF p.79 / S78) lists 89.00 at 25 C; the temperatures differ and the two values are not a same-condition pair. The stored primary value was retained and no average was formed. Independent corroboration, 2026-09-24: Hall et al., J. Electrochem. Soc. 2018, 165, A2365 (DOI 10.1149/2.1351810jes, CC BY 4.0) Table I lists ethylene carbonate as eps=90.5 citing DOI 10.1021/je050341y, which is this row's own source, and footnotes that the EC permittivity values are at 40 C. The loop confirms the 313.15 K assignment rather than adding an independent measurement, and no average was formed.",Appendix J requires independent corroboration of retained primary values to be recorded without averaging.
SBLRHMKNNHXPHG-UHFFFAOYSA-N,notes,"ECW-308 Table S3 entry 166 (PDF p.79 / S78) lists 78.40 at 25 C, which supports the low endpoint of the 78.4/102/107 conflict. The original cited table was not independently retrieved, and 102/107 remain unresolved. The row remains excluded from model fitting. Independent relay, 2026-09-24: Hall et al., J. Electrochem. Soc. 2018, 165, A2365 (DOI 10.1149/2.1351810jes, CC BY 4.0) Table I lists fluoroethylene carbonate as eps=107 at 25 C citing the Ue et al. book chapter (DOI 10.1007/978-1-4939-0302-3_2, Modern Aspects of Electrochemistry, 2014), which supports the high endpoint of the 78.4/102/107 spread.",Appendix J requires new independent relays of a conflicted value to be recorded without averaging.
