representation,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Morgan,0,8.215956983223771,18.194813331345753,0.13193820418439384,0.6685829197604004,0.8487669645812644,0.7911132194813408,4.632353509827499,11.646266974834685,90.04783407529196
Morgan,1,8.087621615339238,17.734046588941332,0.17534722560551852,0.649927053463474,0.8472773915921881,0.8048703352308664,4.718434748364542,11.10015669867333,86.68809842745463
Morgan,2,7.589304556589329,17.19910477710466,0.2243476390349216,0.7235476552708352,0.8726415094339622,0.8561827956989247,4.481543716669606,9.833731924178753,84.27670232137045
Morgan,3,7.941694065546887,17.753962636646296,0.1734939490597548,0.7176438741181831,0.877027474346243,0.8214737507906388,4.460358428428986,11.268385424350171,87.4831260808309
Morgan,4,7.66367567043548,17.179212915353492,0.22614078435518759,0.7009901911982901,0.8761999337967561,0.8375237191650853,4.476288145094651,10.275330723945132,83.88979935328166
Morgan,5,7.822544103052667,17.39653092921107,0.20643822277417834,0.7187008252126991,0.8716898378020523,0.8440860215053764,4.473848847408085,10.918362972746504,85.14905237833659
Morgan,6,7.768149983221825,17.468225309901484,0.1998839096561894,0.714997853591788,0.861511089043363,0.8268500948766603,4.393672221684717,10.913913703431472,85.4854929415385
Morgan,7,7.959998280316617,17.77272184400191,0.17174641923232137,0.6828434840111357,0.8608076795762991,0.81016761543327,4.581672860405471,11.07373335477139,86.04494460105896
Morgan,8,7.982524692541895,17.69056020502204,0.1793865968395414,0.6890963699398535,0.854932141674942,0.8100094876660342,4.509789292836452,11.385685313042172,86.66407362302145
Morgan,9,7.763394970839481,17.36890220346131,0.20895685023563626,0.7054103000733186,0.8735518040383978,0.8228178368121443,4.519861148842613,10.471329768404047,84.93843165715536
Physical,0,8.073244019371195,17.683122839404078,0.18007644712158066,0.786013434130778,0.8749586229725257,0.9112903225806451,4.813274720418322,12.76221217768243,70.22872884750366
Physical,1,7.952768913734111,17.329135609740117,0.21257493504414493,0.7825139868662232,0.8799238662694472,0.9206198608475649,4.960730796450311,11.474375397540152,71.12534101486206
Physical,2,7.384292357435024,16.514832530996546,0.2848390667312187,0.8077498685954526,0.8952333664349552,0.9493991144845035,4.401403255780189,10.774973764257227,71.30492408752441
Physical,3,7.881130528963778,17.720459986129274,0.17661032567617052,0.791743116090948,0.8873717312148295,0.9316888045540798,4.7834353023026015,12.881758103715612,62.67296973546346
Physical,4,7.145148483031251,16.490587450944084,0.28693735097782236,0.8145654611337815,0.8937024164184045,0.9386464263124605,4.295928675796174,10.261149295198157,69.16280960718791
Physical,5,7.180164134709783,16.26247660961232,0.3065282016920037,0.8312302018841667,0.9064051638530288,0.9348513598987982,4.4657363363706155,10.047563059948862,67.0565157699585
Physical,6,6.934334506697148,15.832633213236026,0.34270287015173884,0.8189806109673508,0.9010675273088383,0.9424414927261228,4.1272726400406805,10.282195635694139,65.85696561813354
Physical,7,7.0516411465243065,16.13687585571914,0.31719868303862087,0.7894411016288917,0.8848891095663687,0.9454459203036054,4.412639504262903,9.393821568631111,68.75427765528362
Physical,8,7.457331682798507,16.402535933856676,0.2945318195893307,0.8041863246743481,0.8906405163853028,0.9473434535104364,4.295367409204127,11.644548348325367,70.57038410186767
Physical,9,7.232650249674372,16.0010203131824,0.32864722654176926,0.80284935309469,0.8905577623303542,0.9316888045540798,4.579579150700831,10.004103786752578,65.99942087809245
Morgan+Physical,0,7.565134998198165,17.05133022931466,0.23761917428907786,0.786676573009969,0.8823237338629593,0.8970588235294117,4.355648789236048,10.72870120011999,80.13828142166138
Morgan+Physical,1,7.208087105680425,16.480592383594853,0.28780147414208446,0.7924651606325781,0.8926679907315459,0.9161922833649588,4.3631835194765864,9.071505354860996,78.90671960194906
Morgan+Physical,2,6.738161643744935,15.975252311511081,0.3308077750043178,0.82161903755055,0.9016881827209533,0.9392789373814042,4.0374344810527765,8.125745330810549,77.79081336339316
Morgan+Physical,3,7.195527226077141,16.49732793633003,0.28635430678018337,0.8079826642217943,0.8980470043032108,0.9220430107526881,4.2606153583086455,9.894651443643774,75.07804751078288
Morgan+Physical,4,6.784335694843048,16.04574579579613,0.3248888985329327,0.8287237618432688,0.9102946044356173,0.9335863377609108,3.9700365386879053,8.779029988471498,76.52630479812622
Morgan+Physical,5,6.768022867136205,15.924438422742284,0.3350581215348303,0.8442161940892972,0.9130254882489243,0.9323213156230234,3.983551244345864,8.699198885735047,76.10278327941894
Morgan+Physical,6,6.757288961725439,15.868346909805448,0.33973419328284726,0.8302734351649749,0.905577623303542,0.9345351043643264,3.8598508556889963,9.179631272823253,75.67123007456462
Morgan+Physical,7,6.874479461051455,16.243309188195898,0.3081619298518917,0.8010177874848728,0.8981297583581596,0.9282099936748893,4.120934160125649,8.668568063127234,76.34499287287395
Morgan+Physical,8,6.934026329947938,16.176495306299223,0.3138417231494802,0.8229558424799571,0.9002813637868257,0.9421252371916509,4.00909931652153,9.109292268306653,78.61722922007243
Morgan+Physical,9,6.873562533105079,15.929883517947522,0.3346033122973392,0.82369554022071,0.9054948692485931,0.9216476913345983,4.124141597672348,8.76340141320736,75.46892634709677
