pair_id,inchikey,smiles,name,T_dielectric_K,T_viscosity_K,temperature_delta_K,dielectric,viscosity_cP,viscosity_Pa_s,dielectric_source_doi,viscosity_source_doi,dielectric_source_file,dielectric_sha256,p1_is_pure,selection_tier,pair_type,model_ready,exact_temperature_match,gate_flags
p1visc:YEJRWHAVMIAJKC-UHFFFAOYSA-N:11388:3481,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,298.15,298.15,0.0,41.64,1.717908387,0.001717908387,10.1021/je900503p,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__je900503p-c4927a582b2b.xml,bf9680cc2c3bfba58e1c4dd17ea6a0329e835375459beccbe561851b5f878ff7,true,pure_component,loose_join,false,true,experimental|temperature_delta_le_5K|pure_component|not_training_ready
p1visc:XTHFKEDIFFGKHM-UHFFFAOYSA-N:1690:3450,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,298.15,0.0,7.069,0.43,0.00043,10.1016/j.jct.2008.09.006,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,true,pure_component,loose_join,false,true,experimental|temperature_delta_le_5K|pure_component|not_training_ready
p1visc:XTHFKEDIFFGKHM-UHFFFAOYSA-N:1899:3450,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,298.15,0.0,7.07,0.43,0.00043,10.1016/j.jct.2010.09.008,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,true,pure_component,loose_join,false,true,experimental|temperature_delta_le_5K|pure_component|not_training_ready
p1visc:LYCAIKOWRPUZTN-UHFFFAOYSA-N:435:3575,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-ethanediol",303.15,303.15,0.0,39.84,13.55,0.01355,10.1016/j.fluid.2009.07.009,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,true,pure_component,loose_join,false,true,experimental|temperature_delta_le_5K|pure_component|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5892:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,1.92648,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5893:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,1.96704,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5894:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,2.04621,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5895:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,2.12477,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5896:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,2.20279,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
p1visc:ZFFMLCVRJBZUDZ-UHFFFAOYSA-N:5897:3353,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,"2,3-dimethylbutane",298.15,298.15,0.0,2.22897,0.33,0.00033,10.1021/acs.jced.5b00369,10.1186/s13321-024-00820-5,data/raw/thermoml/10.1021__acs.jced.5b00369-24dbf73cb812.xml,a0de6fe5a6d98e680f04502b87f9f7b15a4a28769675491285fb3458d51620e3,false,mixture_only,loose_join,false,true,experimental|temperature_delta_le_5K|mixture_only|not_training_ready
