inchikey,in_target_key_set,in_publishable_pure_subset,n_epsilon_observations,n_viscosity_observations,has_epsilon_and_viscosity,in_walden_pair_set,n_walden_pairs,key_carries_admissible_dn,admissible_dn_value,admissible_dn_source_id,admissible_dn_source_doi,key_carries_predicted_dn,predicted_dn_value,predicted_dn_source_id,dn_channel_status
AAAQKTZKLRYKHR-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
AATNZNJRDOVKDD-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
ABDKAPXRBAPSQN-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
ACUZDYFTRHEKOS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
ADANNTOYRVPQLJ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
ADNADZOSMJDVIS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
ADOBXTDBFNCOBN-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
AEXMKKGTQYQZCS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
AFABGHUZZDYHJO-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
AFBPFSWMIHJQDM-UHFFFAOYSA-N,true,true,1,8,true,false,0,false,,,,false,,,no_dn
AFFLGGQVNFXPEV-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
AFZZYIJIWUTJFO-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
AHFMSNDOYCFEPH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
AILKHAQXUAOOFU-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
AJDIZQLSFPQPEY-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
AJUXDFHPVZQOGF-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
AKCRQHGQIJBRMN-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
ALYCOCULEAWWJO-UHFFFAOYSA-N,true,true,1,0,false,false,0,false,,,,false,,,no_dn
AMIMRNSIRUDHCM-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
