exclusion_id,dataset_id,source_property,property,inchikey,source_file,source_row_index,segment_index,source_file_sha256,reason_code,reason,raw_value
thermoml_viscosity:90:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,90,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.702e-06
thermoml_viscosity:91:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,91,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.441e-06
thermoml_viscosity:92:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,92,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.206e-06
thermoml_viscosity:93:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,93,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3e-06
thermoml_viscosity:94:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,94,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.808e-06
thermoml_viscosity:95:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,95,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.637e-06
thermoml_viscosity:96:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,96,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.514e-06
thermoml_viscosity:97:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,97,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.346e-06
thermoml_viscosity:98:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,98,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.219e-06
thermoml_viscosity:99:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,99,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",2.1e-06
