row_id,dataset_id,property,property_family,inchikey,name,smiles,T_K,value,unit,phase,method,uncertainty,uncertainty_kind,confidence_level,frequency_mhz,pressure_kpa,n_components,pure_or_mixture,source_doi,source_kind,source_file,source_row_index,source_file_sha256,quality_layer,licence,redistributable
epsilon_observations_v11plus:0,epsilon_observations_v11plus,epsilon,dielectric_constant,AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,300.15,5.878,1,Liquid,impedance analyzer,0.001,combined,95,0,101.325,1,pure,10.1016/j.jct.2011.10.028,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,0,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:1,epsilon_observations_v11plus,epsilon,dielectric_constant,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,12.5,1,Liquid,Coaxial cylinder capacitor,1.4,combined,95,0,101.325,1,pure,10.1021/je101184s,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,1,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:2,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,288.15,16.334,1,Liquid,Parallel plate capacitor,0.98,combined,95,0,101.325,1,pure,10.1016/j.tca.2012.05.036,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,2,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:3,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,293.15,15.736,1,Liquid,Parallel plate capacitor,0.944,combined,95,0,101.325,1,pure,10.1016/j.tca.2012.05.036,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,3,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:4,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,293.15,15.739,1,Liquid,Parallel plate capacitor,0.944,combined,95,0,101.325,1,pure,10.1016/j.tca.2012.10.024,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,4,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:5,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,14.96,1,Liquid,Parallel plate capacitor,0.03,combined,95,0,100,1,pure,10.1021/je060248p,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,5,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:6,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.144,1,Liquid,Parallel plate capacitor,0.909,combined,95,0,101.325,1,pure,10.1016/j.tca.2012.05.036,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,6,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:7,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.158,1,Liquid,Parallel plate capacitor,0.91,combined,95,0,101.325,1,pure,10.1016/j.tca.2012.10.024,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,7,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:8,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,15.62,1,Liquid,Parallel plate capacitor,0.03,combined,95,0,50000,1,pure,10.1021/je060248p,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,8,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
epsilon_observations_v11plus:9,epsilon_observations_v11plus,epsilon,dielectric_constant,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,16.12,1,Liquid,Parallel plate capacitor,0.03,combined,95,0,100000,1,pure,10.1021/je060248p,primary_thermoml_measurement,data/processed/dielectric_observations_v11plus.csv,9,159b928f800a55969963da275ed05c30ce8a19cffc48353a9c490eec68a49af9,publishable_core,thermoml_open,true
