inchikey,smiles,name,has_dielectric,dielectric,dielectric_T_K,has_viscosity,viscosity_Pa_s,viscosity_T_K,has_orbitals,HOMO_eV,LUMO_eV,gap_eV,IP_eV,EA_eV,dipole_au,dipole_D,has_redox_label,oxidation_free_energy_eV,reduction_free_energy_eV,has_density,density_kg_m3,density_T_K,has_liquid_window,mp_C,bp_C,flash_point_C,ambient_density_g_cm3,n_core_channels,channels_present
AAACXXOAKLEEOX-UHFFFAOYSA-N,CCC(CC)C(=O)OCCl,CompMol27490,false,,,false,,,true,-10.5549001694,1.46669995785,12.0216001273,8.29389762878,0.462608009577,0.811549641793,2.06275343969,false,,,false,,,false,,,,,1,orbitals
AAADLMZHEITDQA-UHFFFAOYSA-N,O=C=C1CC(F)(F)C1F,CompMol13704,false,,,false,,,true,-9.38580036163,0.907899975777,10.2937003374,6.91484546661,1.50581967831,0.802982277825,2.04097737254,false,,,false,,,false,,,,,1,orbitals
AAALYJXKXAAQDR-UHFFFAOYSA-N,C=C(C=NOOC)CC,CompMol18340,false,,,false,,,true,-9.17029953003,1,10.17029953,6.78174209595,1.40423166752,1.08664378535,2.76197300882,false,,,false,,,false,,,,,1,orbitals
AABBHSMFGKYLKE-UHFFFAOYSA-N,CC=CC(=O)OC(C)C,CompMol19291,false,,,false,,,true,-10.0005998611,1.19110000134,11.1916998624,7.41796302795,1.17813229561,0.630654796598,1.60296460493,false,,,false,,,false,,,,,1,orbitals
AABTWRKUKUPMJG-UHFFFAOYSA-N,Cc1coc(C)c1,CompMol31029,false,,,false,,,true,-8.43229961395,1.68959999084,10.1218996048,5.9107093811,0.098816357553,0.38675177953,0.983024971547,false,,,false,,,false,,,,,1,orbitals
AABVZKNOADSLHF-UHFFFAOYSA-N,NCCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],(ethanolamine)lithium(I) bis((trifluoromethyl)sulfonyl)amide,false,,,true,1.15676,323.15,false,,,,,,,,false,,,true,1647.91,323.15,false,,,,,1,viscosity|density
AABXHNYAAJBOJW-UHFFFAOYSA-N,O=CC(CF)C1CC1,CompMol10463,false,,,false,,,true,-9.7264995575,1.54349994659,11.2699995041,7.3802189827,0.817412436008,1.19671956967,3.04175774538,false,,,false,,,false,,,,,1,orbitals
AADJVXSWTQJZTC-UHFFFAOYSA-N,COC(=O)CCCOC(=O)Cl,CompMol29424,false,,,false,,,true,-10.5579004288,1.2634999752,11.821400404,8.22555732727,0.56038838625,1.70063957026,4.32259462955,false,,,false,,,false,,,,,1,orbitals
AADNCLNCCKLRNH-UHFFFAOYSA-N,CC(=O)C(C)=C(C)Cl,CompMol11714,false,,,false,,,true,-9.40540027618,0.972599983215,10.3780002594,6.99980545044,1.30526840687,1.22802529996,3.12132897493,false,,,false,,,false,,,,,1,orbitals
AAERQJYPQQTSDR-UHFFFAOYSA-N,O=C(OC[C-]=[F+])OP(=O)(F)F,44e6990c1b3c514ecacef0660e0c6423-C3F3H2O4P1-0-1,false,,,false,,,true,,,,7.54165503709,2.6784105288,,,true,7.05387869993,-3.37031728996,false,,,false,,,,,2,orbitals|redox_label
AAEVKGNFXBBSKG-UHFFFAOYSA-N,C=NC(=C)S(=C)(=C)C,CompMol13074,false,,,false,,,true,-7.80849981308,1.04680001736,8.85529983044,5.07318115234,1.49399077892,1.63835474571,4.16428239643,false,,,false,,,false,,,,,1,orbitals
AAEZMHSWRQVQEK-UHFFFAOYSA-N,C=C1CO1,CompMol2238,false,,,false,,,true,-9.48550033569,1.75429999828,11.239800334,6.82698774338,0.217521235347,0.873858377572,2.2211264491,false,,,false,,,false,,,,,1,orbitals
AAFCYXMSNWRZFF-UHFFFAOYSA-N,O=C1OCc2nnoc21,CompMol3067,false,,,false,,,true,-10.7714004517,-0.224399998784,10.5470004529,8.45575332642,2.41279220581,1.75515797163,4.46116658395,false,,,false,,,false,,,,,1,orbitals
AAFYEHHSTKRFNV-UHFFFAOYSA-N,FC1=C(c2ccccc2)CC=CO1,CompMol1469,false,,,false,,,true,-8.32299995422,1.42470002174,9.74769997596,6.05340385437,0.759264826775,1.22200395188,3.10602423468,false,,,false,,,false,,,,,1,orbitals
AAGOAENRGMPZPO-UHFFFAOYSA-N,FCOCC(F)=S,CompMol8267,false,,,false,,,true,-9.78219985962,-0.048900000751,9.73329985887,7.4277920723,2.364174366,1.72280979848,4.37894572894,false,,,false,,,false,,,,,1,orbitals
AAGWCFAVOZTQJR-UHFFFAOYSA-N,COC1(Cl)CC1(C)C,CompMol12557,false,,,false,,,true,-9.56739997864,1.43420004845,11.0016000271,7.22601985931,1.18424963951,1.0903553568,2.77140688246,false,,,false,,,false,,,,,1,orbitals
AAGWZDXNFNLRSK-UHFFFAOYSA-N,CSSSSC(=O)SC,CompMol20280,false,,,false,,,true,-9.12250041962,0.422600001097,9.54510042072,6.96177721024,1.53965592384,1.44162524483,3.66424588143,false,,,false,,,false,,,,,1,orbitals
AAGZBCKUVAXJNL-MRVPVSSYSA-N,[CH2-]OCC=[O+][P@@](O)F,20aa5b08677c6496f350080e4d039a60-C3F1H6O3P1-0-1,false,,,false,,,true,,,,3.86204891641,3.29045602507,,,true,2.98255038016,-4.0334086818,false,,,false,,,,,2,orbitals|redox_label
