ilthermo_name,ilthermo_formula,formula_source,resolved_inchikey,resolved_smiles,resolution_status,resolution_source,pubchem_cid,pubchem_candidate_count,formula_check,rdkit_formula,in_roster,roster_join_basis,roster_match_name,roster_verdict,roster_out_of_scope,needs_manual_review,needs_manual_review_reason,roster_formula_collisions,n_epsilon_sets,n_datapoints,temperature_span_K,temperature_min_K,temperature_max_K,n_distinct_temperatures,temperature_span_class,n_sets_temperature_read,is_ionic_liquid,ilthermo_setids,source_url,notes
1-butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,ilset,LSBXQLQATZTAPE-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,resolved,roster_name_join,,0,match,C8H15BF4N2,true,name,1-butyl-3-methylimidazolium tetrafluoroborate,in_roster,false,false,,1-butyl-3-methylimidazolium tetrafluoroborate,6,23,2.00,296.15,298.15,3,near_single,6,true,vzqDf;Glkil;TRbnb;tlolr;PMcMx;WqJsg,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=vzqDf,InChIKey taken from the roster name join; no PubChem call was made
1-butyl-3-methylimidazolium hexafluorophosphate,C8H15F6N2P,ilset,IXQYBUDWDLYNMA-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,resolved,roster_name_join,,0,match,C8H15F6N2P,true,name,1-butyl-3-methylimidazolium hexafluorophosphate,in_roster,true,false,,1-butyl-3-methylimidazolium hexafluorophosphate,4,4,1.95,296.15,298.10,2,near_single,4,true,nqMeB;SbNhu;LnnJI;yrXly,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=nqMeB,InChIKey taken from the roster name join; no PubChem call was made
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,ilset,CUNYTRQQXKCRTJ-UHFFFAOYSA-N,[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C,resolved,pubchem,2769348,1,match,C6H11BF4N2,false,none,,new_compound,false,false,,,4,21,0.05,298.10,298.15,2,near_single,4,true,feYBx;DRzTI;XmvpF;iwnEy,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=feYBx,
1-hexyl-3-methylimidazolium hexafluorophosphate,C10H19F6N2P,ilset,YPWSSSRXUOQNMQ-UHFFFAOYSA-N,CCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,resolved,pubchem,2734175,1,match,C10H19F6N2P,false,none,,new_compound,false,false,,,4,21,0.05,298.10,298.15,2,near_single,4,true,HGRyz;eoMPw;JPAmq;supVs,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=HGRyz,
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,ilset,INDFXCHYORWHLQ-UHFFFAOYSA-N,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,resolved,pubchem,11258643,1,match,C10H15F6N3O4S2,false,none,,new_compound,false,false,,,3,20,0.05,298.10,298.15,2,near_single,3,true,TPdJp;fHlqM;SluUB,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=TPdJp,
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,ilset,LRESCJAINPKJTO-UHFFFAOYSA-N,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,resolved,pubchem,11731903,1,match,C8H11F6N3O4S2,false,none,,new_compound,false,false,,,3,20,0.05,298.10,298.15,2,near_single,3,true,PocGe;Dnmmq;Ybpyh,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=PocGe,
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,ilset,ZPTRYWVRCNOTAS-UHFFFAOYSA-M,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,resolved,roster_name_join,,0,match,C7H11F3N2O3S,true,name,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,in_roster,false,false,,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,3,20,0.05,298.10,298.15,2,near_single,3,true,smDhV;niNcr;BIuFf,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=smDhV,InChIKey taken from the roster name join; no PubChem call was made
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,ilset,LBHLGZNUPKUZJC-UHFFFAOYSA-N,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,resolved,roster_name_join,,0,match,C11H20N4,true,name,1-butyl-1-methylpyrrolidinium dicyanamide,in_roster,false,false,,1-butyl-1-methylpyrrolidinium dicyanamide,2,19,0.05,298.10,298.15,2,near_single,2,true,zkXRQ;dGHuT,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=zkXRQ,InChIKey taken from the roster name join; no PubChem call was made
"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",C11H17F6N3O4S2,ilset,,,unresolved,,,0,not_checked,,false,none,,new_compound,false,true,"isomer_formula_collision_with_roster:1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide","1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",2,19,0.05,298.10,298.15,2,near_single,2,true,uXOUk;tBXus,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=uXOUk,"HTTP 404: PubChem has no record under the name '1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide'"
1-butyl-3-methylimidazolium dicyanamide,C10H15N5,ilset,ICIVTHOGIQHZRY-UHFFFAOYSA-N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,resolved,pubchem,11171745,1,match,C10H15N5,false,none,,new_compound,false,false,,,2,19,0.00,298.15,298.15,1,single_temperature,2,true,Rbkud;KetMU,https://ilthermo.boulder.nist.gov/ILT2/ilset?set=Rbkud,
