queue_id,candidate_name,book_doi,chapter_doi,chapter_title,source_title,source_access,manual_value_status,required_fields_missing,decision_status
lb2015:0001,formic acid,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_10,Static dielectric constant of formic acid,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0002,pentan-3-ol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_100,Static dielectric constant of pentan-3-ol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0003,2-propoxyethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_101,Static dielectric constant of 2-propoxyethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0004,2-(2-methoxyethoxy)ethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_102,Static dielectric constant of 2-(2-methoxyethoxy)ethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0005,N-methyldiethanolamine,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_103,Static dielectric constant of N-methyldiethanolamine,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0006,bromobenzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_104,Static dielectric constant of bromobenzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0007,chlorobenzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_105,Static dielectric constant of chlorobenzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0008,2-chlorophenol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_106,Static dielectric constant of 2-chlorophenol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0009,fluorobenzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_107,Static dielectric constant of fluorobenzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0010,nitrobenzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_108,Static dielectric constant of nitrobenzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
