inchikey,name,pubchem_cid,gate_decision,trigger_reasons,unknown_reason,evidence_columns,mp_C,mp_C_depositor,mp_C_confidence,bp_C,bp_C_depositor,bp_C_confidence,T_low_C,T_high_C
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,7515,pass,,,mp_C;bp_C,-57,Hazardous Substances Data Bank (HSDB),high,196.25,Hazardous Substances Data Bank (HSDB),high,-20,60
AILKHAQXUAOOFU-UHFFFAOYSA-N,hexanenitrile,12352,unknown,,missing_mp,bp_C,,,absent,163.6,"PAC Chemical Database, U.S. Department of Energy",low,-20,60
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,53384372,unknown,,missing_mp;missing_bp,,,,absent,,,absent,-20,60
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,6276,pass,,,mp_C;bp_C,-79,Hazardous Substances Data Bank (HSDB),high,137.5,Hazardous Substances Data Bank (HSDB),high,-20,60
APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",11600,unknown,,missing_mp;missing_bp,,,,absent,,,absent,-20,60
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-pentanol,11428,blocked,mp_above_T_low,,mp_C;bp_C,-8,ILO-WHO International Chemical Safety Cards (ICSCs),low,116,ILO-WHO International Chemical Safety Cards (ICSCs),low,-20,60
ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-methylformamide,31254,blocked,mp_above_T_low,,mp_C;bp_C,-5.4,Hazardous Substances Data Bank (HSDB),medium,185,Hazardous Substances Data Bank (HSDB),medium,-20,60
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,7294,pass,,,mp_C;bp_C,-75.6,Hazardous Substances Data Bank (HSDB),medium,70,Hazardous Substances Data Bank (HSDB),medium,-20,60
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,8129,pass,,,mp_C;bp_C,-34.6,Hazardous Substances Data Bank (HSDB),high,155.6,Hazardous Substances Data Bank (HSDB),medium,-20,60
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,1031,pass,,,mp_C;bp_C,-127,Hazardous Substances Data Bank (HSDB),high,97.2,Hazardous Substances Data Bank (HSDB),high,-20,60
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,8452,pass,,,mp_C;bp_C,-51.3,Hazardous Substances Data Bank (HSDB),medium,130.6,Hazardous Substances Data Bank (HSDB),high,-20,60
BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,8141,pass,,,mp_C;bp_C,-53.47,Hazardous Substances Data Bank (HSDB),medium,150.47,Hazardous Substances Data Bank (HSDB),high,-20,60
BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",11429,pass,,,mp_C;bp_C,-50,Hazardous Substances Data Bank (HSDB),medium,196.9,Hazardous Substances Data Bank (HSDB),medium,-20,60
BMVXCPBXGZKUPN-UHFFFAOYSA-N,1-hexanamine,8102,pass,,,mp_C;bp_C,-21,Hazardous Substances Data Bank (HSDB),high,132,Hazardous Substances Data Bank (HSDB),high,-20,60
BOGRNZQRTNVZCZ-AATRIKPKSA-N,"3-Methyl-1,3-pentadiene",638069,unknown,,missing_mp;missing_bp,,,,absent,,,absent,-20,60
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,6563,unknown,,missing_mp,bp_C,,,absent,68.5,"PAC Chemical Database, U.S. Department of Energy",low,-20,60
