candidate_id,name,family,restricted_evidence_status,restricted_system_id,primary_reference,compilation_reference,decision_status,notes
modern:001,ethyl methyl carbonate,linear_or_fluorinated_carbonate,near_298_value_available_restricted,16825,Philippe (1955),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:002,"2,2,2-trifluoroethyl methyl carbonate",linear_or_fluorinated_carbonate,near_298_value_available_restricted,23429,Naejus (2002),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:003,"1,3-dioxolane",cyclic_ether,near_298_value_available_restricted,16335,Roy (2012),Wohlfarth (2015),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:004,"2,5-dimethyloxolane",other,near_298_value_available_restricted,17962,Ponomarenko (1995),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:005,2-methyloxolane,other,near_298_value_available_restricted,17347,Ponomarenko (1995),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:006,succinonitrile,nitrile,near_298_value_available_restricted,8191,Lafontaine (1958),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:007,glutaronitrile,nitrile,near_298_value_available_restricted,8257,Świergiel (2013),Wohlfarth (2015),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:008,propanenitrile,nitrile,near_298_value_available_restricted,16280,Vuks (1971),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:009,butanenitrile,nitrile,near_298_value_available_restricted,16706,Helambe (2000),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:010,pentanenitrile,nitrile,near_298_value_available_restricted,17279,Helambe (1995),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:011,hexanenitrile,nitrile,near_298_value_available_restricted,17891,Helambe (1995),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:012,octanenitrile,nitrile,near_298_value_available_restricted,8687,Helambe (1995),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:013,isobutyronitrile,nitrile,near_298_value_available_restricted,16707,James (1975),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:014,cyclopentanecarbonitrile,nitrile,near_298_value_available_restricted,17699,Philippe (1955),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:015,dimethyl sulfone,sulfone_or_sulfoxide,no_near_298_value,16082,,,primary_source_search_required,Restricted page exists but no near-room value was parsed.
modern:016,methyl propyl sulfone,sulfone_or_sulfoxide,near_298_value_available_restricted,23432,Kolosnitsyn (1991),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:017,methyl trifluoromethyl sulfone,sulfone_or_sulfoxide,near_298_value_available_restricted,16017,Egorov (1978),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:018,dipropyl sulfone,sulfone_or_sulfoxide,near_298_value_available_restricted,18164,Casteel (1974),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:019,dipropyl sulfoxide,other,near_298_value_available_restricted,18151,Casteel (1974),Wohlfahrt (1991),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:020,diethyl sulfoxide,other,near_298_value_available_restricted,16920,Markarian (2011),Wohlfarth (2015),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:021,butyl methyl sulfone,sulfone_or_sulfoxide,near_298_value_available_restricted,23451,Kolosnitsyn (1991),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:022,perfluorobutyl propyl ether,other,near_298_value_available_restricted,25270,Nakazawa (2001),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
modern:023,ethyl perfluoropentyl ether,other,near_298_value_available_restricted,25268,Nakazawa (2001),Wohlfarth (2008),primary_source_and_rights_review_required,Numeric value remains only in restricted storage.
