primary_reference,author_query,year,status,doi,title,container_title,matched_query
Casteel (1974),Casteel,1974,candidate_requires_manual_verification,10.1002/chin.197438079,"ChemInform Abstract: DIELECTRIC CONSTANTS, VISCOSITIES, AND RELATED PHYSICAL PROPERTIES OF 10 LIQUID SULFOXIDES AND SULFONES AT SEVERAL TEMPERATURES",Chemischer Informationsdienst,dielectric constant relative permittivity
Egorov (1978),Egorov,1978,candidate_requires_manual_verification,10.1007/bf00822813,"State special standard for the unit of relative dielectric constant for liquid, solid, and gaseous insulators in the range 1?10 GHz",Measurement Techniques,dielectric constant relative permittivity
Helambe (1995),Helambe,1995,candidate_requires_manual_verification,10.1007/bf02848094,A comparative dielectric relaxation study between hydrogen-and non-hydrogen-bonded liquids: Nitriles vs alcohols,Pramana,dielectric constant relative permittivity
Helambe (2000),Helambe,2000,candidate_requires_manual_verification,10.1016/s0167-7322(99)00190-7,Temperature dependent dielectric study of n-nitriles in methanol using time domain reflectometry,Journal of Molecular Liquids,dielectric constant relative permittivity
James (1975),James,1975,candidate_requires_manual_verification,10.1002/chin.197535023,ChemInform Abstract: THE RELATIVE DIELECTRIC CONSTANT OF TWO SEMICONDUCTOR PASSIVATION GLASSES,Chemischer Informationsdienst,dielectric constant relative permittivity
Kolosnitsyn (1991),Kolosnitsyn,1991,not_found,,,,
Lafontaine (1958),Lafontaine,1958,not_found,,,,
Marchionni (1999),Marchionni,1999,not_found,,,,
Markarian (2011),Markarian,2011,candidate_requires_manual_verification,10.1016/j.molliq.2011.06.016,Dielectric relaxation study of dipropylsulfoxide/water mixtures,Journal of Molecular Liquids,dielectric constant relative permittivity
Naejus (2002),Naejus,2002,not_found,,,,
Nakazawa (2001),Nakazawa,2001,not_found,,,,
Philippe (1955),Philippe,1955,not_found,,,,
Ponomarenko (1995),Ponomarenko,1995,candidate_requires_manual_verification,10.1016/1350-4487(95)00247-c,An automatic image analysis system for dielectric track detectors,Radiation Measurements,dielectric constant relative permittivity
Roy (2012),Roy,2012,candidate_requires_manual_verification,10.1002/9781119201564.ch3,Constant Maturity Credit Default Swaps,The Structured Credit Handbook,dielectric constant relative permittivity
Vuks (1971),Vuks,1971,candidate_requires_manual_verification,10.1007/bf00744527,"Dielectric polarization of unassociated and associated liquids, including water",Journal of Structural Chemistry,dielectric constant relative permittivity
Świergiel (2013),Świergiel,2013,candidate_requires_manual_verification,10.1021/je400149j,Relative Static Permittivity of Dimethyl Sulfoxide + Water Mixtures,Journal of Chemical &amp; Engineering Data,dielectric constant relative permittivity
