inchikey,smiles,name,T_K,dielectric,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_url,source_citation,source_table,source_quality,redistribution_status,notes
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,butanenitrile,298.15,22.0,0.2,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 22.0 (2); parenthetical uncertainty refers to the last digit
RFFFKMOABOFIDF-UHFFFAOYSA-N,CCCCC#N,pentanenitrile,298.15,21.0,0.2,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 21.0 (2); parenthetical uncertainty refers to the last digit
AILKHAQXUAOOFU-UHFFFAOYSA-N,CCCCCC#N,hexanenitrile,298.15,16.3,0.1,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 16.3 (1); parenthetical uncertainty refers to the last digit
YSIMAPNUZAVQER-UHFFFAOYSA-N,CCCCCCCC#N,octanenitrile,298.15,13.0,0.1,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 13.0 (1); parenthetical uncertainty refers to the last digit
HBZDPWBWBJMYRY-UHFFFAOYSA-N,CCCCCCCCCC#N,decanenitrile,298.15,10.6,0.1,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 10.6 (1); parenthetical uncertainty refers to the last digit
SZKKNEOUHLFYNA-UHFFFAOYSA-N,CCCCCCCCCCC#N,undecanenitrile,298.15,9.1,0.5,standard,,10.1007/BF02848094,https://link.springer.com/content/pdf/10.1007/BF02848094.pdf,Helambe et al. (1995) Pramana 45 19-24,Table 1,primary_experimental_public_pdf,allowed,Table value is 9.1 (5); parenthetical uncertainty refers to the last digit
CJSBUWDGPXGFGA-UHFFFAOYSA-N,C=CC=C(C)C,"4-methyl-1,3-pentadiene",298.15,2.60,,not_reported,,10.6028/nbs.circ.514,https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf,NBS Circular 514 (1951),page 27 row 009,public_domain_critical_compilation,public_domain,Pending v0.2 candidate promoted after independent source-page review
SDJHPPZKZZWAKF-UHFFFAOYSA-N,C=C(C)C(=C)C,"2,3-dimethyl-1,3-butadiene",298.15,2.10,,not_reported,,10.6028/nbs.circ.514,https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf,NBS Circular 514 (1951),page 27 row 010,public_domain_critical_compilation,public_domain,Pending v0.2 candidate promoted after independent source-page review
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C=CCCCCC,1-heptene,293.15,2.05,,not_reported,,10.6028/nbs.circ.514,https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf,NBS Circular 514 (1951),page 32 row 008,public_domain_critical_compilation,public_domain,Pending v0.2 candidate promoted after independent source-page review
BWEKDYGHDCHWEN-UHFFFAOYSA-N,CCCC=C(C)C,2-methyl-2-hexene,293.15,2.96,,not_reported,,10.6028/nbs.circ.514,https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf,NBS Circular 514 (1951),page 32 row 009,public_domain_critical_compilation,public_domain,Pending v0.2 candidate promoted after independent source-page review
