inchikey,smiles,name,T_K,dielectric,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_url,source_citation,source_table,source_quality,redistribution_status,source_license,license_url,redistribution_conditions,evidence_level,temperature_source,model_ready,conflict_status,notes
JBTWLSYIZRCDFO-UHFFFAOYSA-N,CCOC(=O)OC,ethyl methyl carbonate,298.15,2.96,,not_reported,,10.1002/smll.202504276,https://pmc.ncbi.nlm.nih.gov/articles/PMC12393036/,Senthil et al. (2025) Small 21 e202504276,Table 2,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,Cross-source public values are 2.90-3.00
WNXJIVFYUVYPPR-UHFFFAOYSA-N,C1COCO1,"1,3-dioxolane",298.15,7.3,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,true,,Another public review reports 7.1
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,tetrahydrofuran,298.15,7.5,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,true,,Another public table reports 7.6
JWUJQDFVADABEY-UHFFFAOYSA-N,CC1CCCO1,2-methyltetrahydrofuran,298.15,6.2,,not_reported,,10.1002/smtd.202400183,https://pmc.ncbi.nlm.nih.gov/articles/PMC11579579/,Yue et al. (2024) Small Methods 8 e2400183,Table 1,open_access_review_table,allowed,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,allowed_noncommercial_no_derivatives,open_access_review_table,review_table_standard_room_temperature,true,,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,CC1CCC(=O)O1,gamma-valerolactone,298.15,36.1,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,true,,
CWIFAKBLLXGZIC-UHFFFAOYSA-N,FC(F)C(F)(F)OCC(F)(F)F,"1,1,2,2-tetrafluoroethyl 2,2,2-trifluoroethyl ether",298.15,3.2,,not_reported,,10.1039/d5sc06221g,https://pmc.ncbi.nlm.nih.gov/articles/PMC12558406/,Karbak et al. (2025) Chemical Science 16 19398,Table 1,open_access_review_table,allowed,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
HCBRSIIGBBDDCD-UHFFFAOYSA-N,FC(F)C(F)(F)OCC(F)(F)C(F)F,"1,1,2,2-tetrafluoroethyl 2,2,3,3-tetrafluoropropyl ether",298.15,2.8,,not_reported,,10.1039/d5sc06221g,https://pmc.ncbi.nlm.nih.gov/articles/PMC12558406/,Karbak et al. (2025) Chemical Science 16 19398,Table 1,open_access_review_table,allowed,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
KGPPDNUWZNWPSI-UHFFFAOYSA-N,FC(F)(F)COCC(F)(F)F,"bis(2,2,2-trifluoroethyl) ether",298.15,2.5,,not_reported,,10.1039/d5sc06221g,https://pmc.ncbi.nlm.nih.gov/articles/PMC12558406/,Karbak et al. (2025) Chemical Science 16 19398,Table 1,open_access_review_table,allowed,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
VAYTZRYEBVHVLE-UHFFFAOYSA-N,O=c1occo1,vinylene carbonate,298.0,126,1.0,reported,,10.1039/j29660000005,https://doi.org/10.1039/j29660000005,Saadi & Lee (1966) J. Chem. Soc. B 5-6,Table 2,primary_experimental,allowed,,,,primary,reported,false,knovel_78_127_interval_contains_primary_value,"Dielectric constant 126 +/- 1.0 measured at 25 C (298.15 K); Saadi & Lee, J. Chem. Soc. B 1966, 5-6, Experimental section and Table 2. The stored 126 at 298.0 K is confirmed; the 0.15 K difference is inside the source's reporting precision. Flamme et al. 2017 Table 1 entry 26 repeats 126.0 while citing the same primary source ([47] Saadi & Lee 1966), so it is same-source repetition and not independent corroboration. The Knovel 78-127 range is a low-information compilation interval that contains the primary value."
RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,methyl propionate,298.15,6.2,,not_reported,,10.1039/d5sc06221g,https://pmc.ncbi.nlm.nih.gov/articles/PMC12558406/,Karbak et al. (2025) Chemical Science 16 19398,Table 1,open_access_review_table,allowed,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,conflict_open,
