source_id,inchikey,compound_name,formula,T_K,temperature_c,dielectric_observed,alpha_1e5,alpha_kind,valid_range_C,range_low_c,range_high_c,target_in_valid_range,correctability,implied_dielectric_slope,implied_slope_is_physical,dielectric_at_298_15,delta_epsilon,relative_delta_epsilon,in_frozen_v03
nbs514:p13:002,VZGDMQKNWNREIO-UHFFFAOYSA-N,Carbon tetrachloride,CCl4,293.15,20,2.238,200,a,"-10,60",-10,60,true,range_covers_target,-0.002,true,2.228,-0.01,-0.00446827524576,false
nbs514:p13:003,NYTOUQBROMCLBJ-UHFFFAOYSA-N,Tetranitromethane,CN4O8,298.15,25,2.521,,,,,,,no_coefficient,,,,,,false
nbs514:p13:004,QGJOPFRUJISHPQ-UHFFFAOYSA-N,Carbon disulfide,CS2,293.15,20,2.641,268,a,"-90,130",-90,130,true,range_covers_target,-0.00268,true,2.6276,-0.0134,-0.00507383566831,true
nbs514:p13:005,DIKBFYAXUHHXCS-UHFFFAOYSA-N,Bromoform,CHBr3,293.15,20,4.39,105,alpha,"10,70",10,70,true,range_covers_target,-0.0106137659862,true,4.33725064462,-0.0527493553781,-0.0120157984916,false
nbs514:p13:006,HEDRZPFGACZZDS-UHFFFAOYSA-N,Chloroform,CHCl3,293.15,20,4.806,160,alpha,"0,50",0,50,true,range_covers_target,-0.0177059583311,true,4.71828061415,-0.087719385846,-0.01825205698,false
nbs514:p13:007,LELOWRISYMNNSU-UHFFFAOYSA-N,Hydrocyanic acid,CHN,293.15,20,114.9,630,alpha,"18,26",18,26,true,range_covers_target,-1.66677227127,true,106.861195545,-8.03880445477,-0.069963485246,false
nbs514:p13:008,YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,CH2Cl2,293.15,20,9.08,,,"-80,25",-80,25,true,no_coefficient,,,,,,false
nbs514:p13:009,NZZFYRREKKOMAT-UHFFFAOYSA-N,Diiodomethane,CH2I2,298.15,25,5.32,,,,,,,no_coefficient,,,,,,false
nbs514:p13:011,INQOMBQAUSQDDS-UHFFFAOYSA-N,Iodomethane,CH3I,293.15,20,7,,,"-70,40",-70,40,true,no_coefficient,,,,,,false
nbs514:p13:013,LYGJENNIWJXYER-UHFFFAOYSA-N,Nitromethane,CH3NO2,303.15,30,35.87,189,alpha,"12,92",12,92,true,range_covers_target,-0.15610214457,true,36.659064385,0.789064385003,0.0219978919711,false
nbs514:p14:002,CTSLXHKWHWQRSH-UHFFFAOYSA-N,Oxalyl chloride,C2Cl2O2,294.15,21,3.47,,,,,,,no_coefficient,,,,,,false
