selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
1,true,true,,nbs514:p20:025,20,beta-Hydroxyethyl acetate (Glycol monoacetate),C4H8O3,13.0,30,303.15,three_figures,,,,261,,CC(=O)OCCO,HXDLWJWIAHWIKI-UHFFFAOYSA-N,C4H8O3,true,pubchem,Glycol monoacetate,0.000000,false,4,3,4,,,33.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
2,true,true,,nbs514:p32:005,32,Diethyl malonate,C7H12O4,8.03,25,298.15,three_figures,3000,a,25 to 30,"260,276 [7,27]",,CCOC(=O)CC(=O)OCC,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,C7H12O4,true,pubchem,Diethyl malonate,0.000000,false,7,4,3,,,27.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
3,true,true,,nbs514:p29:003,29,"beta-Ethoxyethyl acetate (""Cellosolve"" acetate)",C6H12O3,7.57,30,303.15,three_figures,3100,a,30 to 50,260,,CCOCCOC(C)=O,SVONRAPFKPVNKG-UHFFFAOYSA-N,C6H12O3,true,pubchem,beta-Ethoxyethyl acetate,0.000000,false,6,3,3,,,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
4,true,true,,nbs514:p18:009,18,Methyl acetate,C3H6O2,6.68,25,298.15,three_figures,2200.0,a,"25,40","63,260",,COC(C)=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,C3H6O2,true,pubchem,Methyl acetate,0.000000,false,3,2,3,,,26.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
5,true,true,,nbs514:p20:022,20,Ethyl acetate,C4H8O2,6.02,25,298.15,three_figures,1500.0,a,at 25,"8,63,276",,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,C4H8O2,true,pubchem,Ethyl acetate,0.000000,false,4,2,3,,,26.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
6,true,true,,nbs514:p28:016,28,Amyl formate,C6H12O2,6.49,25,298.15,three_figures,,,,160 [7],,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,C6H12O2,true,pubchem,Amyl formate,0.000000,false,6,2,3,,,26.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
7,true,true,,nbs514:p28:017,28,Butyl acetate,C6H12O2,5.01,20,293.15,three_figures,1400,a,20 to 40,"7,8,10,37,260",,CCCCOC(C)=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,C6H12O2,true,pubchem,Butyl acetate,0.000000,false,6,2,3,,,26.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
8,true,true,,nbs514:p28:018,28,Isobutyl acetate,C6H12O2,5.29,20,293.15,three_figures,1600,a,20,"7,8,10,57",,CC(=O)OCC(C)C,GJRQTCIYDGXPES-UHFFFAOYSA-N,C6H12O2,true,pubchem,Isobutyl acetate,0.000000,false,6,2,3,,,26.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
9,true,true,,nbs514:p19:003,19,2-Methoxyethanol,C3H8O2,16.0,30,303.15,three_figures,,,,261 [115],,COCCO,XNWFRZJHXBZDAG-UHFFFAOYSA-N,C3H8O2,true,pubchem,2-Methoxyethanol,0.000000,false,3,2,2,,,19.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
10,true,true,,nbs514:p29:002,29,4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),C6H12O2,18.2,25,298.15,three_figures,,,,115,,CC(=O)CC(C)(C)O,SWXVUIWOUIDPGS-UHFFFAOYSA-N,C6H12O2,true,pubchem,Diacetone alcohol,0.000000,false,6,2,2,,,19.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
