doi,openalex_id,title,publication_year,type,host_venue,openalex_is_oa,unpaywall_is_oa,unpaywall_oa_status,oa_url,oa_host_type,oa_version,license,journal_is_oa,published_date,query_label,matched_known_names,is_new_lead
10.3390/app14020495,https://openalex.org/W4390618288,Saturated Boiling Enhancement of Novec-7100 on Microgrooved Surfaces with Groove-Induced Anisotropic Properties,2024,article,Applied Sciences,True,True,gold,https://www.mdpi.com/2076-3417/14/2/495/pdf?version=1704460575,publisher,publishedVersion,cc-by,True,2024-01-05,fluorinated_ethers,,True
10.1088/1742-6596/2685/1/012064,https://openalex.org/W4391434552,Pool boiling performances comparison of FC-72 and Novec 649 in the presence of a DC electric field,2024,conference-paper,Journal of Physics Conference Series,True,True,gold,https://doi.org/10.1088/1742-6596/2685/1/012064,publisher,publishedVersion,cc-by,True,2024-01-01,fluorinated_ethers,,True
10.1063/5.0230695,https://openalex.org/W4403984282,"A comprehensive molecular dynamics simulation of plastic and liquid succinonitrile: Structural, dynamic, and dielectric properties",2024,article,The Journal of Chemical Physics,True,True,hybrid,https://doi.org/10.1063/5.0230695,publisher,publishedVersion,cc-by,False,2024-11-01,dinitriles,succinonitrile,False
10.1002/app.56331,https://openalex.org/W4403216731,"Effect of succinonitrile on the structural, ion conductivity, and dielectric properties of PVDF ‐ HFP based solid polymer electrolytes",2024,article,Journal of Applied Polymer Science,True,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.56331,publisher,publishedVersion,,False,2024-10-08,dinitriles,succinonitrile,False
10.1002/anie.202416091,https://openalex.org/W4403295780,Fast Collective Hydrogen‐Bond Dynamics in Hexafluoroisopropanol Related to its Chemical Activity,2024,article,Angewandte Chemie International Edition,True,True,hybrid,https://doi.org/10.1002/anie.202416091,publisher,publishedVersion,cc-by,False,2024-10-10,fluorinated_alcohols,,True
10.1039/d2cp05799a,https://openalex.org/W4327653330,"Paddle-wheel mechanism in doped succinonitrile–glutaronitrile plastic electrolyte: a joint magnetic resonance, dielectric, and viscosimetry study of Li ion translational and molecular reorientational dynamics",2023,article,Physical Chemistry Chemical Physics,True,True,hybrid,https://pubs.rsc.org/en/content/articlepdf/2023/cp/d2cp05799a,publisher,publishedVersion,cc-by,False,2023-01-01,dinitriles,glutaronitrile;succinonitrile,False
10.1016/j.applthermaleng.2023.121803,https://openalex.org/W4387824457,Enhanced nucleate boiling of Novec 649 on thin metal foils via laser-induced periodic surface structures,2023,article,Applied Thermal Engineering,True,True,hybrid,https://doi.org/10.1016/j.applthermaleng.2023.121803,publisher,publishedVersion,cc-by-nc-nd,False,2023-10-20,fluorinated_ethers,,True
10.1039/d2cp03200g,https://openalex.org/W4293105080,Investigating the abnormal conductivity behaviour of divalent cations in low dielectric constant tetraglyme-based electrolytes,2022,article,Physical Chemistry Chemical Physics,True,True,hybrid,https://pubs.rsc.org/en/content/articlepdf/2022/cp/d2cp03200g,publisher,publishedVersion,cc-by-nc,False,2022-01-01,glymes,,True
10.1021/jacs.2c07103,https://openalex.org/W4306409431,Why Do Sulfone-Containing Polymer Photocatalysts Work So Well for Sacrificial Hydrogen Evolution from Water?,2022,article,Journal of the American Chemical Society,True,True,hybrid,https://doi.org/10.1021/jacs.2c07103,publisher,publishedVersion,cc-by,False,2022-10-17,sulfones,,True
10.1021/acsenergylett.2c02003,https://openalex.org/W4311398490,"Exploiting the Steric Effect and Low Dielectric Constant of 1,2-Dimethoxypropane for 4.3 V Lithium Metal Batteries",2022,article,ACS Energy Letters,True,True,green,https://zenodo.org/record/7801393,repository,submittedVersion,cc-by,False,2022-12-04,glymes,,True
10.1016/j.nocx.2022.100097,https://openalex.org/W4223975082,Deuteron nuclear magnetic resonance and dielectric studies of molecular reorientation and charge transport in succinonitrile-glutaronitrile plastic crystals,2022,article,Journal of Non-Crystalline Solids X,True,True,hybrid,https://www.sciencedirect.com/science/article/pii/S2590159122000176/pdf,publisher,publishedVersion,cc-by,False,2022-04-13,dinitriles,glutaronitrile;succinonitrile,False
10.1002/eem2.12494,https://openalex.org/W4290802369,Solvation Effects on the Dielectric Constant of 1 M LiPF6 in Ethylene Carbonate: Ethyl Methyl Carbonate 3:7,2022,article,Energy & environment materials,True,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12494,publisher,publishedVersion,cc-by,False,2022-08-11,modern_carbonates_and_esters,ethyl methyl carbonate;ethylene carbonate,False
10.3390/nano11123216,https://openalex.org/W3216540570,"Hydrophilic and Hydrophobic Nanostructured Copper Surfaces for Efficient Pool Boiling Heat Transfer with Water, Water/Butanol Mixtures and Novec 649",2021,article,Nanomaterials,True,True,gold,https://www.mdpi.com/2079-4991/11/12/3216/pdf?version=1638350429,publisher,publishedVersion,cc-by,True,2021-11-26,fluorinated_ethers,,True
10.1063/5.0046073,https://openalex.org/W3160766932,Effect of anion identity on ion association and dynamics of sodium ions in non-aqueous glyme based electrolytes—OTf vs TFSI,2021,article,The Journal of Chemical Physics,True,True,green,https://digitalcommons.lsu.edu/chemistry_pubs/3452,repository,submittedVersion,,False,2021-05-12,glymes,,True
