inchikey,pubchem_cid,pubchem_version,record_name,formula,molecular_mass,charge,multiplicity,source_dataset,source_level,source_license,source_doi,homo_eV,lumo_eV,gap_eV,homo_beta_eV,lumo_beta_eV,dipole_debye,unit_check,structure_check,tags,in_key_registry,in_batt_orbit_pool,in_epsilon_roster,in_viscosity_roster,in_viscosity_sample,in_calibration_sample,batt_homo_eV,batt_lumo_eV,batt_minus_pubchemqc_homo_eV,batt_minus_pubchemqc_lumo_eV,calib_homo_eV,calib_lumo_eV,calibration_id,role
ABLZXFCXXLZCGV-UHFFFAOYSA-N,407,20160829,000000407.B3LYP@PM6.S0,H3O3P,81.995781,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-8.002868,0.680285,8.683153,-8.002868,0.680285,1.694846,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.944328,,linear_2fold_v1,calibrated_estimate
ADVPTQAUNPRNPO-UHFFFAOYSA-N,109,20160829,000000109.B3LYP@PM6.S0,C3H7NO4S,153.156980,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.922576,-0.848995,6.073581,-6.922576,-0.848995,3.648230,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.849722,,linear_2fold_v1,calibrated_estimate
AEMOLEFTQBMNLQ-UHFFFAOYSA-N,610,20160829,000000610.B3LYP@PM6.S0,C6H10O7,194.139400,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.159315,-0.073471,7.085845,-7.159315,-0.073471,4.593163,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.089598,,linear_2fold_v1,calibrated_estimate
AFBPFSWMIHJQDM-UHFFFAOYSA-N,7515,20160829,000007515.B3LYP@PM6.S0,C7H9N,107.153060,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.240913,0.244902,5.485815,-5.240913,0.244902,1.622855,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;named_solvent;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,true,true,true,false,,,,,-8.145775,,linear_2fold_v1,calibrated_estimate
AGQJQCFEPUVXNK-UHFFFAOYSA-N,217,20160829,000000217.B3LYP@PM6.S0,C6H11N3O7P2,299.114962,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.470867,-0.990494,5.480373,-6.470867,-0.990494,0.894279,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.392027,,linear_2fold_v1,calibrated_estimate
AHCYMLUZIRLXAA-UHFFFAOYSA-N,689,20160829,000000689.B3LYP@PM6.S0,C9H15N2O14P3,468.141683,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.729376,-1.238118,5.491258,-6.729376,-1.238118,2.895989,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.653962,,linear_2fold_v1,calibrated_estimate
AHLPHDHHMVZTML-UHFFFAOYSA-N,389,20160829,000000389.B3LYP@PM6.S0,C5H12N2O2,132.160980,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.223244,0.808178,7.031422,-6.223244,0.808178,6.028768,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.141123,,linear_2fold_v1,calibrated_estimate
AHMIDUVKSGCHAU-UHFFFAOYSA-N,682,20160829,000000682.B3LYP@PM6.S0,C9H9NO4,195.172060,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.889923,-3.668095,3.221828,-6.889923,-3.668095,4.561738,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.816636,,linear_2fold_v1,calibrated_estimate
AILKHAQXUAOOFU-UHFFFAOYSA-N,12352,20160829,000012352.B3LYP@PM6.S0,C6H11N,97.158240,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-8.509000,1.031311,9.540312,-8.509000,1.031311,4.158225,dataset_level_eV,inchikey_match_target,batt_orbit_pool;epsilon_roster;key_registry;targeted_harvest,true,true,true,false,false,false,-11.288900,1.826900,-2.779900,0.795589,,,,paired_anchor
AJPADPZSRRUGHI-UHFFFAOYSA-N,641,20160829,000000641.B3LYP@PM6.S0,C5H11O7P,214.110401,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.993326,-0.663958,6.329368,-6.993326,-0.663958,0.645725,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.921409,,linear_2fold_v1,calibrated_estimate
AJPXTSMULZANCB-UHFFFAOYSA-N,301,20160829,000000301.B3LYP@PM6.S0,C6H5ClO2,144.555700,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.553844,-0.394565,5.159279,-5.553844,-0.394565,1.597216,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.462853,,linear_2fold_v1,calibrated_estimate
AKOAEVOSDHIVFX-UHFFFAOYSA-N,446,20160829,000000446.B3LYP@PM6.S0,C13H18ClNO2,255.740520,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.190590,-1.341521,4.849069,-6.190590,-1.341521,2.231150,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.108036,,linear_2fold_v1,calibrated_estimate
ALQSHHUCVQOPAS-UHFFFAOYSA-N,8105,20160829,000008105.B3LYP@PM6.S0,C5H12O2,104.147580,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.911692,1.902076,8.813768,-6.911692,1.902076,2.258646,dataset_level_eV,inchikey_match_target,key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,false,true,true,false,,,,,-9.838693,,linear_2fold_v1,calibrated_estimate
AMDDRMIFTJHJGD-UHFFFAOYSA-N,384,20160829,000000384.B3LYP@PM6.S0,C8H15NO4,189.209000,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.181085,-0.326537,6.854548,-7.181085,-0.326537,1.839221,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.111656,,linear_2fold_v1,calibrated_estimate
AMQJEAYHLZJPGS-UHFFFAOYSA-N,6276,20160829,000006276.B3LYP@PM6.S0,C5H12O,88.148180,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.933461,2.108882,9.042343,-6.933461,2.108882,1.721850,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest;viscosity_roster,true,false,true,true,false,false,,,,,-9.860751,,linear_2fold_v1,calibrated_estimate
APIQNBNBIICCON-UHFFFAOYSA-N,349,20160829,000000349.B3LYP@PM6.S0,C6H10O6,178.140000,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.042306,-1.360569,5.681737,-7.042306,-1.360569,2.396803,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.971038,,linear_2fold_v1,calibrated_estimate
APPOKADJQUIAHP-UHFFFAOYSA-N,11600,20160829,000011600.B3LYP@PM6.S0,C6H10,82.143600,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.594661,-0.247624,5.347037,-5.594661,-0.247624,0.080136,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest,true,false,true,false,false,false,,,,,-8.504211,,linear_2fold_v1,calibrated_estimate
APWDZEIBFNZVND-UHFFFAOYSA-N,376,20160829,000000376.B3LYP@PM6.S0,C6H10O4,146.141200,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.525290,-0.519737,6.005553,-6.525290,-0.519737,3.420686,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.447171,,linear_2fold_v1,calibrated_estimate
ARBHXJXXVVHMET-UHFFFAOYSA-N,558,20160829,000000558.B3LYP@PM6.S0,C6H11N3O3,173.169840,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.853169,-2.612293,3.240876,-5.853169,-2.612293,2.709563,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.766144,,linear_2fold_v1,calibrated_estimate
ASBJGPTTYPEMLP-UHFFFAOYSA-N,78,20160829,000000078.B3LYP@PM6.S0,C3H6ClNO2,123.538240,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.045028,-0.108846,6.936182,-7.045028,-0.108846,2.704174,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.973796,,linear_2fold_v1,calibrated_estimate
ASCFNMCAHFUBCO-UHFFFAOYSA-N,529,20160829,000000529.B3LYP@PM6.S0,C2H5O6P,156.031261,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.706264,-0.908860,6.797404,-7.706264,-0.908860,5.475326,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.643794,,linear_2fold_v1,calibrated_estimate
ATZKAUGGNMSCCY-UHFFFAOYSA-N,468,20160829,000000468.B3LYP@PM6.S0,C30H52O7P2,586.677202,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.883101,-0.027211,5.855890,-5.883101,-0.027211,3.648036,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.796473,,linear_2fold_v1,calibrated_estimate
AUFGTPPARQZWDO-UHFFFAOYSA-N,10,20160829,000000010.B3LYP@PM6.S0,C20H23N7O7,473.439320,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.409623,-0.819063,4.590561,-5.409623,-0.819063,13.193349,verified_eV_audited,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.316721,,linear_2fold_v1,calibrated_estimate
AUTOLBMXDDTRRT-UHFFFAOYSA-N,643,20160829,000000643.B3LYP@PM6.S0,C10H18N2O3,214.261520,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.457262,0.092519,6.549780,-6.457262,0.092519,6.365776,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.378242,,linear_2fold_v1,calibrated_estimate
AYFVYJQAPQTCCC-UHFFFAOYSA-N,205,20160829,000000205.B3LYP@PM6.S0,C4H9NO3,119.119160,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.383791,0.421776,6.805567,-6.383791,0.421776,4.875799,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.303797,,linear_2fold_v1,calibrated_estimate
AYFXPGXAZMFWNH-UHFFFAOYSA-N,120,20160829,000000120.B3LYP@PM6.S0,C6H4O4,140.093560,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.562044,-3.235434,4.326610,-7.562044,-3.235434,6.389054,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.497663,,linear_2fold_v1,calibrated_estimate
AYNPIRVEWMUJDE-UHFFFAOYSA-N,65,20160829,000000065.B3LYP@PM6.S0,C6H4Cl2O2,179.000760,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.760650,-0.693890,5.066760,-5.760650,-0.693890,0.000026,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.672399,,linear_2fold_v1,calibrated_estimate
AZSFNUJOCKMOGB-UHFFFAOYSA-N,510,20160829,000000510.B3LYP@PM6.S0,H3O9P3,239.939703,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-9.162073,-0.971446,8.190627,-9.162073,-0.971446,2.063292,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-12.118894,,linear_2fold_v1,calibrated_estimate
BAPJBEWLBFYGME-UHFFFAOYSA-N,7294,20160829,000007294.B3LYP@PM6.S0,C4H6O2,86.089240,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.412381,-1.254445,6.157936,-7.412381,-1.254445,1.496179,dataset_level_eV,inchikey_match_target,batt_orbit_pool;epsilon_roster;key_registry;targeted_harvest;viscosity_roster,true,true,true,true,false,false,-10.590300,0.923600,-3.177919,2.178045,,,,paired_anchor
BBMCTIGTTCKYKF-UHFFFAOYSA-N,8129,20160829,000008129.B3LYP@PM6.S0,C7H16O,116.201340,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.903528,2.114325,9.017853,-6.903528,2.114325,1.736071,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,true,true,true,false,,,,,-9.830421,,linear_2fold_v1,calibrated_estimate
BBNHNZGTKSWIHD-UHFFFAOYSA-N,415,20160829,000000415.B3LYP@PM6.S0,C10H12N2O2,192.214480,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.748423,-0.889812,5.858611,-6.748423,-0.889812,1.326076,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.673261,,linear_2fold_v1,calibrated_estimate
BCDGQXUMWHRQCB-UHFFFAOYSA-N,215,20160829,000000215.B3LYP@PM6.S0,C3H7NO,73.093780,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.315762,-0.440824,5.874938,-6.315762,-0.440824,2.076077,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.234867,,linear_2fold_v1,calibrated_estimate
BDAGIHXWWSANSR-UHFFFAOYSA-N,284,20160829,000000284.B3LYP@PM6.S0,CH2O2,46.025380,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.891302,-0.171432,7.719870,-7.891302,-0.171432,3.929885,dataset_level_eV,inchikey_from_pubchem_cid,key_registry;viscosity_roster,true,false,false,true,false,false,,,,,-10.831284,,linear_2fold_v1,calibrated_estimate
BDERNNFJNOPAEC-UHFFFAOYSA-N,1031,20160829,000001031.B3LYP@PM6.S0,C3H8O,60.095020,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.998768,2.100719,9.099487,-6.998768,2.100719,1.690284,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,true,true,true,false,,,,,-9.926923,,linear_2fold_v1,calibrated_estimate
BDUIIKXSXFDPEC-UHFFFAOYSA-N,393,20160829,000000393.B3LYP@PM6.S0,C6H11O10P,274.119301,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.960672,-1.681664,5.279009,-6.960672,-1.681664,3.048072,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.888322,,linear_2fold_v1,calibrated_estimate
BEDUQUWHWOZQNJ-UHFFFAOYSA-N,503,20160829,000000503.B3LYP@PM6.S0,C3H7N3O2,117.106580,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.359301,-0.163268,6.196032,-6.359301,-0.163268,4.542784,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.278983,,linear_2fold_v1,calibrated_estimate
BFSVOASYOCHEOV-UHFFFAOYSA-N,7497,20160829,000007497.B3LYP@PM6.S0,C6H15NO,117.189400,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.893986,2.065344,7.959330,-5.893986,2.065344,2.497745,dataset_level_eV,inchikey_match_target,key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,false,true,true,false,,,,,-8.807502,,linear_2fold_v1,calibrated_estimate
BGTOWKSIORTVQH-UHFFFAOYSA-N,8452,20160829,000008452.B3LYP@PM6.S0,C5H8O,84.116420,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.440935,-0.478920,5.962014,-6.440935,-0.478920,2.845033,dataset_level_eV,inchikey_match_target,batt_orbit_pool;epsilon_roster;key_registry;targeted_harvest;viscosity_roster,true,true,true,true,false,false,-9.378800,1.721700,-2.937865,2.200620,,,,paired_anchor
BHQCQFFYRZLCQQ-UHFFFAOYSA-N,303,20160829,000000303.B3LYP@PM6.S0,C24H40O5,408.571400,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.533454,-0.380959,6.152494,-6.533454,-0.380959,5.288775,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-9.455444,,linear_2fold_v1,calibrated_estimate
BHXIWUJLHYHGSJ-UHFFFAOYSA-N,12989,20160829,000012989.B3LYP@PM6.S0,C7H14O3,146.184260,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.859990,0.282998,7.142989,-6.859990,0.282998,0.541481,dataset_level_eV,inchikey_match_target,key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,false,true,true,false,,,,,-9.786306,,linear_2fold_v1,calibrated_estimate
BIRSGZKFKXLSJQ-UHFFFAOYSA-N,422,20160829,000000422.B3LYP@PM6.S0,C6H13O10P,276.135181,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.200132,-0.465315,6.734818,-7.200132,-0.465315,1.057359,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.130956,,linear_2fold_v1,calibrated_estimate
BITYXLXUCSKTJS-UHFFFAOYSA-N,77,20160829,000000077.B3LYP@PM6.S0,C7H12O5,176.167180,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.213738,-0.511574,6.702164,-7.213738,-0.511574,5.540855,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.144742,,linear_2fold_v1,calibrated_estimate
BJEPYKJPYRNKOW-UHFFFAOYSA-N,525,20160829,000000525.B3LYP@PM6.S0,C4H6O5,134.087440,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.635515,-0.857159,6.778356,-7.635515,-0.857159,4.827578,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.572108,,linear_2fold_v1,calibrated_estimate
BJRNKVDFDLYUGJ-UHFFFAOYSA-N,346,20160829,000000346.B3LYP@PM6.S0,C12H16O7,272.251240,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-5.948409,-0.503411,5.444998,-5.948409,-0.503411,2.757079,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.862646,,linear_2fold_v1,calibrated_estimate
BKAJNAXTPSGJCU-UHFFFAOYSA-N,70,20160829,000000070.B3LYP@PM6.S0,C6H10O3,130.141800,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.213738,-2.323852,4.889886,-7.213738,-2.323852,2.839320,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-10.144742,,linear_2fold_v1,calibrated_estimate
BKIMMITUMNQMOS-UHFFFAOYSA-N,8141,20160829,000008141.B3LYP@PM6.S0,C9H20,128.255100,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-7.703543,2.446304,10.149847,-7.703543,2.446304,0.044491,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest;viscosity_roster;viscosity_roster_sample,true,false,true,true,true,false,,,,,-10.641037,,linear_2fold_v1,calibrated_estimate
BMRWNKZVCUKKSR-UHFFFAOYSA-N,11429,20160829,000011429.B3LYP@PM6.S0,C4H10O2,90.121000,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.876317,1.785067,8.661384,-6.876317,1.785067,2.389044,dataset_level_eV,inchikey_match_target,epsilon_roster;key_registry;targeted_harvest;viscosity_roster,true,false,true,true,false,false,,,,,-9.802850,,linear_2fold_v1,calibrated_estimate
BOQRPPFUUSHFGW-UHFFFAOYSA-N,432,20160829,000000432.B3LYP@PM6.S0,C10H14N2O,178.230960,0,1,molssiai-hub/pubchemqc-b3lyp,B3LYP/6-31G*//PM6 (gas phase),CC BY 4.0,10.1021/acs.jcim.3c00899,-6.000110,-0.639468,5.360643,-6.000110,-0.639468,3.952985,dataset_level_eV,inchikey_from_pubchem_cid,,false,false,false,false,false,false,,,,,-8.915032,,linear_2fold_v1,calibrated_estimate
