inchikey,name,smiles,canonical_smiles,structure_check,in_epsilon_roster,epsilon,in_anchor_roster,themol_uuid,themol_h5_file,natoms,geometry_sha256,source_dataset,source_level,source_license,xtb_version,unit_check,homo_gfn2_eV,lumo_gfn2_eV,gap_gfn2_eV,batt_homo_eV,batt_lumo_eV,batt_gap_eV,pubchemqc_homo_eV,pubchemqc_lumo_eV,gfn2_minus_batt_homo_eV,gfn2_minus_batt_lumo_eV,gfn2_minus_batt_gap_eV,gfn2_minus_pubchemqc_homo_eV,gfn2_minus_pubchemqc_lumo_eV,calib_homo_eV,calib_lumo_eV,calibration_id,role
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,CNc1ccccc1,inchikey_match,true,5.878,false,81d565d41019560f87882fee18ea44cb,hessian_44.h5,17,21524f498f880dddd60e65f4b408ffe591d3b236b7e83c90bf94d5ce43193909,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-9.5096,-5.7718,3.737800000000001,,,,-5.240913,0.244902,,,,-4.268687000000001,-6.0167019999999996,,,,uncalibrated_reference
APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",CC=CC=CC,CC=CC=CC,inchikey_match,true,2.22,false,708ea892960755129db119f24f1efcd0,hessian_15.h5,16,61c26d6d0f94c3ce03024fec31f5165eded05e128a120788d55ee421ab80de70,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.0768,-6.1108,3.966,,,,-5.594661,-0.247624,,,,-4.482139,-5.863176,,,,uncalibrated_reference
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,C=CC(=O)OC,inchikey_match,true,7.021,true,08080e09d6e156b7b6d8679b091beb0f,hessian_45.h5,12,ab9dc3017bd646e21b7e9b413971c31e924b47ba04b38b0f84514d3d7400b571,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.366,-7.6524,3.7135999999999996,-10.5902996063,0.923600018024,11.513899624324,-7.412381,-1.254445,-0.7757003936999993,-8.576000018024,-7.800299624324001,-3.9536189999999998,-6.397955,,,,paired_anchor
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,CCCO,inchikey_match,true,21.3,false,4004d265a56554a2b65500291ee9a1c1,hessian_44.h5,12,5a95aaf80849313ebafb4e36b3eda7fe203a5d0de747f050181d1c579156d963,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.1608,1.0219,12.1827,,,,-6.998768,2.100719,,,,-4.162032,-1.0788189999999998,,,,uncalibrated_reference
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,O=C1CCCC1,inchikey_match,true,13.505,true,d01c118329d858f98cb1e0d220d50f55,hessian_11.h5,14,672914ef568547c7ce694fa3695b582a7c6dd84563cbb1a4e841c498dabf8e1b,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.7337,-6.8397,3.894000000000001,-9.37880039215,1.72169995308,11.10050034523,-6.440935,-0.47892,-1.354899607850001,-8.561399953079999,-7.2065003452299985,-4.292765000000001,-6.36078,,,,paired_anchor
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,CCC(C)O,inchikey_match,true,16.6,false,465f6290e20656448c7677917cf7867d,hessian_45.h5,15,ad7bcb7246a1aa569df8431c1e6dfe626e264980ec6b7b85b63ac45d9fddc877,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.9906,0.5835,11.574100000000001,,,,-7.045028,2.03269,,,,-3.9455720000000003,-1.4491900000000002,,,,uncalibrated_reference
BTQZKHUEUDPRST-UHFFFAOYSA-N,m-Fluorotoluene,Cc1cccc(F)c1,Cc1cccc(F)c1,inchikey_match,true,5.42,false,bfa7b4c11a5e5f388701142283b82fb2,hessian_44.h5,15,f030b3ddc764b7537b110360a3e718d1dc947b518b8f91f705ccb31c5adc9a84,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.9493,-6.4706,4.478699999999999,,,,-6.378349,-0.100682,,,,-4.570950999999999,-6.369918,,,,uncalibrated_reference
BWEKDYGHDCHWEN-UHFFFAOYSA-N,2-methyl-2-hexene,CCCC=C(C)C,CCCC=C(C)C,inchikey_match,true,2.96,false,30928f0de7095783898562786854d7fa,hessian_18.h5,21,5a8f59fb289dacd2cb87923a97ff111bd8ee71d6500943228aff0980605eaad9,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.1027,-5.1692,4.9335,,,,-6.09535,0.976889,,,,-4.007350000000001,-6.146089,,,,uncalibrated_reference
BZLVMXJERCGZMT-UHFFFAOYSA-N,2-methoxy-2-methylpropane,COC(C)(C)C,COC(C)(C)C,inchikey_match,false,,true,09dc40054e705bb0a048f584a6680c7b,hessian_4.h5,18,29801fc644553c283848492b1b3f37dc4c149d4f78fcb61ff438e49bf9053f38,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.5877,0.1137,10.7014,-9.63659954071,1.6753000021,11.31189954281,-6.604203,2.217728,-0.9511004592900001,-1.5616000021,-0.6104995428100004,-3.983497,-2.104028,,,,paired_anchor
CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,CC(C)(N)CO,CC(C)(N)CO,inchikey_match,true,20.59,false,62c3420236a25efe92bdaaccf7f9c526,hessian_15.h5,17,bb08708ec7b5b23be244e5596ba19f7b8eee5d1cf35c6371813e76d8c0078c72,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-9.8257,0.4609,10.2866,,,,-6.481752,1.776903,,,,-3.3439479999999993,-1.3160029999999998,,,,uncalibrated_reference
