label,inchikey,cas,xml_files_scanned,xml_files_mentioning_inchikey,xml_files_mentioning_cas,xml_files_mentioning_alias,xml_files_with_permittivity_text,extracted_observations,extracted_pure_observations,extracted_zero_frequency_observations,locally_supported,verdict
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,242,26,1,26,0,0,0,0,false,mentioned_only_in_non_dielectric_studies
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,242,11,1,30,0,0,0,0,false,mentioned_only_in_non_dielectric_studies
vinylene carbonate,VAYTZRYEBVHVLE-UHFFFAOYSA-N,872-36-6,242,0,0,0,0,0,0,0,false,absent_from_local_corpus
fluoroethylene carbonate,SBLRHMKNNHXPHG-UHFFFAOYSA-N,114435-02-8,242,0,0,0,0,0,0,0,false,absent_from_local_corpus
3-methoxypropionitrile,OOWFYDWAMOKVSF-UHFFFAOYSA-N,110-67-8,242,1,0,1,0,0,0,0,false,mentioned_only_in_non_dielectric_studies
diglyme,SBZXBUIDTXKZTM-UHFFFAOYSA-N,111-96-6,242,2,0,2,2,108,9,108,true,locally_supported
triglyme,YFNKIDBQEZZDLK-UHFFFAOYSA-N,112-49-2,242,3,0,3,3,312,15,151,true,locally_supported
tetraglyme,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,143-24-8,242,4,0,4,4,346,11,172,true,locally_supported
adiponitrile,BTGRAWJCKBQKAO-UHFFFAOYSA-N,111-69-3,242,1,0,1,1,31,31,31,true,locally_supported
glutaronitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N,544-13-8,242,1,0,1,1,31,31,31,true,locally_supported
