source_file,url,doi,retrieved_at,http_status,etag,last_modified,sha256,size_bytes,source_batch,dielectric_row_count
data/raw/thermoml/10.1007__s10765-008-0395-z-6bf8687d669d.xml,https://trc.nist.gov/ThermoML/10.1007/s10765-008-0395-z.xml,10.1007/s10765-008-0395-z,2026-09-22T06:38:49Z,200,"W/""1325c-618ff11863880-gzip""","Tue, 21 May 2024 23:20:50 GMT",61d80a57c32e4bc19e1892a48532c9d6cabf63bee1e5e5a8e8a028edc0eb70cb,78428,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1007__s10765-011-1086-8-2162c823dcc2.xml,https://trc.nist.gov/ThermoML/10.1007/s10765-011-1086-8.xml,10.1007/s10765-011-1086-8,2026-09-22T06:38:00Z,200,"W/""285a1-618ff11863880-gzip""","Tue, 21 May 2024 23:20:50 GMT",695a4b41e73ad0efe8a4d1e1a434a4bdc3afd373d784061ca1ef42598e77f293,165281,live NIST dielectric/permittivity API union,164
data/raw/thermoml/10.1016__j.fluid.2006.03.009-2a423d8de155.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2006.03.009.xml,10.1016/j.fluid.2006.03.009,2026-09-22T08:15:13Z,200,"W/""21fb2-618ff0a7daf00-gzip""","Tue, 21 May 2024 23:18:52 GMT",3b09a9dbb385f66c3cc3803fa4225414eab1035408ef0d62197f7201a68d7798,139186,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2006.04.016-14e2cd066e7b.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2006.04.016.xml,10.1016/j.fluid.2006.04.016,2026-09-22T06:38:36Z,200,"W/""30403-618ff0a7daf00-gzip""","Tue, 21 May 2024 23:18:52 GMT",266492e0c4b08c8906ac49dc0c7dbe9d4f6a52aab646c4b13328a88c633c1cd3,197635,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2007.03.008-f667feedc003.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2007.03.008.xml,10.1016/j.fluid.2007.03.008,2026-09-22T06:38:19Z,200,"W/""5157-618ff0a8cf140-gzip""","Tue, 21 May 2024 23:18:53 GMT",d29eccadbe0f893ed9f0e33847dfb7ce02d430de065366d93a494a11187506a9,20823,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2007.07.076-fe9873928fd4.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2007.07.076.xml,10.1016/j.fluid.2007.07.076,2026-09-22T08:15:17Z,200,"W/""93c0-618ff0a8cf140-gzip""","Tue, 21 May 2024 23:18:53 GMT",ef05290495263d65479449cbcb5bf3f1a4f9921bbf47ddfe2c8dec77fe935298,37824,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2007.09.009-26ff4749ff64.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2007.09.009.xml,10.1016/j.fluid.2007.09.009,2026-09-22T06:41:49Z,200,"W/""1be36-618ff0a8cf140-gzip""","Tue, 21 May 2024 23:18:53 GMT",124b48f25f760d64a9f1f8ee3e9dac03bc67f18ee8658934daa38d4b3787c783,114230,live NIST dielectric/permittivity API union,57
data/raw/thermoml/10.1016__j.fluid.2008.01.024-9bbad5adbcd7.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.01.024.xml,10.1016/j.fluid.2008.01.024,2026-09-22T06:37:44Z,200,"W/""1304f-618ff0a9c3380-gzip""","Tue, 21 May 2024 23:18:54 GMT",f06614464b5a948250383173ba7ceab13b0afb2eff3868918c66075085af7132,77903,live NIST dielectric/permittivity API union,86
data/raw/thermoml/10.1016__j.fluid.2008.03.013-b56e5e152250.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.03.013.xml,10.1016/j.fluid.2008.03.013,2026-09-22T08:15:04Z,200,"W/""f569-618ff0a9c3380-gzip""","Tue, 21 May 2024 23:18:54 GMT",c81e2640ede669d90a9a1c7103df2c14cad812f06076a098f8bff007366a6824,62825,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2008.09.022-10ef30835c1e.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.09.022.xml,10.1016/j.fluid.2008.09.022,2026-09-22T06:38:11Z,200,"W/""161b8-618ff0a9c3380-gzip""","Tue, 21 May 2024 23:18:54 GMT",71b37d9f368c77a01175f3d10e9d77aad30b52a059c57e8ba2b777d553a3faf3,90552,live NIST dielectric/permittivity API union,126
data/raw/thermoml/10.1016__j.fluid.2009.07.009-fb420ceae3a5.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2009.07.009.xml,10.1016/j.fluid.2009.07.009,2026-09-22T06:37:48Z,200,"W/""6888-618ff0aab75c0-gzip""","Tue, 21 May 2024 23:18:55 GMT",a96afcc9260bee25a9c6b24a01cacae615b23ef3c98b59c17101cddb13433382,26760,live NIST dielectric/permittivity API union,7
data/raw/thermoml/10.1016__j.fluid.2009.12.006-0c9513ee7780.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2009.12.006.xml,10.1016/j.fluid.2009.12.006,2026-09-22T08:14:59Z,200,"W/""c12a-618ff0aab75c0-gzip""","Tue, 21 May 2024 23:18:55 GMT",e56b87fc2a2d08df19af5c514a91d0096917767e022e2538eb7415f806191c2a,49450,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2010.02.038-34ada80e513e.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2010.02.038.xml,10.1016/j.fluid.2010.02.038,2026-09-22T06:41:31Z,200,"W/""f8d9-618ff0abab800-gzip""","Tue, 21 May 2024 23:18:56 GMT",7ca4883dd4128484cc61a28d60ee950e3f5b99034ec5aa6323741418792bc644,63705,live NIST dielectric/permittivity API union,71
data/raw/thermoml/10.1016__j.fluid.2010.03.031-846d045b04ae.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2010.03.031.xml,10.1016/j.fluid.2010.03.031,2026-09-22T08:14:52Z,200,"W/""c6a8-618ff0abab800-gzip""","Tue, 21 May 2024 23:18:56 GMT",d54b6836f2baa4bff8692671f83adb16b229db0e1011dd85aae505a074dc140d,50856,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2011.09.028-86f6e523e4cd.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2011.09.028.xml,10.1016/j.fluid.2011.09.028,2026-09-22T06:38:25Z,200,"W/""194af-618ff0ad93c80-gzip""","Tue, 21 May 2024 23:18:58 GMT",3a9c5af5b9482191edbcbedd2ca498106e10506f5d8a98c9c820697dd9e735fc,103599,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2011.11.001-4a9c9310eb42.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2011.11.001.xml,10.1016/j.fluid.2011.11.001,2026-09-22T08:14:31Z,200,"W/""cc1b-618ff0ad93c80-gzip""","Tue, 21 May 2024 23:18:58 GMT",0aefe3de23e4703be708fe64c02ee7e975a796fc2c5c16fd7a41538767856f0b,52251,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2012.03.014-c08bac7d8f3c.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.03.014.xml,10.1016/j.fluid.2012.03.014,2026-09-22T08:14:37Z,200,"W/""15d52-618ff0ad93c80-gzip""","Tue, 21 May 2024 23:18:58 GMT",682913ee15f3b593f9f35578cbf301250d5e1eaccd5792facde36880cae6c5b8,89426,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2012.12.017-c86954b91dd2.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.12.017.xml,10.1016/j.fluid.2012.12.017,2026-09-22T08:14:36Z,200,"W/""ddc5-618ff0ae87ec0-gzip""","Tue, 21 May 2024 23:18:59 GMT",5e195e73c75f57d20a03af60dfcfb34668e7adca294595e6ad6003ddb3125467,56773,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2013.04.008-a73719f70eee.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2013.04.008.xml,10.1016/j.fluid.2013.04.008,2026-09-22T08:14:55Z,200,"W/""1b69e-618ff0af7c100-gzip""","Tue, 21 May 2024 23:19:00 GMT",8e1953b656ed800565686ad2ece6f7cbd8174f70945046bb284b75157dbf3594,112286,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2013.09.028-f05e8ccc37f7.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2013.09.028.xml,10.1016/j.fluid.2013.09.028,2026-09-22T06:38:59Z,200,"W/""35a67-618ff0af7c100-gzip""","Tue, 21 May 2024 23:19:00 GMT",167334d5f5061369cf5d320e510a9a67fe850c5f615e1d0963a00de18e44f87f,219751,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2013.12.014.xml,10.1016/j.fluid.2013.12.014,2026-09-22T06:37:56Z,200,"W/""11f3b-618ff0b070340-gzip""","Tue, 21 May 2024 23:19:01 GMT",c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,73531,live NIST dielectric/permittivity API union,68
data/raw/thermoml/10.1016__j.fluid.2013.12.024-f0cb358caf97.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2013.12.024.xml,10.1016/j.fluid.2013.12.024,2026-09-22T08:14:34Z,200,"W/""e854-618ff0b070340-gzip""","Tue, 21 May 2024 23:19:01 GMT",3a87128cdebac9510187f2c6aeb1594520d27f1cd90e87fa343bfee2c2a54f60,59476,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2014.01.022-a8159475cc20.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.01.022.xml,10.1016/j.fluid.2014.01.022,2026-09-22T08:15:16Z,200,"W/""18d2c-618ff0b070340-gzip""","Tue, 21 May 2024 23:19:01 GMT",016e14e90a33747d44539b73613b832cb8aaf06b1a8320275e028f96adec853b,101676,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2014.05.006-330722030333.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.05.006.xml,10.1016/j.fluid.2014.05.006,2026-09-22T06:37:38Z,200,"W/""421e-618ff0b164580-gzip""","Tue, 21 May 2024 23:19:02 GMT",096ba19192c01f16eb93fa039874e2ad4ec670685f8e7e642daedc101da27122,16926,live NIST dielectric/permittivity API union,13
data/raw/thermoml/10.1016__j.fluid.2014.08.026-967e8c8704a4.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.08.026.xml,10.1016/j.fluid.2014.08.026,2026-09-22T06:38:04Z,200,"W/""7f793-618ff0b164580-gzip""","Tue, 21 May 2024 23:19:02 GMT",73c0fee7808a7b3559907e10a60412a0a688eaf0c87671657d143bc72ca6e262,522131,live NIST dielectric/permittivity API union,20
data/raw/thermoml/10.1016__j.fluid.2014.09.015-bc817f31cafd.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.09.015.xml,10.1016/j.fluid.2014.09.015,2026-09-22T08:14:39Z,200,"W/""32e2-618ff0ae87ec0-gzip""","Tue, 21 May 2024 23:18:59 GMT",c915c8e5c543eb324df4dccdd4b61fefe8c48359a49da7b785b7fcf3f839feed,13026,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2014.10.039-3a879ffdf79f.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.10.039.xml,10.1016/j.fluid.2014.10.039,2026-09-22T06:37:46Z,200,"W/""af77-618ff0b164580-gzip""","Tue, 21 May 2024 23:19:02 GMT",14ef4defa3b6fd52ae192bc9ad428b461cb5bd83b9100cee2444b86ad93049c9,44919,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2014.12.031-27ceb1cfeb8d.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.12.031.xml,10.1016/j.fluid.2014.12.031,2026-09-22T08:14:42Z,200,"W/""944c-618ff0b2587c0-gzip""","Tue, 21 May 2024 23:19:03 GMT",c2f10c375af1cdc3d339525a6deccfbdb0de3bd92a83f57b042f67a5a656847d,37964,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2014.12.033-9c727e282e03.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.12.033.xml,10.1016/j.fluid.2014.12.033,2026-09-22T06:38:56Z,200,"W/""1b4dd-618ff0b2587c0-gzip""","Tue, 21 May 2024 23:19:03 GMT",93edbf62ea8be03938465dbdc20bde7aa7fb218b55eccda162c071348d56a9d3,111837,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2015.05.017-a627ee82f4ae.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2015.05.017.xml,10.1016/j.fluid.2015.05.017,2026-09-22T06:38:48Z,200,"W/""32c5d-618ff0b2587c0-gzip""","Tue, 21 May 2024 23:19:03 GMT",b227a420da006d22453450ba72891f325f9d496af79668e5bb83173bd234803b,207965,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2015.06.026-3bbe7cbdc0c2.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2015.06.026.xml,10.1016/j.fluid.2015.06.026,2026-09-22T06:38:14Z,200,"W/""2110f-618ff0b2587c0-gzip""","Tue, 21 May 2024 23:19:03 GMT",8484e6c39d9e50836d509cad536b935dbe507276c2cfbbf50fed2539fca3ab11,135439,live NIST dielectric/permittivity API union,0
data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2016.10.026.xml,10.1016/j.fluid.2016.10.026,2026-09-22T06:42:18Z,200,"W/""39c67-618ff0b534e80-gzip""","Tue, 21 May 2024 23:19:06 GMT",f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,236647,live NIST dielectric/permittivity API union,25
