representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Morgan,0,0,42,188,48,5.99356587297,8.61330254505,0.418421627362,0.69316396142,0.850840336134,0.94246031746,4.89955117635,10.1508217201,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,0,42,188,48,5.71590954483,8.27333730696,0.463425159044,0.717798404169,0.797268907563,0.968253968254,4.72967817031,9.46358876801,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,0,42,188,48,5.17865752723,7.00897491573,0.614896154938,0.754091242441,0.848739495798,0.980158730159,4.62668013003,7.27617163658,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":42,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,1,43,189,47,11.0128948183,28.1505102922,-0.024559267163,0.681950911814,0.877394636015,0.678571428571,4.00649876674,12.7059481176,116.460109873,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,1,43,189,47,9.02358103621,25.2786478129,0.173824673521,0.860339395,0.961685823755,0.917857142857,3.0754309887,11.192046957,94.1572612953,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,1,43,189,47,9.55932471818,26.3622056775,0.101479416772,0.856845513414,0.95785440613,0.85,2.99504079407,11.6528788376,105.30868475,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":43,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,2,44,189,47,5.49905893488,8.54423229399,0.636393847757,0.860888880323,0.928571428571,0.943089430894,4.0292773413,8.17096160889,26.1440919876,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,0,2,44,189,47,5.88613801216,10.6966122014,0.43012759085,0.862214512865,0.875,0.951219512195,3.7330418967,12.8595862707,26.9511674881,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,2,44,189,47,5.21596037215,8.18628225566,0.666221346764,0.904917464458,0.914285714286,0.971544715447,3.54837585278,8.94470361074,26.5476287842,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":44,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,0,3,45,189,47,7.93490555045,16.4527667384,0.041264258911,0.595898605576,0.773946360153,0.502380952381,4.77201961147,9.85261593316,97.541099205,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":45,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
