partition_seed,inchikey,smiles,scaffold,fold
42,AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,ring:c1ccccc1,0
42,ALYCOCULEAWWJO-UHFFFAOYSA-N,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,acyclic_cluster:26,0
42,DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,acyclic_cluster:29,0
42,FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,acyclic_cluster:30,0
42,FYIRUPZTYPILDH-UHFFFAOYSA-N,FC(F)C(F)C(F)(F)F,acyclic_cluster:31,0
42,WZLFPVPRZGTCKP-UHFFFAOYSA-N,CC(F)(F)CC(F)(F)F,acyclic_cluster:38,0
42,YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,ring:c1ccccc1,0
42,ZHNUHDYFZUAESO-UHFFFAOYSA-N,N=CO,acyclic_cluster:43,0
42,SWXVUIWOUIDPGS-UHFFFAOYSA-N,CC(=O)CC(C)(C)O,acyclic_cluster:47,0
42,JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#Cc1ccccc1,ring:c1ccccc1,0
42,DTQVDTLACAAQTR-UHFFFAOYSA-N,O=C(O)C(F)(F)F,acyclic_cluster:50,0
42,WFCLYEAZTHWNEH-UHFFFAOYSA-N,CCSC#N,acyclic_cluster:53,0
42,YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,ring:C1COCCN1,0
42,ISPYQTSUDJAMAB-UHFFFAOYSA-N,Oc1ccccc1Cl,ring:c1ccccc1,0
42,SVTBMSDMJJWYQN-UHFFFAOYSA-N,CC(O)CC(C)(C)O,acyclic_cluster:55,0
42,QJPJQTDYNZXKQF-UHFFFAOYSA-N,COc1ccc(Br)cc1,ring:c1ccccc1,0
42,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,acyclic_cluster:57,0
42,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,ring:c1ccccc1,0
42,QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,ring:c1ccccc1,0
42,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,ring:c1ccccc1,0
42,RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,ring:c1ccccc1,0
42,MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,ring:c1ccccc1,0
42,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,ring:c1ccccc1,0
42,HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1,ring:C1=CCCCC1,0
42,GETTZEONDQJALK-UHFFFAOYSA-N,FC(F)(F)c1ccccc1,ring:c1ccccc1,0
42,QBELEDRHMPMKHP-UHFFFAOYSA-N,Clc1ccccc1Br,ring:c1ccccc1,0
42,JRGGUPZKKTVKOV-UHFFFAOYSA-N,Clc1cccc(Br)c1,ring:c1ccccc1,0
42,WQONPSCCEXUXTQ-UHFFFAOYSA-N,Brc1ccccc1Br,ring:c1ccccc1,0
42,JSRLURSZEMLAFO-UHFFFAOYSA-N,Brc1cccc(Br)c1,ring:c1ccccc1,0
42,RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,ring:c1ccccc1,0
42,ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,ring:c1ccccc1,0
42,SFPQFQUXAJOWNF-UHFFFAOYSA-N,Ic1cccc(I)c1,ring:c1ccccc1,0
42,QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,ring:c1ccccc1,0
42,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,ring:c1ccccc1,0
42,SNHMUERNLJLMHN-UHFFFAOYSA-N,Ic1ccccc1,ring:c1ccccc1,0
