record_id,name,smiles,inchikey,T_K,inverse_temperature_1_K,viscosity_cP,viscosity_Pa_s,log10_viscosity_cP,md_density_g_cm3,reference,source_doi,source_url,data_status,gate_flags
0,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,274.01,0.003649502,1.217,0.001217,0.085290578,2.425890949,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
1,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,284.1,0.003519887,1.07,0.00107,0.029383778,2.407716546,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
2,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,293.08,0.003412038,0.96,0.00096,-0.017728767,2.39606185,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
3,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,303.29,0.003297174,0.859,0.000859,-0.066006836,2.358438022,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
4,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,312.64,0.003198567,0.782,0.000782,-0.106793247,2.341529318,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
5,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,320.95,0.00311575,0.722,0.000722,-0.141462802,2.31423429,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
6,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,331.11,0.003020144,0.659,0.000659,-0.181114585,2.286372756,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
7,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,340.34,0.002938238,0.61,0.00061,-0.214670165,2.263245876,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
8,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,349.87,0.002858204,0.565,0.000565,-0.247951552,2.242236995,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
9,"1,2-acetylene dibromide",Br/C=C\Br,UWTUEMKLYAGTNQ-UPHRSURJSA-N,359.1,0.00278474,0.525,0.000525,-0.279840697,2.209791431,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
