pair_id,inchikey,T_K,T_alignment_rule,T_alignment_delta_K,epsilon_T_K_source,viscosity_T_K_source,epsilon,epsilon_unit,epsilon_dataset_id,epsilon_source_kind,epsilon_quality_layer,epsilon_source_file,epsilon_source_row_index,epsilon_source_doi,epsilon_row_id,epsilon_n_components,epsilon_pure_or_mixture,viscosity_Pa_s,viscosity_unit,viscosity_dataset_id,viscosity_source_kind,viscosity_quality_layer,viscosity_source_file,viscosity_source_row_index,viscosity_source_doi,viscosity_row_id,viscosity_n_components,viscosity_pure_or_mixture,walden_coupling_epsilon_times_eta,walden_ratio_eta_over_epsilon,pair_source_quadrant,pair_quality_layer,pair_redistributable,averaging_applied
AMQJEAYHLZJPGS-UHFFFAOYSA-N|288.15|epsilon_observations_v11plus:2|schrodinger_viscosity_v01_open_subset:1779,AMQJEAYHLZJPGS-UHFFFAOYSA-N,288.15,abs_dT_le_1e-06_K,0,288.15,288.15,16.334,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,2,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:2,1,pure,0.00465,Pa*s,schrodinger_viscosity_v01_open_subset,published_supplement_open_subset,publishable_core,data/viscosity_v01.csv,1779,10.1186/s13321-024-00820-5,schrodinger_viscosity_v01_open_subset:1779,1,pure,0.0759531,0.000284682257867,epsilon_observations_v11plus x schrodinger_viscosity_v01_open_subset,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|293.15|epsilon_observations_v11plus:3|schrodinger_viscosity_v01_open_subset:1780,AMQJEAYHLZJPGS-UHFFFAOYSA-N,293.15,abs_dT_le_1e-06_K,0,293.15,293.15,15.736,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,3,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:3,1,pure,0.0044,Pa*s,schrodinger_viscosity_v01_open_subset,published_supplement_open_subset,publishable_core,data/viscosity_v01.csv,1780,10.1186/s13321-024-00820-5,schrodinger_viscosity_v01_open_subset:1780,1,pure,0.0692384,0.000279613624809,epsilon_observations_v11plus x schrodinger_viscosity_v01_open_subset,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|293.15|epsilon_observations_v11plus:4|schrodinger_viscosity_v01_open_subset:1780,AMQJEAYHLZJPGS-UHFFFAOYSA-N,293.15,abs_dT_le_1e-06_K,0,293.15,293.15,15.739,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,4,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:4,1,pure,0.0044,Pa*s,schrodinger_viscosity_v01_open_subset,published_supplement_open_subset,publishable_core,data/viscosity_v01.csv,1780,10.1186/s13321-024-00820-5,schrodinger_viscosity_v01_open_subset:1780,1,pure,0.0692516,0.000279560327848,epsilon_observations_v11plus x schrodinger_viscosity_v01_open_subset,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:1988,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1988,10.1021/je100594u,thermoml_viscosity:1988,1,pure,0.05241984,0.00023422459893,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:1989,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.003404,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1989,10.1021/je100594u,thermoml_viscosity:1989,1,pure,0.05092384,0.000227540106952,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2002,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2002,10.1021/je100594u,thermoml_viscosity:2002,2,mixture,0.05241984,0.00023422459893,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2003,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0025046,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2003,10.1021/je100594u,thermoml_viscosity:2003,2,mixture,0.037468816,0.000167419786096,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2004,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0018849,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2004,10.1021/je100594u,thermoml_viscosity:2004,2,mixture,0.028198104,0.000125995989305,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2005,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0014396,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2005,10.1021/je100594u,thermoml_viscosity:2005,2,mixture,0.021536416,9.62299465241e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2006,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0010627,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2006,10.1021/je100594u,thermoml_viscosity:2006,2,mixture,0.015897992,7.10360962567e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2007,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0009063,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2007,10.1021/je100594u,thermoml_viscosity:2007,2,mixture,0.013558248,6.05815508021e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2008,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.000756,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2008,10.1021/je100594u,thermoml_viscosity:2008,2,mixture,0.01130976,5.05347593583e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2009,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0006472,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2009,10.1021/je100594u,thermoml_viscosity:2009,2,mixture,0.009682112,4.32620320856e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2010,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0005704,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2010,10.1021/je100594u,thermoml_viscosity:2010,2,mixture,0.008533184,3.8128342246e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2011,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0005413,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2011,10.1021/je100594u,thermoml_viscosity:2011,2,mixture,0.008097848,3.61831550802e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:5|thermoml_viscosity:2012,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,14.96,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,5,10.1021/je060248p,epsilon_observations_v11plus:5,1,pure,0.0005894,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2012,10.1021/je100594u,thermoml_viscosity:2012,2,mixture,0.008817424,3.93983957219e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:1988,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1988,10.1021/je100594u,thermoml_viscosity:1988,1,pure,0.053064576,0.000231378763867,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
