inchikey,alias,alias_type,language,notes
RUOJZAUFBMNUDX-UHFFFAOYSA-N,propylene carbonate,dataset_name,en,Week 1 anchor. Appendix I veto target.
RUOJZAUFBMNUDX-UHFFFAOYSA-N,propylene carbonate,common_name,en,Week 1 anchor. Appendix I veto target.
KMTRUDSVKNLOMY-UHFFFAOYSA-N,ethylene carbonate,dataset_name,en,Stored at 313.15 K: EC melts near 309.5 K.
KMTRUDSVKNLOMY-UHFFFAOYSA-N,ethylene carbonate,common_name,en,Stored at 313.15 K: EC melts near 309.5 K.
OOWFYDWAMOKVSF-UHFFFAOYSA-N,3-methoxypropionitrile,dataset_name,en,Appendix I target.
OOWFYDWAMOKVSF-UHFFFAOYSA-N,3-methoxypropionitrile,common_name,en,Appendix I target.
VAYTZRYEBVHVLE-UHFFFAOYSA-N,vinylene carbonate,dataset_name,en,
VAYTZRYEBVHVLE-UHFFFAOYSA-N,vinylene carbonate,common_name,en,
SBLRHMKNNHXPHG-UHFFFAOYSA-N,fluoroethylene carbonate,dataset_name,en,
SBLRHMKNNHXPHG-UHFFFAOYSA-N,fluoroethylene carbonate,common_name,en,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,gamma-valerolactone,dataset_name,en,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,gamma-valerolactone,common_name,en,
IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,dataset_name,en,
IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,common_name,en,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl carbonate,dataset_name,en,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl carbonate,common_name,en,
JBTWLSYIZRCDFO-UHFFFAOYSA-N,ethyl methyl carbonate,dataset_name,en,
JBTWLSYIZRCDFO-UHFFFAOYSA-N,ethyl methyl carbonate,common_name,en,
SECXISVLQFMRJM-UHFFFAOYSA-N,N-methylpyrrolidone,dataset_name,en,Appendix I source-priority item.
SECXISVLQFMRJM-UHFFFAOYSA-N,N-methylpyrrolidone,common_name,en,Appendix I source-priority item.
WYURNTSHIVDZCO-UHFFFAOYSA-N,tetrahydrofuran,dataset_name,en,Appendix I source-priority item.
WYURNTSHIVDZCO-UHFFFAOYSA-N,tetrahydrofuran,common_name,en,Appendix I source-priority item.
YMWUJEATGCHHMB-UHFFFAOYSA-N,dichloromethane,dataset_name,en,Appendix I source-priority item.
YMWUJEATGCHHMB-UHFFFAOYSA-N,dichloromethane,common_name,en,Appendix I source-priority item.
HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,dataset_name,en,v0.3.6 tier-1 cross-check target.
HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,common_name,en,v0.3.6 tier-1 cross-check target.
WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,dataset_name,en,Stored at 293.15 K (20 C) from NBS Circular 514.
WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,common_name,en,Stored at 293.15 K (20 C) from NBS Circular 514.
XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-dimethoxyethane",dataset_name,en,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-dimethoxyethane",common_name,en,
RUOJZAUFBMNUDX-UHFFFAOYSA-N,PC,abbreviation,en,
RUOJZAUFBMNUDX-UHFFFAOYSA-N,"4-methyl-1,3-dioxolan-2-one",iupac_synonym,en,
KMTRUDSVKNLOMY-UHFFFAOYSA-N,EC,abbreviation,en,
KMTRUDSVKNLOMY-UHFFFAOYSA-N,"1,3-dioxolan-2-one",iupac_synonym,en,
OOWFYDWAMOKVSF-UHFFFAOYSA-N,MOPN,abbreviation,en,
OOWFYDWAMOKVSF-UHFFFAOYSA-N,3-methoxypropanenitrile,iupac_synonym,en,
VAYTZRYEBVHVLE-UHFFFAOYSA-N,VC,abbreviation,en,
VAYTZRYEBVHVLE-UHFFFAOYSA-N,"1,3-dioxol-2-one",iupac_synonym,en,
SBLRHMKNNHXPHG-UHFFFAOYSA-N,FEC,abbreviation,en,
SBLRHMKNNHXPHG-UHFFFAOYSA-N,"4-fluoro-1,3-dioxolan-2-one",iupac_synonym,en,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,GVL,abbreviation,en,
GAEKPEKOJKCEMS-UHFFFAOYSA-N,4-valerolactone,iupac_synonym,en,
IEJIGPNLZYLLBP-UHFFFAOYSA-N,DMC,abbreviation,en,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,DEC,abbreviation,en,
JBTWLSYIZRCDFO-UHFFFAOYSA-N,EMC,abbreviation,en,
SECXISVLQFMRJM-UHFFFAOYSA-N,NMP,abbreviation,en,
SECXISVLQFMRJM-UHFFFAOYSA-N,1-methyl-2-pyrrolidone,common_name,en,
WYURNTSHIVDZCO-UHFFFAOYSA-N,THF,abbreviation,en,
WYURNTSHIVDZCO-UHFFFAOYSA-N,oxolane,iupac_synonym,en,
YMWUJEATGCHHMB-UHFFFAOYSA-N,DCM,abbreviation,en,
YMWUJEATGCHHMB-UHFFFAOYSA-N,methylene chloride,common_name,en,
HXJUTPCZVOIRIF-UHFFFAOYSA-N,"tetrahydrothiophene 1,1-dioxide",iupac_synonym,en,
WEVYAHXRMPXWCK-UHFFFAOYSA-N,AN,abbreviation,en,
WEVYAHXRMPXWCK-UHFFFAOYSA-N,ACN,abbreviation,en,
WEVYAHXRMPXWCK-UHFFFAOYSA-N,ethanenitrile,iupac_synonym,en,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,DME,abbreviation,en,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,monoglyme,common_name,en,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,G1,abbreviation,en,Glyme-series index.
KVNRLNFWIYMESJ-UHFFFAOYSA-N,butanenitrile,dataset_name,en,
KVNRLNFWIYMESJ-UHFFFAOYSA-N,butanenitrile,common_name,en,
KVNRLNFWIYMESJ-UHFFFAOYSA-N,butyronitrile,common_name,en,
RFFFKMOABOFIDF-UHFFFAOYSA-N,pentanenitrile,dataset_name,en,
RFFFKMOABOFIDF-UHFFFAOYSA-N,pentanenitrile,common_name,en,
RFFFKMOABOFIDF-UHFFFAOYSA-N,valeronitrile,common_name,en,
SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",dataset_name,en,Appendix I target. Stored name shares no token with the common name.
SBZXBUIDTXKZTM-UHFFFAOYSA-N,diglyme,common_name,en,Appendix I target. Stored name shares no token with the common name.
YFNKIDBQEZZDLK-UHFFFAOYSA-N,"2,5,8,11-tetraoxadodecane",dataset_name,en,Appendix I target. Stored name shares no token with the common name.
YFNKIDBQEZZDLK-UHFFFAOYSA-N,triglyme,common_name,en,Appendix I target. Stored name shares no token with the common name.
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,"2,5,8,11,14-pentaoxapentadecane",dataset_name,en,Appendix I target. Stored name shares no token with the common name.
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,tetraglyme,common_name,en,Appendix I target. Stored name shares no token with the common name.
BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,dataset_name,en,Appendix I target. Stored name shares no token with the common name.
BTGRAWJCKBQKAO-UHFFFAOYSA-N,adiponitrile,common_name,en,Appendix I target. Stored name shares no token with the common name.
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,pentanedinitrile,dataset_name,en,Appendix I target. Stored name shares no token with the common name.
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,glutaronitrile,common_name,en,Appendix I target. Stored name shares no token with the common name.
YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,dataset_name,en,Stored with a leading dot-gamma prefix.
YEJRWHAVMIAJKC-UHFFFAOYSA-N,gamma-butyrolactone,common_name,en,Stored with a leading dot-gamma prefix.
SBZXBUIDTXKZTM-UHFFFAOYSA-N,DGM,abbreviation,en,
SBZXBUIDTXKZTM-UHFFFAOYSA-N,G2,abbreviation,en,Glyme-series index.
SBZXBUIDTXKZTM-UHFFFAOYSA-N,DEGDME,abbreviation,en,
SBZXBUIDTXKZTM-UHFFFAOYSA-N,bis(2-methoxyethyl) ether,iupac_synonym,en,
YFNKIDBQEZZDLK-UHFFFAOYSA-N,TGM,abbreviation,en,
YFNKIDBQEZZDLK-UHFFFAOYSA-N,G3,abbreviation,en,Glyme-series index.
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,TEGDME,abbreviation,en,
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,G4,abbreviation,en,Glyme-series index.
BTGRAWJCKBQKAO-UHFFFAOYSA-N,ADN,abbreviation,en,
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,GLN,abbreviation,en,
YEJRWHAVMIAJKC-UHFFFAOYSA-N,GBL,abbreviation,en,
