shortlist,rank,cas,smiles,molwt,mp_k,bp_k,fp_k,source_figure,source_page,source_page_label,source_kind,redistributable,usage,notes
15,1,96-48-0,,,228.2,477.2,371.5,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,2,108-32-7,,,224.4,514.8,389.2,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,3,4437-69-8,,,222.6,504.3,369.8,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,4,4437-70-1,,,217.3,513.9,367.4,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,5,4437-85-8,,,216.9,514.2,514.2,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 把这一块的 FP 印成 514.2 K，与同一块的 BP 514.2 K 完全相等；照实转录，未改写。
15,6,6975-71-9,,,227.8,491.8,365.0,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,7,623-35-8,,,220.9,493.2,384.9,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,8,17611-82-4,,,220.8,499.5,381.0,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,9,4172-97-8,,,228.9,503.3,372.8,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,10,32091-48-8,,,211.0,508.8,383.3,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
