row_key,shortlist,rank,cas,smiles_from_shortlist,resolved_route,inchikey,canonical_smiles,connectivity_smiles,molecular_formula,molecular_weight,heavy_atom_count,elements,pubchem_cid,resolution_status,resolved_from,source_url,retrieved_at,notes
14-1,14,1,,O=COCC1COCO1,smiles_rdkit,CRKRIAWPURRHMT-UHFFFAOYSA-N,O=COCC1COCO1,O=COCC1COCO1,C5H8O4,132.1150,9,C O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-2,14,2,,N#CCCCC1CCC1,smiles_rdkit,DBWPNQJITVNUCR-UHFFFAOYSA-N,N#CCCCC1CCC1,N#CCCCC1CCC1,C8H13N,123.1990,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-3,14,3,,N#CCCC1=CCCC1,smiles_rdkit,ADQZRFNEMNNSEH-UHFFFAOYSA-N,N#CCCC1=CCCC1,N#CCCC1=CCCC1,C8H11N,121.1830,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-4,14,4,,N#CCCC1(CC1)C#N,smiles_rdkit,FOCLWXKUVVLCJR-UHFFFAOYSA-N,N#CCCC1(C#N)CC1,N#CCCC1(C#N)CC1,C7H8N2,120.1550,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-5,14,5,,CCC(CC#N)CC#N,smiles_rdkit,SGBBQWUPGYQOPL-UHFFFAOYSA-N,CCC(CC#N)CC#N,CCC(CC#N)CC#N,C7H10N2,122.1710,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-6,14,6,,CC(CCC#N)CC#N,smiles_rdkit,WVTXGJBTGFOYSF-UHFFFAOYSA-N,CC(CC#N)CCC#N,CC(CC#N)CCC#N,C7H10N2,122.1710,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-7,14,7,,CCC(CCC#N)C#N,smiles_rdkit,CFNZJVQAYXODOE-UHFFFAOYSA-N,CCC(C#N)CCC#N,CCC(C#N)CCC#N,C7H10N2,122.1710,9,C N,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-8,14,8,,C#CCCOCCCC#N,smiles_rdkit,GSENUKCVWRLXKA-UHFFFAOYSA-N,C#CCCOCCCC#N,C#CCCOCCCC#N,C8H11NO,137.1820,10,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-9,14,9,,CC(COCC#N)C#N,smiles_rdkit,JJXRETGNXMPFJV-UHFFFAOYSA-N,CC(C#N)COCC#N,CC(C#N)COCC#N,C6H8N2O,124.1430,9,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-10,14,10,,CC(CCOC=O)C#N,smiles_rdkit,JNDMQAJAWCQHOX-UHFFFAOYSA-N,CC(C#N)CCOC=O,CC(C#N)CCOC=O,C6H9NO2,127.1430,9,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-11,14,11,,CC(COC=O)CC#N,smiles_rdkit,IDLWDEPIHMNMIO-UHFFFAOYSA-N,CC(CC#N)COC=O,CC(CC#N)COC=O,C6H9NO2,127.1430,9,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-12,14,12,,CC(CCC#N)C1CO1,smiles_rdkit,VBDCYXYOZCGHMC-UHFFFAOYSA-N,CC(CCC#N)C1CO1,CC(CCC#N)C1CO1,C7H11NO,125.1710,9,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
14-13,14,13,,N#CCCOC1CCC1,smiles_rdkit,YKFOOFASUFZUPK-UHFFFAOYSA-N,N#CCCOC1CCC1,N#CCCOC1CCC1,C7H11NO,125.1710,9,C N O,,resolved_rdkit,rdkit_from_shortlist_smiles,,,
