record_id,inchikey,smiles,name,T_K,viscosity_Pa_s,density,density_status,viscosity_cP,source_doi,n_observations,source_scope,data_status,gate_flags
0,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",274.01,0.001217,,not_available,1.217,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
1,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",284.1,0.00107,,not_available,1.07,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
2,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",293.08,0.00096,,not_available,0.96,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
3,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",303.29,0.000859,,not_available,0.859,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
4,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",312.64,0.000782,,not_available,0.782,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
5,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",320.95,0.000722,,not_available,0.722,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
6,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",331.11,0.000659,,not_available,0.659,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
7,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",340.34,0.00061,,not_available,0.61,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
8,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",349.87,0.000565,,not_available,0.565,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
9,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",359.1,0.000525,,not_available,0.525,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
10,UWTUEMKLYAGTNQ-UPHRSURJSA-N,Br/C=C\Br,"1,2-acetylene dibromide",370.25,0.000483,,not_available,0.483,10.1186/s13321-024-00820-5,1,chew_2024_supp2_experimental_viscosity,experimental,experimental
