doi,title,publication_year,venue,query_label,week11_disposition,week11_http_status,compound_names,inchikeys,smiles_list,compound_resolution,unresolved_names,target_class,target_families,target_reason,epsilon_clue,epsilon_clue_kind,epsilon_numbers_in_title_or_abstract,epsilon_evidence,temperature_window_covered,temperature_evidence_kind,temperature_evidence,temperature_skipped_non_absolute,abstract_source,abstract_read,abstract_chars,abstract_http_status,abstract_note,unpaywall_is_oa,unpaywall_oa_status,unpaywall_http_status,best_oa_url,best_oa_url_for_pdf,best_oa_host_type,best_oa_version,best_oa_license,oa_probe_method,oa_probe_http_status,oa_probe_final_url,oa_probe_content_type,oa_probe_bytes_read,oa_probe_bot_check,oa_probe_looks_like_landing_page,oa_fulltext_reachable,oa_note,score_target,score_epsilon,score_temperature,score_oa,priority_score,priority,disposition,rationale
10.3390/app14020495,Saturated Boiling Enhancement of Novec-7100 on Microgrooved Surfaces with Groove-Induced Anisotropic Properties,2024,Applied Sciences,fluorinated_ethers,skipped_noise_prefilter,,methoxy-nonafluorobutane,OKIYQFLILPKULA-UHFFFAOYSA-N,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,partially_resolved,dielectric liquid=fluid not specified,core,fluorinated_ether,resolved compound in a core target family: fluorinated_ether,no,none,,,unknown,none,,,openalex,true,1615,200,,true,gold,200,https://www.mdpi.com/2076-3417/14/2/495/pdf?version=1704460575,https://www.mdpi.com/2076-3417/14/2/495/pdf?version=1704460575,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,,text/html,411,true,false,false,probe HTTP 403,3,0,0,0,3,P3,discard,target=core; epsilon=none; temperature=unknown; oa=false; score=3; noise veto (pool_boiling_heat_transfer)
10.1088/1742-6596/2685/1/012064,Pool boiling performances comparison of FC-72 and Novec 649 in the presence of a DC electric field,2024,Journal of Physics Conference Series,fluorinated_ethers,skipped_noise_prefilter,,decafluoropentane;perfluorohexane,RIQRGMUSBYGDBL-UHFFFAOYSA-N;ZJIJAJXFLBMLCK-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)C(F)C(F)(F)F;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,partially_resolved,dielectric liquid=fluid not specified,off,fluoroalkane,every resolved compound maps to a non-target family: fluoroalkane,no,none,,,unknown,none,,,openalex,true,1631,200,,true,gold,200,https://doi.org/10.1088/1742-6596/2685/1/012064,,publisher,publishedVersion,cc-by,ranged_get_0_8191,206,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=1669a476-1609-4e7d-8275-9279b47ac125&ssb=34992225382&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1742-6596%2F2685%2F1%2F012064&ssi=75100fbf-cnvj-4ee2-ad51-f31acfe5c8ad&ssk=botmanager_support@radware.com&ssm=18889063974174699105927089616167&ssn=7f15bdcb6e46191184adc1c3034be6b9f6123d759b59-76da-4e5d-95e404&sso=737429d8-ceac130049947df90aab921742240ec136c6f4354398a7df&ssp=14344749741790311823179036746458910&ssq=16348516051796011910960517999549042443228&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20title/abstract%20triage;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJfX3V6bWYiOiI3ZjkwMDAzZDc1OWI1OS03NmRhLTRlNWQtOTlkOC1jZWFjMTMwMDQ5OTQxLTE3OTAzNjA1MTcyMDYwLTAwNTNjZTA0OTI2NTY0YTdjODQxMCIsInV6bXgiOiI3ZmMwMDA1NTNkMWI2NS0yMGM0LTRjNTUtODYzMC0yOGRkYTdmZDg5MGUxLTE3OTAzNjA1MTcyMDUwLTAwNjBhOTkzN2VmNTc3YmQ3OTExMCJ9,text/html; charset=UTF-8,8192,false,false,true,2xx and not a bot-check page,0,0,0,2,2,P3,discard,target=off; epsilon=none; temperature=unknown; oa=true; score=2; noise veto (pool_boiling_heat_transfer)
10.1063/5.0230695,"A comprehensive molecular dynamics simulation of plastic and liquid succinonitrile: Structural, dynamic, and dielectric properties",2024,The Journal of Chemical Physics,dinitriles,blocked_fetch_error,403,succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCC#N,resolved,,core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,"The static dielectric constant, which has been derived from the total dipole moment, was primarily influenced by the contribution of the gauche conformers.",unknown,none,,,openalex,true,1808,200,,true,hybrid,200,https://doi.org/10.1063/5.0230695,,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,https://pubs.aip.org/jcp/article/161/17/174503/3318469/A-comprehensive-molecular-dynamics-simulation-of,text/html; charset=UTF-8,5884,true,false,false,probe HTTP 403,3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1002/app.56331,"Effect of succinonitrile on the structural, ion conductivity, and dielectric properties of PVDF ‐ HFP based solid polymer electrolytes",2024,Journal of Applied Polymer Science,dinitriles,blocked_fetch_error,403,succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCC#N,partially_resolved,"pvdf=polymer (PVDF-HFP), not a single solvent molecule;polymer electrolyte=composite solid polymer electrolyte, not a pure solvent",core,nitrile,resolved compound in a core target family: nitrile,no,none,,,false,explicit_point,The fabricated SPEs exhibit a significant enhancement in ion conductivity with increasing temperature and the maximum ion conductivity of 1.1 × 10 −3 S cm −1 is attained at 393 K by plasticized SPE wi ... [truncated],,openalex,true,2330,200,,true,bronze,200,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.56331,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.56331,publisher,publishedVersion,,ranged_get_0_8191,403,,text/html; charset=UTF-8,5784,true,false,false,probe HTTP 403,3,0,-1,0,2,P2,pending,target=core; epsilon=none; temperature=false; oa=false; score=2
10.1002/anie.202416091,Fast Collective Hydrogen‐Bond Dynamics in Hexafluoroisopropanol Related to its Chemical Activity,2024,Angewandte Chemie International Edition,fluorinated_alcohols,blocked_fetch_error,403,hexafluoroisopropanol,BYEAHWXPCBROCE-UHFFFAOYSA-N,OC(C(F)(F)F)C(F)(F)F,resolved,,off,fluoroalcohol,every resolved compound maps to a non-target family: fluoroalcohol,yes,wording_only,,"Surprisingly, from dielectric spectroscopy we find the opposite behavior for the dynamics of hydrogen-bonded clusters: collective rearrangements are 3 times faster in HFIP than in isopropanol.",unknown,none,,,openalex,true,1394,200,,true,hybrid,200,https://doi.org/10.1002/anie.202416091,,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,https://onlinelibrary.wiley.com/doi/10.1002/anie.202416091,text/html; charset=UTF-8,5769,true,false,false,probe HTTP 403,0,1,0,0,1,P3,discard,target=off; epsilon=wording_only; temperature=unknown; oa=false; score=1
10.1039/d2cp05799a,"Paddle-wheel mechanism in doped succinonitrile–glutaronitrile plastic electrolyte: a joint magnetic resonance, dielectric, and viscosimetry study of Li ion translational and molecular reorientational dynamics",2023,Physical Chemistry Chemical Physics,dinitriles,blocked_fetch_error,403,glutaronitrile;succinonitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N;IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCCC#N;N#CCCC#N,resolved,,core,nitrile,resolved compound in a core target family: nitrile,no,none,,,unknown,none,,,openalex,true,559,200,,true,hybrid,200,https://pubs.rsc.org/en/content/articlepdf/2023/cp/d2cp05799a,https://pubs.rsc.org/en/content/articlepdf/2023/cp/d2cp05799a,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,,text/html; charset=UTF-8,5694,true,false,false,probe HTTP 403,3,0,0,0,3,P2,pending,target=core; epsilon=none; temperature=unknown; oa=false; score=3
10.1016/j.applthermaleng.2023.121803,Enhanced nucleate boiling of Novec 649 on thin metal foils via laser-induced periodic surface structures,2023,Applied Thermal Engineering,fluorinated_ethers,skipped_noise_prefilter,,decafluoropentane;water,RIQRGMUSBYGDBL-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)C(F)C(F)(F)F;O,resolved,,off,fluoroalkane;water,every resolved compound maps to a non-target family: fluoroalkane;water,no,none,,,unknown,non_absolute_temperature_only,"LIPSS samples exhibited a reduction in wall superheat at the onset of boiling from 28 K to about 16 K, resulting in an HTC enhancement of about +65%.","LIPSS samples exhibited a reduction in wall superheat at the onset of boiling from 28 K to about 16 K, resulting in an HTC enhancement of about +65%.",openalex,true,2067,200,,true,hybrid,200,https://doi.org/10.1016/j.applthermaleng.2023.121803,,publisher,publishedVersion,cc-by-nc-nd,ranged_get_0_8191,200,https://linkinghub.elsevier.com/retrieve/pii/S135943112301832X,text/html;charset=UTF-8,2720,false,true,unknown,"2xx HTML body of only 2720 bytes (no Range support): looks like a landing page, not the article",0,0,0,1,1,P3,discard,target=off; epsilon=none; temperature=unknown; oa=unknown; score=1; noise veto (pool_boiling_heat_transfer)
10.1039/d2cp03200g,Investigating the abnormal conductivity behaviour of divalent cations in low dielectric constant tetraglyme-based electrolytes,2022,Physical Chemistry Chemical Physics,glymes,blocked_fetch_error,403,tetraglyme,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC,partially_resolved,glyme=generic glyme without a chain-length prefix; oligomer length unnamed,core,glyme,resolved compound in a core target family: glyme,yes,wording_only,,Investigating the abnormal conductivity behaviour of divalent cations in low dielectric constant tetraglyme-based electrolytes salts dissolved in longer-chain glymes or even poly(ethylene oxide).,unknown,none,,,openalex,true,307,200,,true,hybrid,200,https://pubs.rsc.org/en/content/articlepdf/2022/cp/d2cp03200g,https://pubs.rsc.org/en/content/articlepdf/2022/cp/d2cp03200g,publisher,publishedVersion,cc-by-nc,ranged_get_0_8191,403,,text/html; charset=UTF-8,5694,true,false,false,probe HTTP 403,3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1021/jacs.2c07103,Why Do Sulfone-Containing Polymer Photocatalysts Work So Well for Sacrificial Hydrogen Evolution from Water?,2022,Journal of the American Chemical Society,sulfones,skipped_noise_prefilter,,water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,partially_resolved,"polymer photocatalyst=polymer, not a molecular solvent",off,water,every resolved compound maps to a non-target family: water,yes,wording_only,,The sulfone unit attracts water molecules such that the average permittivity experienced by the solvated polymer is increased.,unknown,none,,,openalex,true,1616,200,,true,hybrid,200,https://doi.org/10.1021/jacs.2c07103,,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,https://pubs.acs.org/doi/10.1021/jacs.2c07103,text/html; charset=UTF-8,5624,true,false,false,probe HTTP 403,0,1,0,0,1,P3,discard,target=off; epsilon=wording_only; temperature=unknown; oa=false; score=1; noise veto (polymer_photocatalyst)
10.1021/acsenergylett.2c02003,"Exploiting the Steric Effect and Low Dielectric Constant of 1,2-Dimethoxypropane for 4.3 V Lithium Metal Batteries",2022,ACS Energy Letters,glymes,blocked_fetch_error,0,"1,2-dimethoxypropane;1,2-dimethoxyethane",LEEANUDEDHYDTG-UHFFFAOYSA-N;XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCC(C)OC;COCCOC,resolved,,core,glyme,resolved compound in a core target family: glyme,yes,wording_only,,"Exploiting the Steric Effect and Low Dielectric Constant of 1,2-Dimethoxypropane for 4.3 V Lithium Metal Batteries 1,2-Dimethoxyethane (DME) has been widely used as an electrolyte solvent for lithium metal batteries on account of its intrinsic reductive stability; however, its low oxidative stability presents a major challenge for use in high-voltage Li metal batteries (LMBs).",unknown,none,,,openalex,true,1071,200,,true,green,200,https://zenodo.org/record/7801393,,repository,submittedVersion,cc-by,ranged_get_0_8191,,,,0,false,false,false,"probe transport error: ConnectionError: HTTPSConnectionPool(host='zenodo.org', port=443): Max retries exceeded with url: /record/7801393 (Caused by NameResolutionError(""HTTPSConnection(host='zenodo.org', port=443): Failed to resolve 'zenodo.org' ([Errno 11004] getaddrinfo failed)""))",3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
