row_kind,priority,compound_name,inchikey_if_resolved,smiles_if_resolved,in_local_v03,in_local_observations,local_epsilon_rows,is_new_compound,epsilon_value_or_kind,epsilon_values,temperature_window,source_doi,oa_status,oa_url,oa_reachable,evidence_kind,local_trace,local_trace_restricted,local_trace_files,round3_disposition,round3_priority,why_new_compound,action,rationale
new_compound,P1,"1,2-dimethoxypropane",LEEANUDEDHYDTG-UHFFFAOYSA-N,COCC(C)OC,no,no,0,yes,wording_only,,unknown,10.1021/acsenergylett.2c02003,green,https://zenodo.org/record/7801393,false,汇编转述,yes,no,data/external/SolvFunc-87.csv:name;data/processed/al_round1_longlist.csv:name;data/processed/redox_merged.csv:key,pending,P2,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,人读,round3_target=core; epsilon=wording_only; leads=1
new_compound,P3,"2,2,2-trifluoroethanol",RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F,no,no,0,yes,wording_only,,yes,10.1021/jp302790j;10.1529/biophysj.106.098715;10.1073/pnas.182199699,bronze;green,https://edoc.unibas.ch/48169/1/No%2037%20Hankache_JPhysChemA_2012_116_8159.pdf,true,汇编转述,yes,yes,data/external/chew_2024_viscosity_supp_2.csv:name;data/processed/eta_epsilon_joint_observations.csv:key;data/processed/landolt_boernstein_2015_pure_liquid_queue.csv:name;data/processed/viscosity_baseline_predictions.csv:key;data/processed/viscosity_raw.csv:key;data/restricted/springer_materials/interactive_pure_dielectric_catalog.json:name;data/viscosity_v01.csv:key,discard;pending,P2;P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,仅线索,round3_target=off; epsilon=wording_only; leads=3
new_compound,P3,decafluoropentane,RIQRGMUSBYGDBL-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)C(F)C(F)(F)F,no,no,0,yes,none,,unknown,10.1088/1742-6596/2685/1/012064;10.1016/j.applthermaleng.2023.121803;10.3390/nano11123216,gold;hybrid,https://doi.org/10.1088/1742-6596/2685/1/012064,true,无ε线索,no,no,,discard,P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,放弃,round3_target=off; epsilon=none; noise_veto=pool_boiling_heat_transfer; leads=3
new_compound,P3,hexafluoroisopropanol,BYEAHWXPCBROCE-UHFFFAOYSA-N,OC(C(F)(F)F)C(F)(F)F,no,no,0,yes,wording_only,,unknown,10.1002/anie.202416091;10.1021/jp302790j,green;hybrid,https://doi.org/10.1002/anie.202416091,true,第一手测量,no,no,,discard;pending,P2;P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,仅线索,round3_target=off; epsilon=wording_only; leads=2
new_compound,P3,methoxy-nonafluorobutane,OKIYQFLILPKULA-UHFFFAOYSA-N,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,no,no,0,yes,wording_only,,unknown,10.3390/app14020495;10.1002/2014wr015291,bronze;gold,https://www.mdpi.com/2076-3417/14/2/495/pdf?version=1704460575,false,汇编转述,yes,no,data/processed/redox_merged.csv:key,discard,P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,放弃,round3_target=core; epsilon=wording_only; noise_veto=geophysics_dnapl|pool_boiling_heat_transfer; leads=2
new_compound,P3,perfluorohexane,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,no,no,0,yes,none,,unknown,10.1088/1742-6596/2685/1/012064,gold,https://doi.org/10.1088/1742-6596/2685/1/012064,true,无ε线索,yes,no,data/processed/eta_epsilon_joint_observations.csv:key;data/processed/viscosity_raw.csv:key;data/viscosity_v01.csv:key,discard,P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,放弃,round3_target=off; epsilon=none; noise_veto=pool_boiling_heat_transfer; leads=1
new_compound,P3,tripropylene glycol,LEQCJROTXBYLEU-UHFFFAOYSA-N,CC(O)COCC(C)OCC(C)O,no,no,0,yes,none,,unknown,10.1063/1.4740236,bronze,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,false,无ε线索,yes,no,data/external/chew_2024_viscosity_supp_2.csv:name;data/processed/eta_epsilon_joint_observations.csv:name;data/processed/viscosity_baseline_predictions.csv:name;data/processed/viscosity_raw.csv:name;data/viscosity_v01.csv:name,discard,P3,genuinely new to the panel: absent from both dielectric_v03.csv and dielectric_observations_v11plus.csv under an InChIKey join,仅线索,round3_target=adjacent; epsilon=none; leads=1
gap_family,P3,[family gap] glyme,,,na,na,,no,none,,unknown,10.1016/j.electacta.2019.02.110,bronze,https://doi.org/10.1016/j.electacta.2019.02.110,unknown,无ε线索,na,na,,pending,P2,family-level gap: no single molecule resolved from the abstract,仅线索,target=core_family_unresolved; families=glyme; unresolved: glyme=generic glyme without a chain-length prefix; oligomer length unnamed; target=core_family_unresolved; epsilon=none; temperature=unknown; oa=unknown; score=3
roster_gap,P3,succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCC#N,no,yes,17,no,wording_only,,no,10.1063/5.0230695;10.1002/app.56331;10.1039/d2cp05799a;10.1016/j.nocx.2022.100097;10.1088/1361-648x/aab466;10.1063/1.4944394;10.1021/acs.jpcc.5b09380;10.1063/1.4867095,bronze;green;hybrid,https://doi.org/10.1063/5.0230695,true,第一手测量,yes,yes,data/external/chew_2024_viscosity_supp_2.csv:name;data/processed/eta_epsilon_joint_observations.csv:key;data/processed/modern_battery_solvent_candidate_queue.csv:name;data/processed/redox_merged.csv:key;data/processed/viscosity_raw.csv:key;data/restricted/springer_materials/interactive_pure_dielectric_catalog.json:name;data/restricted/springer_materials/modern_battery_solvent_candidates.json:name;data/restricted/springer_materials/modern_battery_solvent_values.csv:name;data/viscosity_v01.csv:key,human_reading_list;pending,P1;P2,"not a new compound: absent from the 246-row v03 roster but already in the observation table with 17 rows / 17 distinct temperatures; counted as a roster gap, not as backfill",放弃,round3_target=core; epsilon=wording_only; leads=8
local_duplicate_reconciliation,P3,"1,2-dimethoxyethane",XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,yes,yes,9,no,wording_only,,unknown,10.1021/acsenergylett.2c02003;10.1063/5.0046073;10.1021/acs.jpclett.0c00334;10.1063/1.2815764;10.1023/b:ijot.0000034239.58332.be,green,https://zenodo.org/record/7801393,false,汇编转述,yes,no,data/dielectric_v01.csv:key;data/dielectric_v01_ext.csv:key;data/dielectric_v02.csv:key;data/dielectric_v031.csv:key;data/dielectric_v032.csv:key;data/external/SolvFunc-87.csv:name;data/external/chew_2024_viscosity_supp_2.csv:name;data/external/chodera_2015_data_dielectric.csv:name;data/processed/chodera_crosscheck.csv:key;data/processed/coverage_gap.csv:key;data/processed/dielectric_applicability_flags.csv:key;data/processed/dielectric_chemprop_predictions.csv:key;data/processed/dielectric_density_feature_predictions.csv:key;data/processed/dielectric_gpr_test_predictions.csv:key;data/processed/dielectric_mlp_calibration_predictions.csv:key;data/processed/dielectric_mlp_probe_predictions.csv:key;data/processed/dielectric_onsager_delta_predictions.csv:key;data/processed/dielectric_onsager_delta_rows.csv:key;data/processed/dielectric_physical_features.csv:key;data/processed/dielectric_physical_features_density.csv:key;data/processed/dielectric_physical_features_v03.csv:key;data/processed/dielectric_ranking_head_predictions.csv:key;data/processed/dielectric_ranking_head_qid_audit.csv:key;data/processed/dielectric_representation_ablation_predictions.csv:key;data/processed/dielectric_scaffold_folds.csv:key;data/processed/dielectric_v01_ext_observations.csv:key;data/processed/dielectric_v01_observations.csv:key;data/processed/dielectric_v03_representation_ablation_predictions.csv:key;data/processed/dielectric_viscosity_intersection.csv:key;data/processed/eta_epsilon_joint_exclusions.csv:key;data/processed/eta_epsilon_joint_observations.csv:key;data/processed/landolt_boernstein_2015_pure_liquid_queue.csv:name;data/processed/redox_merged.csv:key;data/processed/v032_ablation_predictions.csv:key;data/processed/v032_scaffold_folds.csv:key;data/processed/viscosity_baseline_predictions.csv:key;data/processed/viscosity_predictions.csv:key;data/processed/viscosity_raw.csv:key;data/reference/dielectric_molecule_aliases.csv:key;data/reference/identity_map.csv:key;data/viscosity_v01.csv:key,pending,P2,"not a new compound: already covered locally (v03=yes, observations=yes, 9 observation rows); kept only as a Round-3 reconciliation row and excluded from every backfill count",放弃,round3_target=core; epsilon=wording_only; leads=5
