name,family,parent_solvent,design_strategy,named_in_doi,in_local_v03,in_local_observations,reason_it_is_a_coverage_candidate
"1,2-dimethoxyethane (DME)",glyme,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,yes,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
"1,3-dioxolane (DOL)",cyclic_ether,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
dimethyl carbonate (DMC),carbonate,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,yes,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
ethyl methyl carbonate (EMC),carbonate,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
diethyl carbonate (DEC),carbonate,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,yes,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
ethylene carbonate (EC),carbonate,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
propylene carbonate (PC),carbonate,none (parent frame),reference_parent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
fluoroethylene carbonate (FEC),carbonate,EC,fluorination_substitution,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
dimethoxymethane (DMM),glyme,DME,reduce_chelation_shorten_bridge,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,3-dimethoxypropane (1,3-DMP)",glyme,DME,reduce_chelation_extend_bridge,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,4-dimethoxybutane (DMB)",glyme,DME,reduce_chelation_extend_bridge,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
diethyl ether (DE),ether,DME,reduce_chelation_remove_one_oxygen,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
