cohort,inchikey,compound_name,slope,intercept,n_points,n_distinct_temperatures,span_K,mean_temperature_K,mean_epsilon,r2
v11_all_bands,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,-0.1167166666666651,50.547940833332866,15,5,20.0,298.15,15.748866666666666,0.268571634776676
v11_all_bands,BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,-0.035223384615384636,17.50428596923078,25,25,60.0,308.15,6.6502,0.9995350092835317
v11_all_bands,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,-0.15710255786467753,68.29939578529016,17,10,34.85000000000002,300.8794117647058,21.030470588235293,0.5345854551442375
v11_all_bands,BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,-0.038895531901332096,25.09105588628975,30,29,69.99999999999997,278.8166666666666,14.246333333333334,0.9994602613198333
v11_all_bands,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,-0.0013228571428571332,2.374086047619044,6,6,50.0,313.15000000000003,1.9598333333333333,0.9998631830160372
v11_all_bands,BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",-0.1740999999999997,74.04728666666657,3,3,20.0,308.2,20.389666666666667,0.9998494713133446
v11_all_bands,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,-0.16963335222886144,67.30545431907495,15,7,25.0,299.14,16.561333333333334,0.9595718890450543
v11_all_bands,BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,-0.11077580645161277,65.20444782258059,31,31,75.0,315.6499999999999,30.238064516129036,0.9962745160912277
v11_all_bands,BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,-0.08227384615384595,50.56051646153837,25,25,60.0,303.15,25.6192,0.9972841212929301
v11_all_bands,CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,-0.08691428571428562,46.919494285714265,6,6,25.0,315.65000000000003,19.485,0.9987204310127116
v11_all_bands,CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,-0.0447608100711549,26.275813191023534,28,28,67.49999999999997,279.3999999999999,13.769642857142857,0.9988871955110149
v11_all_bands,CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,-0.022827384615384652,12.111538569230781,25,25,60.0,308.15,5.07728,0.9996621366483509
v11_all_bands,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,-0.10269920544835394,52.98000646992047,14,8,35.0,312.79285714285714,20.856428571428573,0.9995884946602144
v11_all_bands,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,-0.20439999999999883,73.36185999999961,5,5,20.0,298.15,12.42,0.9987225335143715
v11_all_bands,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",-0.13325714285714282,68.20261714285715,6,6,25.0,315.65000000000003,26.14,0.9972902989180269
v11_all_bands,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,-0.00773999999999995,5.4148809999999825,5,5,20.0,298.15,3.1071999999999997,0.9996062151266786
v11_all_bands,FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",-0.14957032258064507,83.1646303870967,12,10,90.0,340.65000000000003,32.213499999999996,0.9935049296988469
v11_all_bands,FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",-0.03872349692783778,16.784729810514957,144,50,79.96000000000001,263.16256944444444,6.594154861111111,0.9827734663529424
v11_all_bands,GSEJCLTVZPLZKY-UHFFFAOYSA-N,triethanolamine,-0.132628571428571,68.2858752380951,6,6,25.0,315.65000000000003,26.421666666666667,0.9995440515644777
v11_all_bands,HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,-0.11714285714285716,78.89042857142854,8,8,35.0,310.65,42.5,0.9992074499702794
v11_all_bands,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,-0.13669685011714078,87.04509661374857,105,53,50.0,307.94057142857145,44.95059047619046,0.9268994164881794
v11_all_bands,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,0.0004899999999999962,2.9894065000000007,5,5,40.0,308.15,3.1403999999999996,0.971278317152106
v11_all_bands,IIRFCWANHMSDCG-UHFFFAOYSA-N,cyclooctanone,-0.05810703228659888,31.797694383016378,18,18,45.0,321.76111111111106,13.101111111111111,0.9984689521124984
v11_all_bands,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,-0.0010000000000000208,2.2281500000000065,3,3,20.0,298.15,1.93,1.0
v11_all_bands,JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,-0.06926292306711707,36.425657333163365,30,29,69.99999999999997,278.8166666666666,17.113999999999997,0.9970126254431492
v11_all_bands,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,ethyl propenoate,-0.03016738461538466,15.185399569230785,25,25,60.0,308.15,5.8893200000000006,0.9997358406465564
v11_all_bands,KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,-0.1278588772112225,57.471589430786075,10,10,34.85000000000002,302.78999999999996,18.7572,0.9139387049703622
