protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Morgan,0,0,328,129,77,20,0,15.80106188420732,19.79736735084448,-1.2465833595490716,-0.2692634868251015
room_baseline,Physical,0,0,328,129,77,20,0,18.707810244005778,22.068834615700332,-1.7916852659006017,0.5341175799905006
room_baseline,Morgan+Physical,0,0,328,129,77,20,0,8.309259865930837,9.80603209563924,0.44881895349169376,0.5057784148328935
room_baseline,Morgan,0,1,321,136,77,20,0,13.270327840625537,17.482831436499804,-0.31308848270569967,-0.022933490707184263
room_baseline,Physical,0,1,321,136,77,20,0,3.428869516310972,5.53189024207353,0.8685327553259132,0.8481192909406743
room_baseline,Morgan+Physical,0,1,321,136,77,20,0,7.839173476376252,10.562870067864445,0.5206703138537356,0.36187862555591604
room_baseline,Morgan,0,2,385,72,78,19,0,6.268117459636264,8.857746930671421,0.02993889940388106,0.0495327547692496
room_baseline,Physical,0,2,385,72,78,19,0,8.945496932856242,12.393051971798998,-0.8989306106858601,0.22511629796957838
room_baseline,Morgan+Physical,0,2,385,72,78,19,0,5.9120675322002825,9.694086800105929,-0.1618936053547555,0.2204951900098126
room_baseline,Morgan,0,3,411,46,78,19,0,9.867929656318998,26.08893468095654,0.08617721016724211,0.5992786766114082
room_baseline,Physical,0,3,411,46,78,19,0,8.52724353242957,24.42468719819851,0.19904647897859884,0.7093651627132864
room_baseline,Morgan+Physical,0,3,411,46,78,19,0,8.169022655818775,24.957106263192273,0.16374688167566387,0.8192838059082257
room_baseline,Morgan,0,4,383,74,78,19,0,16.23708513894571,23.56896636951814,-0.15007120440533428,0.26297376646379506
room_baseline,Physical,0,4,383,74,78,19,0,8.52862388536711,12.198760840372474,0.6919117820505831,0.8885283237138828
room_baseline,Morgan+Physical,0,4,383,74,78,19,0,10.953391586412998,17.163096858912656,0.3901332403782234,0.8242179464778916
room_baseline,Morgan,1,0,355,102,77,20,0,7.422386764436608,9.0745583131983,0.20807070838327002,0.8218613040372529
room_baseline,Physical,1,0,355,102,77,20,0,7.04940995862624,11.172940600748136,-0.20052275194450497,0.45330834802895514
room_baseline,Morgan+Physical,1,0,355,102,77,20,0,5.323196221063651,8.653252333709396,0.2798977770127249,0.8844221581548171
room_baseline,Morgan,1,1,379,78,77,20,0,10.373795394035241,24.03312431702561,0.05557654826417158,0.40165403100884084
room_baseline,Physical,1,1,379,78,77,20,0,6.941951966878452,22.07595653208704,0.20313388925174014,0.9072576085729132
room_baseline,Morgan+Physical,1,1,379,78,77,20,0,8.330839296297905,22.788814896817318,0.1508395106870407,0.8926405144919384
room_baseline,Morgan,1,2,365,92,78,19,0,14.909710118003515,17.71454997500406,-0.09923459961854486,0.8444538729664535
room_baseline,Physical,1,2,365,92,78,19,0,5.952657193681468,7.184900104319601,0.8191695301957583,0.9033169763385194
room_baseline,Morgan+Physical,1,2,365,92,78,19,0,6.146600221302198,7.485837694162419,0.8037042235431462,0.8910273553841033
room_baseline,Morgan,1,3,346,111,78,19,0,10.381847117738465,17.313417386600925,0.18810830258250388,0.772040636346388
room_baseline,Physical,1,3,346,111,78,19,0,12.390877646475436,19.19254141529826,0.00230573652928201,0.857834551477673
room_baseline,Morgan+Physical,1,3,346,111,78,19,0,9.50064488737089,15.602429666865754,0.34064854435863023,0.8601742936215496
room_baseline,Morgan,1,4,383,74,78,19,0,11.551480190586398,15.450778074813183,-0.1837775780761315,0.6054307253727218
room_baseline,Physical,1,4,383,74,78,19,0,17.986117296244647,24.43612783567078,-1.9609711599257271,0.7715392730034066
room_baseline,Morgan+Physical,1,4,383,74,78,19,0,8.056639739887137,11.466379079982838,0.3480384381588497,0.8388769668295742
room_baseline,Morgan,2,0,383,74,77,20,0,17.0548245483151,24.08207313108728,-0.18621941806634967,0.03218028789198679
room_baseline,Physical,2,0,383,74,77,20,0,12.318566374552958,16.161945691322707,0.4657253439628576,0.5604453163651264
room_baseline,Morgan+Physical,2,0,383,74,77,20,0,14.44714931040171,19.95309391764664,0.18567497605988703,0.43272261444424415
room_baseline,Morgan,2,1,341,116,77,20,0,6.299133330141264,7.992154460880511,0.14118488551702402,0.8904115261760212
room_baseline,Physical,2,1,341,116,77,20,0,7.081787087315526,10.811716704867901,-0.571669613704519,0.48270185857859105
